Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,TrialNumber_total,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,text_2.started,text_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,s,1.2272169000352733,10.963607699959539,None,,,,,,,,,,,,,,,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,1,['2'],2,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,10.963607699959539,None,25.72381499997573,None,2,0,11.362857699976303,33.12130529998103,None,"['1', '2']",1,"[2.8147460999898612, 3.9383072999771684]",33.12130529998103,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,2,['1'],1,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1firstgreen.png,Images/TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,2,0,0,0,0,0,1,1,1,,,,,,,,,1,1,12.166857399977744,37.116622799949255,None,['1'],1,[0.7386671000276692],37.116622799949255,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,3,['3'],3,Images/TMTstop-control_1_1linestimulus0.png,Images/TMTstop-control_1_1greenlinestimulus0.png,Images/TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,3,0,0,0,0,0,2,2,2,,,,,,,,,1,1,12.909804899943992,37.9257312999689,None,['3'],1,[0.6794747000094503],37.9257312999689,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,4,['1'],1,Images/TMTstop-control_1_1linestimulus1.png,Images/TMTstop-control_1_1greenlinestimulus1.png,Images/TMTstop-control_1_1redlinestimulus1.png,TMT_Control,C1,4,None,1,4,0,0,0,0,0,3,3,3,,,,,,,,,1,1,13.434857599961106,38.66744279995328,None,['1'],1,[0.4596497999737039],38.66744279995328,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,5,['3'],3,Images/TMTstop-control_1_1linestimulus2.png,Images/TMTstop-control_1_1greenlinestimulus2.png,Images/TMTstop-control_1_1redlinestimulus2.png,TMT_Control,C1,5,None,1,5,0,0,0,0,0,4,4,4,,,,,,,,,1,1,13.875985699996818,39.192838999966625,None,['3'],1,[0.3731781999813393],39.192838999966625,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,6,['1'],1,Images/TMTstop-control_1_1linestimulus3.png,Images/TMTstop-control_1_1greenlinestimulus3.png,Images/TMTstop-control_1_1redlinestimulus3.png,TMT_Control,C1,6,None,1,6,0,0,0,0,0,5,5,5,,,,,,,,,1,1,14.321876399975736,39.63442219997523,None,['1'],1,[0.38461870001628995],39.63442219997523,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,7,['2'],2,Images/TMTstop-control_1_1linestimulus4.png,Images/TMTstop-control_1_1greenlinestimulus4.png,Images/TMTstop-control_1_1redlinestimulus4.png,TMT_Control,C1,7,None,1,7,0,0,0,0,0,6,6,6,,,,,,,,,1,1,14.862832799961325,40.079942199983634,None,['2'],1,[0.46867290005320683],40.079942199983634,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,8,['1'],1,Images/TMTstop-control_1_1linestimulus4.png,Images/TMTstop-control_1_1greenlinestimulus5.png,Images/TMTstop-control_1_1redlinestimulus5.png,TMT_Control,C1,8,None,1,8,0,0,0,0,0,7,7,7,,,,,,,,,1,1,15.287770099996123,40.62166049994994,None,['1'],1,[0.36547080002492294],40.62166049994994,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,9,['3'],3,Images/TMTstop-control_1_1linestimulus6.png,Images/TMTstop-control_1_1greenlinestimulus6.png,Images/TMTstop-control_1_1redlinestimulus6.png,TMT_Control,C1,9,None,1,9,0,0,0,0,0,8,8,8,,,,,,,,,1,1,15.79691479995381,41.029571099963505,None,['3'],1,[0.4681781000108458],41.029571099963505,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
