Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,TrialNumber_total,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,text_2.started,text_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C1,0:26,10,['2'],2,Images/TMTstop-control_1_1linestimulus7.png,Images/TMTstop-control_1_1greenlinestimulus7.png,Images/TMTstop-control_1_1redlinestimulus7.png,TMT_Control,C1,10,None,1,10,0,0,0,0,0,9,9,9,,,,,,,,,1,1,16.237875399994664,41.5546522999648,None,['2'],1,[0.382300499943085],41.5546522999648,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,11,['1'],1,Images/TMTstop-control_1_1linestimulus8.png,Images/TMTstop-control_1_1greenlinestimulus8.png,Images/TMTstop-control_1_1redlinestimulus8.png,TMT_Control,C1,11,None,1,11,0,0,0,0,0,10,10,10,,,,,,,,,1,1,16.74572690000059,41.996204099967144,None,['1'],1,[0.43738909997045994],41.996204099967144,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,12,['2'],2,Images/TMTstop-control_1_1linestimulus9.png,Images/TMTstop-control_1_1greenlinestimulus9.png,Images/TMTstop-control_1_1redlinestimulus9.png,TMT_Control,C1,12,None,1,12,0,0,0,0,0,11,11,11,,,,,,,,,1,1,17.170855799980927,42.504321999964304,None,['2'],1,[0.3563882000162266],42.504321999964304,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,13,['3'],3,Images/TMTstop-control_1_1linestimulus10.png,Images/TMTstop-control_1_1greenlinestimulus10.png,Images/TMTstop-control_1_1redlinestimulus10.png,TMT_Control,C1,13,None,1,13,0,0,0,0,0,12,12,12,,,,,,,,,1,1,17.528829999966547,42.92940429999726,None,['3'],1,[0.2853511000284925],42.92940429999726,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,14,['2'],2,Images/TMTstop-control_1_1linestimulus11.png,Images/TMTstop-control_1_1greenlinestimulus11.png,Images/TMTstop-control_1_1redlinestimulus11.png,TMT_Control,C1,14,None,1,14,0,0,0,0,0,13,13,13,,,,,,,,,1,1,17.870961399981752,43.28760889999103,None,['2'],1,[0.27227210003184155],43.28760889999103,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,15,['3'],3,Images/TMTstop-control_1_1linestimulus12.png,Images/TMTstop-control_1_1greenlinestimulus12.png,Images/TMTstop-control_1_1redlinestimulus12.png,TMT_Control,C1,15,None,1,15,0,0,0,0,0,14,14,14,,,,,,,,,1,1,18.3457201999845,43.62909529998433,None,['3'],1,[0.41864780004834756],43.62909529998433,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,16,['2'],2,Images/TMTstop-control_1_1linestimulus13.png,Images/TMTstop-control_1_1greenlinestimulus13.png,Images/TMTstop-control_1_1redlinestimulus13.png,TMT_Control,C1,16,None,1,16,0,0,0,0,0,15,15,15,,,,,,,,,1,1,18.786856499966234,44.10387339995941,None,['2'],1,[0.37913539999863133],44.10387339995941,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,17,['3'],3,Images/TMTstop-control_1_1linestimulus14.png,Images/TMTstop-control_1_1greenlinestimulus14.png,Images/TMTstop-control_1_1redlinestimulus14.png,TMT_Control,C1,17,None,1,17,0,0,0,0,0,16,16,16,,,,,,,,,1,1,19.286729099985678,44.54541179997614,None,['3'],1,[0.4389767000102438],44.54541179997614,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,18,['2'],2,Images/TMTstop-control_1_1linestimulus15.png,Images/TMTstop-control_1_1greenlinestimulus15.png,Images/TMTstop-control_1_1redlinestimulus15.png,TMT_Control,C1,18,None,1,18,0,0,0,0,0,17,17,17,,,,,,,,,1,1,19.727745799988043,45.044552799954545,None,['2'],1,[0.36979169998085126],45.044552799954545,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,19,['1'],1,Images/TMTstop-control_1_1linestimulus16.png,Images/TMTstop-control_1_1greenlinestimulus16.png,Images/TMTstop-control_1_1redlinestimulus16.png,TMT_Control,C1,19,None,1,19,0,0,0,0,0,18,18,18,,,,,,,,,1,1,20.1028361999779,45.48662919999333,None,['1'],1,[0.30230460001621395],45.48662919999333,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,20,['3'],3,Images/TMTstop-control_1_1linestimulus17.png,Images/TMTstop-control_1_1greenlinestimulus17.png,Images/TMTstop-control_1_1redlinestimulus17.png,TMT_Control,C1,20,None,1,20,0,0,0,0,0,19,19,19,,,,,,,,,1,1,20.443870899965987,45.86126919998787,None,['3'],1,[0.2794331999612041],45.86126919998787,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,21,['1'],1,Images/TMTstop-control_1_1linestimulus18.png,Images/TMTstop-control_1_1greenlinestimulus18.png,Images/TMTstop-control_1_1redlinestimulus18.png,TMT_Control,C1,21,None,1,21,0,0,0,0,0,20,20,20,,,,,,,,,1,1,20.818857099977322,46.18597699998645,None,['1'],1,[0.32421819999581203],46.18597699998645,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,22,['2'],2,Images/TMTstop-control_1_1linestimulus19.png,Images/TMTstop-control_1_1greenlinestimulus19.png,Images/TMTstop-control_1_1redlinestimulus19.png,TMT_Control,C1,22,None,1,22,0,0,0,0,0,21,21,21,,,,,,,,,1,1,21.159861099964473,46.57756469998276,None,['2'],1,[0.28036250005243346],46.57756469998276,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,23,['3'],3,Images/TMTstop-control_1_1linestimulus20.png,Images/TMTstop-control_1_1greenlinestimulus20.png,Images/TMTstop-control_1_1redlinestimulus20.png,TMT_Control,C1,23,None,1,23,0,0,0,0,0,22,22,22,,,,,,,,,1,1,21.50204449996818,46.91903709998587,None,['3'],1,[0.2790699999895878],46.91903709998587,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,24,['2'],2,Images/TMTstop-control_1_1linestimulus21.png,Images/TMTstop-control_1_1greenlinestimulus21.png,Images/TMTstop-control_1_1redlinestimulus21.png,TMT_Control,C1,24,None,1,24,0,0,0,0,0,23,23,23,,,,,,,,,1,1,21.842853099980857,47.259883899998385,None,['2'],1,[0.2720114000258036],47.259883899998385,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,25,['1'],1,Images/TMTstop-control_1_1linestimulus22.png,Images/TMTstop-control_1_1greenlinestimulus22.png,Images/TMTstop-control_1_1redlinestimulus22.png,TMT_Control,C1,25,None,1,25,0,0,0,0,0,24,24,24,,,,,,,,,1,1,22.218857499945443,47.60179839999182,None,['1'],1,[0.3102743999916129],47.60179839999182,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C1,0:26,None,None,None,Images/TMTstop-control_1_1linestimulus23.png,Images/TMTstop-control_1_1greenlinestimulus23.png,Images/TMTstop-control_1_1redlinestimulus23.png,TMT_Control,C1,Feedback_last,None,1,Feedback_last,0,0,0,0,0,25,25,25,,,,,,,,,0,0,,47.97685300000012,None,None,1,,47.97685300000012,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C2,26:52,1,['2'],2,Images/TMTstop-control_1_2.png,Images/TMTstop-control_1_2.png,Images/TMTstop-control_1_2.png,TMT_Control,C2,26,None,1,26,0,1,1,1,0,0,0,0,,,,,,,,,2,0,27.21773019997636,52.28098499996122,None,"['3', '2']",1,"[0.5518064000061713, 0.6136920999852009]",52.28098499996122,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C2,26:52,2,['3'],3,Images/TMTstop-control_1_2.png,Images/TMTstop-control_1_2firstgreen.png,Images/TMTstop-control_1_2firstred.png,TMT_Control,C2,27,None,1,27,0,1,1,1,0,1,1,1,,,,,,,,,5,0,27.759871499962173,52.96917619998567,None,"['1', '3', '2', '1', '3']",1,"[0.014003099990077317, 0.1931948999990709, 0.21910349995596334, 0.3360230999533087, 0.48800469998968765]",52.96917619998567,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C2,26:52,3,['2'],2,Images/TMTstop-control_1_2linestimulus0.png,Images/TMTstop-control_1_2greenlinestimulus0.png,Images/TMTstop-control_1_2redlinestimulus0.png,TMT_Control,C2,28,None,1,28,0,1,1,1,0,2,2,2,,,,,,,,,1,1,27.808833299961407,53.509972999978345,None,['2'],1,[-0.03491879999637604],53.509972999978345,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C2,26:52,4,['3'],3,Images/TMTstop-control_1_2linestimulus1.png,Images/TMTstop-control_1_2greenlinestimulus1.png,Images/TMTstop-control_1_2redlinestimulus1.png,TMT_Control,C2,29,None,1,29,0,1,1,1,0,3,3,3,,,,,,,,,2,0,28.068872199975885,53.563734799972735,None,"['1', '3']",1,"[0.04120070004137233, 0.2017035000026226]",53.563734799972735,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C2,26:52,5,['2'],2,Images/TMTstop-control_1_2linestimulus2.png,Images/TMTstop-control_1_2greenlinestimulus2.png,Images/TMTstop-control_1_2redlinestimulus2.png,TMT_Control,C2,30,None,1,30,0,1,1,1,0,4,4,4,,,,,,,,,1,1,28.11782729998231,53.81885439995676,None,['2'],1,[-0.034882000007200986],53.81885439995676,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C2,26:52,6,['3'],3,Images/TMTstop-control_1_2linestimulus3.png,Images/TMTstop-control_1_2greenlinestimulus3.png,Images/TMTstop-control_1_2redlinestimulus3.png,TMT_Control,C2,31,None,1,31,0,1,1,1,0,5,5,5,,,,,,,,,2,0,28.368862699950114,53.86901460000081,None,"['1', '3']",1,"[0.03822849999414757, 0.18709850002778694]",53.86901460000081,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C2,26:52,7,['2'],2,Images/TMTstop-control_1_2linestimulus4.png,Images/TMTstop-control_1_2greenlinestimulus4.png,Images/TMTstop-control_1_2redlinestimulus4.png,TMT_Control,C2,32,None,1,32,0,1,1,1,0,6,6,6,,,,,,,,,1,1,28.41882599995006,54.119418399990536,None,['2'],1,[-0.03827290004119277],54.119418399990536,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
C2,26:52,8,['1'],1,Images/TMTstop-control_1_2linestimulus4.png,Images/TMTstop-control_1_2greenlinestimulus5.png,Images/TMTstop-control_1_2redlinestimulus5.png,TMT_Control,C2,33,None,1,33,0,1,1,1,0,7,7,7,,,,,,,,,1,1,28.518865299993195,54.16939589998219,None,['1'],1,[0.04879249999066815],54.16939589998219,None,,001,2022_Dec_20_1547,TMT_fmri,2021.2.3,59.94093422119121,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
