Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,text_2.started,text_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C2,26:52,16,['1'],1,Images/TMTstop-control_1_2linestimulus13.png,Images/TMTstop-control_1_2greenlinestimulus13.png,Images/TMTstop-control_1_2redlinestimulus13.png,TMT_Control,C2,41,None,1,0,1,1,1,0,15,15,15,,,,,,,,,1,1,19.678069999907166,47.10924750007689,None,['1'],1,[0.05171089991927147],47.10924750007689,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C2,26:52,17,['2'],2,Images/TMTstop-control_1_2linestimulus14.png,Images/TMTstop-control_1_2greenlinestimulus14.png,Images/TMTstop-control_1_2redlinestimulus14.png,TMT_Control,C2,42,None,1,0,1,1,1,0,16,16,16,,,,,,,,,1,1,19.762185500003397,47.20945650013164,None,['2'],1,[0.0066221002489328384],47.20945650013164,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C2,26:52,18,['1'],1,Images/TMTstop-control_1_2linestimulus15.png,Images/TMTstop-control_1_2greenlinestimulus15.png,Images/TMTstop-control_1_2redlinestimulus15.png,TMT_Control,C2,43,None,1,0,1,1,1,0,17,17,17,,,,,,,,,2,0,19.967048999853432,47.293083699885756,None,"['3', '1']",1,"[-0.011079200077801943, 0.14797789976000786]",47.293083699885756,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C2,26:52,19,['2'],2,Images/TMTstop-control_1_2linestimulus16.png,Images/TMTstop-control_1_2greenlinestimulus16.png,Images/TMTstop-control_1_2redlinestimulus16.png,TMT_Control,C2,44,None,1,0,1,1,1,0,18,18,18,,,,,,,,,1,1,20.03402889985591,47.5148960002698,None,['2'],1,[-0.027819199953228235],47.5148960002698,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C2,26:52,20,['3'],3,Images/TMTstop-control_1_2linestimulus17.png,Images/TMTstop-control_1_2greenlinestimulus17.png,Images/TMTstop-control_1_2redlinestimulus17.png,TMT_Control,C2,45,None,1,0,1,1,1,0,19,19,19,,,,,,,,,1,1,20.100111699663103,47.58167640026659,None,['3'],1,[-0.025915099773555994],47.58167640026659,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C2,26:52,21,['1'],1,Images/TMTstop-control_1_2linestimulus18.png,Images/TMTstop-control_1_2greenlinestimulus18.png,Images/TMTstop-control_1_2redlinestimulus18.png,TMT_Control,C2,46,None,1,0,1,1,1,0,20,20,20,,,,,,,,,1,1,20.2530606999062,47.634099800139666,None,['1'],1,[0.08682419965043664],47.634099800139666,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C2,26:52,22,['3'],3,Images/TMTstop-control_1_2linestimulus19.png,Images/TMTstop-control_1_2greenlinestimulus19.png,Images/TMTstop-control_1_2redlinestimulus19.png,TMT_Control,C2,47,None,1,0,1,1,1,0,21,21,21,,,,,,,,,2,0,20.360051199793816,47.78431829996407,None,"['2', '3']",1,"[-0.021339500322937965, 0.05252509983256459]",47.78431829996407,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C2,26:52,23,['2'],2,Images/TMTstop-control_1_2linestimulus20.png,Images/TMTstop-control_1_2greenlinestimulus20.png,Images/TMTstop-control_1_2redlinestimulus20.png,TMT_Control,C2,48,None,1,0,1,1,1,0,22,22,22,,,,,,,,,2,0,20.57806900003925,47.89212840003893,None,"['1', '2']",1,"[0.11276109982281923, 0.13193749962374568]",47.89212840003893,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C2,26:52,24,['3'],3,Images/TMTstop-control_1_2linestimulus21.png,Images/TMTstop-control_1_2greenlinestimulus21.png,Images/TMTstop-control_1_2redlinestimulus21.png,TMT_Control,C2,49,None,1,0,1,1,1,0,23,23,23,,,,,,,,,1,1,20.644030099734664,48.12546729994938,None,['3'],1,[-0.029460499994456768],48.12546729994938,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C2,26:52,25,['1'],1,Images/TMTstop-control_1_2linestimulus22.png,Images/TMTstop-control_1_2greenlinestimulus22.png,Images/TMTstop-control_1_2redlinestimulus22.png,TMT_Control,C2,50,None,1,0,1,1,1,0,24,24,24,,,,,,,,,1,1,20.801049399655312,48.18244490027428,None,['1'],1,[0.09027450019493699],48.18244490027428,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
C2,26:52,None,None,None,Images/TMTstop-control_1_2linestimulus23.png,Images/TMTstop-control_1_2greenlinestimulus23.png,Images/TMTstop-control_1_2redlinestimulus23.png,TMT_Control,C2,Feedback_last,None,1,0,1,1,1,0,25,25,25,,,,,,,,,2,0,,48.33287480007857,None,"['2', '3']",0,"[-0.0037323003634810448, 0.06825589993968606]",48.33287480007857,None,,001,2022_Dec_12_1604,TMT_fmri,2021.2.3,59.91916908112064,
