Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,1,13,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,2,0,12.867645099991933,None,"['2', '3']",1,"[-0.05526979989372194, 0.049357299925759435]",12.867645099991933,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,14,['1'],1,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,1,14,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,1,1,13.020404299953952,None,['1'],1,[0.04136979999020696],13.020404299953952,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,1,15,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,2,0,13.144293799996376,None,"['2', '3']",1,"[-0.05030729994177818, 0.08009340008720756]",13.144293799996376,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,16,['1'],1,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,1,16,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,1,1,13.303815900115296,None,['1'],1,[0.06947200000286102],13.303815900115296,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,17,['2'],2,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,1,17,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,1,1,13.450960699934512,None,['2'],1,[-0.04058589995838702],13.450960699934512,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,18,['1'],1,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,1,18,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,2,0,13.519130100030452,None,"['3', '1']",1,"[0.023729699896648526, 0.1547910999506712]",13.519130100030452,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,19,['3'],3,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,1,19,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,2,0,13.755573899950832,None,"['2', '3']",1,"[-0.051040199818089604, 0.06437300005927682]",13.755573899950832,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,20,['1'],1,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,1,20,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,1,1,13.914871300105006,None,['1'],1,[0.03718730015680194],13.914871300105006,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,21,['3'],3,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,1,21,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,2,0,14.03197419992648,None,"['2', '3']",1,"[-0.011296199867501855, 0.09071000013500452]",14.03197419992648,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,22,['1'],1,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,1,22,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,1,1,14.227570800110698,None,['1'],1,[0.03452989994548261],14.227570800110698,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,1,23,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,2,0,14.332184799946845,None,"['2', '3']",1,"[-0.027515799971297383, 0.09111290005967021]",14.332184799946845,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,24,['1'],1,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,1,24,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,1,1,14.533195400144905,None,['1'],1,[0.04160680016502738],14.533195400144905,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,25,['3'],3,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,1,25,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,2,0,14.651634400011972,None,"['2', '3']",1,"[-0.029106799978762865, 0.09306570002809167]",14.651634400011972,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,1,Feedback_last,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,2,0,14.846436500083655,None,"['1', '2']",0,"[0.05221040011383593, 0.20098880003206432]",14.846436500083655,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,1,['1'],1,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,2,26,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,1,1,18.983907399931923,None,['1'],1,[0.4524528000038117],18.983907399931923,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,2,27,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,2,0,19.519527400145307,None,"['2', '3']",1,"[0.008988699875772, 0.09436869993805885]",19.519527400145307,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,2,28,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,2,0,19.692619800101966,None,"['1', '2']",1,"[0.06462819990701973, 0.11350989993661642]",19.692619800101966,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,4,['3'],3,TMTstop-control_1_2linestimulus1.png,TMTstop-control_1_2greenlinestimulus1.png,TMTstop-control_1_2redlinestimulus1.png,2,29,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,1,1,19.922112100059167,None,['3'],1,[-0.0035098998341709375],19.922112100059167,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,5,['1'],1,TMTstop-control_1_2linestimulus2.png,TMTstop-control_1_2greenlinestimulus2.png,TMTstop-control_1_2redlinestimulus2.png,2,30,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,0,0,19.998205400072038,None,None,0,,19.998205400072038,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_3.xlsx,52:78,1,['3'],3,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMTstop-control_1_3.png,3,51,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,0,0,28.829545080149543,None,None,0,,28.829545080149543,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_4.xlsx,78:104,1,['2'],2,TMTstop-control_1_4.png,TMTstop-control_1_4.png,TMTstop-control_1_4.png,4,76,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,0,0,31.906110790069214,None,None,0,,31.906110790069214,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_5.xlsx,104:130,1,['1'],1,TMTstop-control_1_5.png,TMTstop-control_1_5.png,TMTstop-control_1_5.png,5,101,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,0,0,34.98449929009657,None,None,0,,34.98449929009657,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_6.xlsx,130:156,1,['1'],1,TMTstop-control_1_6.png,TMTstop-control_1_6.png,TMTstop-control_1_6.png,6,126,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,0,0,38.09230336002074,None,None,0,,38.09230336002074,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_7.xlsx,156:182,1,['1'],1,TMTstop-control_1_7.png,TMTstop-control_1_7.png,TMTstop-control_1_7.png,7,151,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,0,0,41.17866637995466,None,None,0,,41.17866637995466,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-Control_1_8.xlsx,182:208,1,['3'],3,TMTstop-control_1_8.png,TMTstop-control_1_8.png,TMTstop-control_1_8.png,8,176,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,0,0,44.260098880110306,None,None,0,,44.260098880110306,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,1,['2'],2,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,1,1,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,2,0,50.93434859998524,None,"['1', '2']",1,"[0.7072950999718159, 0.8404067000374198]",50.93434859998524,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,2,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,1,2,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,2,0,51.85849760007113,None,"['3', '1']",1,"[0.02215320011600852, 0.23799689998850226]",51.85849760007113,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,3,['2'],2,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,1,3,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,1,1,52.24265730008483,None,['2'],1,[-0.09279589983634651],52.24265730008483,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,4,['3'],3,TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,1,4,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,1,1,52.316773700062186,None,['3'],1,[-0.06874220003373921],52.316773700062186,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,5,['2'],2,TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,1,5,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,2,0,52.40060060005635,None,"['1', '2']",1,"[0.001630099955946207, 0.07667950005270541]",52.40060060005635,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,6,['3'],3,TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,1,6,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,1,1,52.57382300007157,None,['3'],1,[0.01324560004286468],52.57382300007157,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,7,['2'],2,TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,1,7,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,2,0,52.664858400123194,None,"['1', '2']",1,"[0.07758660009130836, 0.14614320010878146]",52.664858400123194,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,8,['1'],1,TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,1,8,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,2,0,52.91421060007997,None,"['3', '1']",1,"[-0.0013679999392479658, 0.16234200005419552]",52.91421060007997,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,9,['2'],2,TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,1,9,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,1,1,53.1574003000278,None,['2'],1,[0.0028724002186208963],53.1574003000278,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,10,['1'],1,TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,1,10,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,2,0,53.25453229993582,None,"['3', '1']",1,"[-0.0029897999484091997, 0.1477504000067711]",53.25453229993582,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
