Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,2,0,27.324841900001047,None,"['2', '3']",1,"[0.0035795000003417954, 0.11119239999970887]",27.324841900001047,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,14,['1'],1,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,1,1,27.533175999997184,None,['1'],1,[0.0491494000016246],27.533175999997184,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,2,0,27.65821949999372,None,"['2', '3']",1,"[-0.017282499989960343, 0.11002700000244658]",27.65821949999372,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,16,['1'],1,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,1,1,27.852593100004015,None,['1'],1,[0.04319810000015423],27.852593100004015,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,17,['2'],2,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,1,1,27.97742830000061,None,['2'],1,[-0.007143299997551367],27.97742830000061,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,18,['1'],1,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,2,0,28.047208999996656,None,"['3', '1']",1,"[0.013914800001657568, 0.14172499999403954]",28.047208999996656,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,19,['3'],3,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,2,0,28.297106600002735,None,"['2', '3']",1,"[-0.01378570000815671, 0.06410969998978544]",28.297106600002735,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,20,['1'],1,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,1,1,28.449773600004846,None,['1'],1,[0.030656999995699152],28.449773600004846,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,21,['3'],3,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,TMT_Control,1,21,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,2,0,28.59532369999215,None,"['2', '3']",1,"[-0.02379460001247935, 0.07191519999469165]",28.59532369999215,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,22,['1'],1,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,TMT_Control,1,22,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,1,1,28.74832260000403,None,['1'],1,[0.04442770000605378],28.74832260000403,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
