NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Condition_rows,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Condition_trials.thisRepN,Condition_trials.thisTrialN,Condition_trials.thisN,Condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,6.4268333001527935,None,7.50356510002166,None,2,0.4889401998370886,7.50356510002166,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_12_1713,TMTAstop-A,2021.2.3,144.01647579805987,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,8.019185099983588,None,11.060277299955487,None,1,1.1513920000288635,11.060277299955487,None,,,,,,,,,,,,,,,001,2022_Jan_12_1713,TMTAstop-A,2021.2.3,144.01647579805987,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,12.289379500085488,None,2,0.6282442000228912,12.289379500085488,None,,,,,,,,,,,,,,,001,2022_Jan_12_1713,TMTAstop-A,2021.2.3,144.01647579805987,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,13.005181800108403,None,3,0.01836439990438521,13.005181800108403,None,,,,,,,,,,,,,,,001,2022_Jan_12_1713,TMTAstop-A,2021.2.3,144.01647579805987,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,13.109568899963051,None,1,0.0735460000578314,13.109568899963051,None,,,,,,,,,,,,,,,001,2022_Jan_12_1713,TMTAstop-A,2021.2.3,144.01647579805987,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,13.269073100062087,None,2,0.4380707999225706,13.269073100062087,None,,,,,,,,,,,,,,,001,2022_Jan_12_1713,TMTAstop-A,2021.2.3,144.01647579805987,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,13.810569900088012,None,3,0.5342666001524776,13.810569900088012,None,,,,,,,,,,,,,,,001,2022_Jan_12_1713,TMTAstop-A,2021.2.3,144.01647579805987,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,14.414516200078651,None,1,0.15242279996164143,14.414516200078651,None,,,,,,,,,,,,,,,001,2022_Jan_12_1713,TMTAstop-A,2021.2.3,144.01647579805987,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,14.643942099995911,None,3,0.2031064999755472,14.643942099995911,None,,,,,,,,,,,,,,,001,2022_Jan_12_1713,TMTAstop-A,2021.2.3,144.01647579805987,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,14.921271899947897,None,2,0.9947784999385476,14.921271899947897,None,,,,,,,,,,,,,,,001,2022_Jan_12_1713,TMTAstop-A,2021.2.3,144.01647579805987,
