Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Attempts,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,First_attempt,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_1.xlsx,0:26,14,['3'],3,TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,1,14,,,,,,,,,0,0,0,0,0,13,13,13,1,21.02055609994568,None,['3'],1,[-0.00904629984870553],21.02055609994568,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_1.xlsx,0:26,15,['1'],1,TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,1,15,,,,,,,,,0,0,0,0,0,14,14,14,1,21.097520499955863,None,['1'],1,[-0.006518400041386485],21.097520499955863,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_1.xlsx,0:26,16,['3'],3,TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,1,16,,,,,,,,,0,0,0,0,0,15,15,15,2,21.173368100076914,None,"['2', '3']",1,"[0.03178349998779595, 0.10827520000748336]",21.173368100076914,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_1.xlsx,0:26,17,['2'],2,TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,1,17,,,,,,,,,0,0,0,0,0,16,16,16,2,21.374613899970427,None,"['1', '2']",1,"[0.021435400005429983, 0.10961089981719851]",21.374613899970427,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_1.xlsx,0:26,18,['3'],3,TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,1,18,,,,,,,,,0,0,0,0,0,17,17,17,1,21.57648509996943,None,['3'],1,[0.02356520015746355],21.57648509996943,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_1.xlsx,0:26,19,['1'],1,TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,1,19,,,,,,,,,0,0,0,0,0,18,18,18,1,21.67948739998974,None,['1'],1,[0.01945520006120205],21.67948739998974,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_1.xlsx,0:26,20,['3'],3,TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,1,20,,,,,,,,,0,0,0,0,0,19,19,19,2,21.78370840009302,None,"['2', '3']",1,"[0.027665099827572703, 0.09636309999041259]",21.78370840009302,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_1.xlsx,0:26,21,['1'],1,TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,1,21,,,,,,,,,0,0,0,0,0,20,20,20,1,21.97830089996569,None,['1'],1,[0.022980599896982312],21.97830089996569,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_1.xlsx,0:26,22,['3'],3,TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,1,22,,,,,,,,,0,0,0,0,0,21,21,21,2,22.089133400004357,None,"['2', '3']",1,"[0.0012046999763697386, 0.08827579999342561]",22.089133400004357,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_1.xlsx,0:26,23,['1'],1,TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,1,23,,,,,,,,,0,0,0,0,0,22,22,22,1,22.29058529995382,None,['1'],1,[0.005274099996313453],22.29058529995382,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
