Block_file,Condition_rows,NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_practice.keys,key_resp_practice.rt,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4924165999982506,,,,,,,,,,,,,,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,,0,0,0,0,0,0,0,0,,,1,0.13712970004417002,2,0.5808756998740137,2,1,18.887539899908006,None,"['1', '2']",1,"[0.31230969983153045, 0.39266390004195273]",18.887539899908006,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,2,1,19.353078899905086,None,"['3', '1']",1,"[0.021833299892023206, 0.19610309996642172]",19.353078899905086,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,1,1,19.6532916999422,None,['2'],1,[-0.05011730012483895],19.6532916999422,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,1,1,19.728221399942413,None,['3'],1,[-0.028235600097104907],19.728221399942413,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,2,1,19.805648499866948,None,"['1', '2']",1,"[0.05322600016370416, 0.08964300015941262]",19.805648499866948,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,1,1,19.971724499948323,None,['3'],1,[0.04639179981313646],19.971724499948323,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,2,1,20.096509200055152,None,"['1', '2']",1,"[0.05119209992699325, 0.11457939981482923]",20.096509200055152,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,2,1,20.31468790001236,None,"['3', '1']",1,"[0.0054512000642716885, 0.14205999998375773]",20.31468790001236,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,1,1,20.568917899858207,None,['2'],1,[-0.035984500078484416],20.568917899858207,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,2,1,20.645233900053427,None,"['3', '1']",1,"[-0.014404100133106112, 0.12438579997979105]",20.645233900053427,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,1,1,20.847634400008246,None,['2'],1,[-0.017287899972870946],20.847634400008246,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
