NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,30.11131839999871,None,1,0.17685550000169314,30.11131839999871,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1,0,1,0,0,4,4,4,,,,,,,30.368379300001834,None,2,0.07128690000536153,30.368379300001834,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1,0,1,0,0,5,5,5,,,,,,,30.52112180000404,None,3,0.05209390000527492,30.52112180000404,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1,0,1,0,0,6,6,6,,,,,,,30.646094800002174,None,1,1.00696340000286,30.646094800002174,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1,0,1,0,0,7,7,7,,,,,,,31.75033809999877,None,3,0.4624091999939992,31.75033809999877,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1,0,1,0,0,8,8,8,,,,,,,32.291938900001696,None,2,0.26500920000398764,32.291938900001696,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1,0,1,0,0,9,9,9,,,,,,,32.639159199999995,None,3,0.30944260000251234,32.639159199999995,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1,0,1,0,0,10,10,10,,,,,,,33.02783510000154,None,1,0.25733580000087386,33.02783510000154,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1,0,1,0,0,11,11,11,,,,,,,33.35453399999824,None,2,0.3460863000000245,33.35453399999824,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1,0,1,0,0,12,12,12,,,,,,,33.77161879999767,None,2,0.9742696999965119,33.77161879999767,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,34.819557200004056,None,None,34.819557200004056,None,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,2,0,2,0,0,0,0,0,,,,,,,34.86811789999774,None,1,1.1106920999955037,34.86811789999774,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,2,0,2,0,0,1,1,1,,,,,,,36.04184440000245,None,2,0.111758800005191,36.04184440000245,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,2,0,2,0,0,2,2,2,,,,,,,36.229362400001264,None,3,0.019554900005459785,36.229362400001264,None,,,,,,,001,2021_Nov_15_1353,TMTAB,2021.2.3,143.10676193494209,
