NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,0,17,17,17,,,,,,,,,11.02055679995101,None,['3'],1,[-0.01712600002065301],11.02055679995101,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,0,18,18,18,,,,,,,,,11.112254099920392,None,['1'],1,[0.0309776000212878],11.112254099920392,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,0,19,19,19,,,,,,,,,11.243617299944162,None,"['2', '3']",1,"[-0.045253299991600215, 0.06407209997996688]",11.243617299944162,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,0,20,20,20,,,,,,,,,11.409133499953896,None,['1'],1,[0.04991169995628297],11.409133499953896,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,0,21,21,21,,,,,,,,,11.534096500021406,None,"['2', '3']",1,"[-0.007964499993249774, 0.09682480001356453]",11.534096500021406,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,0,22,22,22,,,,,,,,,11.742671599960886,None,['1'],1,[0.03450120007619262],11.742671599960886,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,0,23,23,23,,,,,,,,,11.859928300022148,None,['2'],1,[0.14026899996679276],11.859928300022148,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,0,24,24,24,,,,,,,,,12.08909629995469,None,"['1', '3']",1,"[-0.06508309999480844, 0.08167210000101477]",12.08909629995469,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,0,25,25,25,,,,,,,,,12.256103800027631,None,None,1,,12.256103800027631,None,,,,001,2021_Nov_03_1715,TMTAB,2021.2.3,144.0918036906701,
,,,,,,,,,,,,,,,,,,,,,,,,,13.260447799926624,None,,,,,,,
