NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,0,0,0,0,6.473653500084765,None,6.473653500084765,None,7.209576499997638,None,['1'],0,[1.24060930009],7.209576499997638,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
A,1,TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,10,0,1,1,1,,,,,8.529835500055924,None,['1'],0,[2.689192199963145],8.529835500055924,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
2,3,TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,11.292445100029,None,['1'],0,[0.7123697999631986],11.292445100029,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
B,2,TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,12.084240199998021,None,['1'],0,[0.4043736000312492],12.084240199998021,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
3,1,TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,12.584998000063933,None,['1'],0,[0.33289309998508543],12.584998000063933,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
C,2,TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,13.001086200005375,None,['1'],0,[0.30588330002501607],13.001086200005375,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
4,1,TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,13.382990800077096,None,['1'],0,[0.2832953999750316],13.382990800077096,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
D,2,TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,13.737212800071575,None,['1'],0,[0.2920731999911368],13.737212800071575,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
5,3,TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,14.112127000000328,None,['1'],0,[0.35244990000501275],14.112127000000328,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
E,1,TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,14.556365100084804,None,['1'],0,[0.31694489996880293],14.556365100084804,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
6,3,TMTstop-B_1_1linestimulus8.png,TMTstop-B_1_1greenlinestimulus8.png,TMTstop-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,14.952586300089024,None,['1'],0,[0.31315100006759167],14.952586300089024,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
F,2,TMTstop-B_1_1linestimulus9.png,TMTstop-B_1_1greenlinestimulus9.png,TMTstop-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,15.348779499996454,None,['1'],0,[0.3250457000685856],15.348779499996454,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
7,1,TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus10.png,1,0,12,12,12,,,,,15.758277300046757,None,['1'],0,[0.17272129992488772],15.758277300046757,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
G,3,TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus11.png,None,0,13,13,13,,,,,16.0077961999923,None,['1'],0,[0.17770990007556975],16.0077961999923,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
8,1,TMTstop-B_1_1linestimulus12.png,TMTstop-B_1_1greenlinestimulus12.png,TMTstop-B_1_1redlinestimulus12.png,None,0,14,14,14,,,,,16.26505809999071,None,['1'],0,[0.1931600000243634],16.26505809999071,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
H,2,TMTstop-B_1_1linestimulus13.png,TMTstop-B_1_1greenlinestimulus13.png,TMTstop-B_1_1redlinestimulus13.png,None,0,15,15,15,,,,,16.54947169998195,None,['1'],0,[0.18583919992670417],16.54947169998195,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
9,3,TMTstop-B_1_1linestimulus14.png,TMTstop-B_1_1greenlinestimulus14.png,TMTstop-B_1_1redlinestimulus14.png,None,0,16,16,16,,,,,16.82769060006831,None,['1'],0,[0.17880689993035048],16.82769060006831,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
I,2,TMTstop-B_1_1linestimulus15.png,TMTstop-B_1_1greenlinestimulus15.png,TMTstop-B_1_1redlinestimulus15.png,None,0,17,17,17,,,,,17.092229300062172,None,['1'],0,[0.19604279997292906],17.092229300062172,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
10,1,TMTstop-B_1_1linestimulus16.png,TMTstop-B_1_1greenlinestimulus16.png,TMTstop-B_1_1redlinestimulus16.png,None,0,18,18,18,,,,,17.38279479998164,None,['1'],0,[0.2726319000357762],17.38279479998164,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
J,2,TMTstop-B_1_1linestimulus17.png,TMTstop-B_1_1greenlinestimulus17.png,TMTstop-B_1_1redlinestimulus17.png,None,0,19,19,19,,,,,17.750975899980403,None,['1'],0,[0.7491524999495596],17.750975899980403,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
11,3,TMTstop-B_1_1linestimulus18.png,TMTstop-B_1_1greenlinestimulus18.png,TMTstop-B_1_1redlinestimulus18.png,None,0,20,20,20,,,,,18.577322800061665,None,['2'],0,[0.23904799995943904],18.577322800061665,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
K,1,TMTstop-B_1_1linestimulus19.png,TMTstop-B_1_1greenlinestimulus19.png,TMTstop-B_1_1redlinestimulus19.png,None,0,21,21,21,,,,,18.91726630006451,None,['3'],0,[0.17311510001309216],18.91726630006451,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
12,3,TMTstop-B_1_1linestimulus20.png,TMTstop-B_1_1greenlinestimulus20.png,TMTstop-B_1_1redlinestimulus20.png,None,0,22,22,22,,,,,19.18165980000049,None,['1'],0,[0.07859819999430329],19.18165980000049,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
L,1,TMTstop-B_1_1linestimulus21.png,TMTstop-B_1_1greenlinestimulus21.png,TMTstop-B_1_1redlinestimulus21.png,None,0,23,23,23,,,,,19.36213540006429,None,['1'],0,[0.22684719995595515],19.36213540006429,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
13,2,TMTstop-B_1_1linestimulus22.png,TMTstop-B_1_1greenlinestimulus22.png,TMTstop-B_1_1redlinestimulus22.png,None,0,24,24,24,,,,,19.67484610003885,None,['1'],0,[0.14621420006733388],19.67484610003885,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
None,None,TMTstop-B_1_1linestimulus23.png,TMTstop-B_1_1greenlinestimulus23.png,TMTstop-B_1_1redlinestimulus23.png,None,0,25,25,25,,,,,19.910410800017416,None,['1'],0,[0.14354289998300374],19.910410800017416,None,,001,2021_Nov_03_1209,TMTAB,2021.2.3,144.48946073569257,
