NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,1,TMT-BX_1_1linestimulus3.png,TMT-BX_1_1greenlinestimulus3.png,TMT-BX_1_1redlinestimulus3.png,,I,,,,,,0,5,5,5,,,,,,,,,,,,,154.48332559999835,None,None,0,,154.48332559999835,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,2,TMT-BX_1_1linestimulus4.png,TMT-BX_1_1greenlinestimulus4.png,TMT-BX_1_1redlinestimulus4.png,,10,,,,,,0,6,6,6,,,,,,,,,,,,,154.54999226666504,None,None,0,,154.54999226666504,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,3,TMT-BX_1_1linestimulus5.png,TMT-BX_1_1greenlinestimulus5.png,TMT-BX_1_1redlinestimulus5.png,,J,,,,,,0,7,7,7,,,,,,,,,,,,,154.63332559999836,None,None,0,,154.63332559999836,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,2,TMT-BX_1_1linestimulus6.png,TMT-BX_1_1greenlinestimulus6.png,TMT-BX_1_1redlinestimulus6.png,,11,,,,,,0,8,8,8,,,,,,,,,,,,,154.7166589333317,None,None,0,,154.7166589333317,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,1,TMT-BX_1_1linestimulus7.png,TMT-BX_1_1greenlinestimulus7.png,TMT-BX_1_1redlinestimulus7.png,,K,,,,,,0,9,9,9,,,,,,,,,,,,,154.79999226666504,None,None,0,,154.79999226666504,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,2,TMT-BX_1_1linestimulus8.png,TMT-BX_1_1greenlinestimulus8.png,TMT-BX_1_1redlinestimulus8.png,,12,,,,,,0,10,10,10,,,,,,,,,,,,,154.88332559999836,None,None,0,,154.88332559999836,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,1,TMT-BX_1_1linestimulus9.png,TMT-BX_1_1greenlinestimulus9.png,TMT-BX_1_1redlinestimulus9.png,,L,,,,,,0,11,11,11,,,,,,,,,,,,,154.9666589333317,None,None,0,,154.9666589333317,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,None,None,TMT-BX_1_1greenlinestimulus10.png,TMT-BX_1_1redlinestimulus10.png,,None,,,,,,0,12,12,12,,,,,,,,,,,,,155.04999226666504,None,None,1,,155.04999226666504,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,2,TMT-B_1_2.png,TMT-B_1_2.png,TMT-B_1_2.png,10,,1,,,,,,,,,0,0,0,0,,,,,,,,,158.12834886666778,None,None,0,,158.12834886666778,None,155.07900320000772,None,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,3,TMT-B_1_2.png,TMT-B_1_2firstgreen.png,TMT-B_1_2firstred.png,10,,A,,,,,,,,,0,1,1,1,,,,,,,,,158.19501553333444,None,None,0,,158.19501553333444,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,1,TMT-B_1_2linestimulus0.png,TMT-B_1_2greenlinestimulus0.png,TMT-B_1_2redlinestimulus0.png,10,,2,,,,,,,,,0,2,2,2,,,,,,,,,158.2616822000011,None,None,0,,158.2616822000011,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,2,TMT-B_1_2linestimulus1.png,TMT-B_1_2greenlinestimulus1.png,TMT-B_1_2redlinestimulus1.png,10,,B,,,,,,,,,0,3,3,3,,,,,,,,,158.32834886666777,None,None,0,,158.32834886666777,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,3,TMT-B_1_2linestimulus2.png,TMT-B_1_2greenlinestimulus2.png,TMT-B_1_2redlinestimulus2.png,10,,3,,,,,,,,,0,4,4,4,,,,,,,,,158.39501553333443,None,None,0,,158.39501553333443,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
