NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,NumB_1_2erLetter,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,2,TMT-BX_1_1linestimulus0.png,TMT-BX_1_1greenlinestimulus0.png,TMT-BX_1_1redlinestimulus0.png,,8,,,,,0,2,2,2,,,,,,,,,,19.478159300000698,None,2,1,1.8608348999987356,19.478159300000698,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
,1,TMT-BX_1_1linestimulus1.png,TMT-BX_1_1greenlinestimulus1.png,TMT-BX_1_1redlinestimulus1.png,,H,,,,,0,3,3,3,,,,,,,,,,21.42907650000052,None,2,0,0.3996183999988716,21.42907650000052,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
,3,TMT-BX_1_1linestimulus2.png,TMT-BX_1_1greenlinestimulus2.png,TMT-BX_1_1redlinestimulus2.png,,9,,,,,0,4,4,4,,,,,,,,,,21.908395999998902,None,2,0,0.4529258000002301,21.908395999998902,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
,1,TMT-BX_1_1linestimulus3.png,TMT-BX_1_1greenlinestimulus3.png,TMT-BX_1_1redlinestimulus3.png,,I,,,,,0,5,5,5,,,,,,,,,,22.45679360000213,None,2,0,0.5589803000002576,22.45679360000213,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
,2,TMT-BX_1_1linestimulus4.png,TMT-BX_1_1greenlinestimulus4.png,TMT-BX_1_1redlinestimulus4.png,,10,,,,,0,6,6,6,,,,,,,,,,23.10970069999894,None,2,1,0.5105027999998129,23.10970069999894,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
,3,TMT-BX_1_1linestimulus5.png,TMT-BX_1_1greenlinestimulus5.png,TMT-BX_1_1redlinestimulus5.png,,J,,,,,0,7,7,7,,,,,,,,,,23.706923599998845,None,2,0,0.5837787999989814,23.706923599998845,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
,2,TMT-BX_1_1linestimulus6.png,TMT-BX_1_1greenlinestimulus6.png,TMT-BX_1_1redlinestimulus6.png,,11,,,,,0,8,8,8,,,,,,,,,,24.373630800000683,None,2,1,1.2417357999984233,24.373630800000683,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
,1,TMT-BX_1_1linestimulus7.png,TMT-BX_1_1greenlinestimulus7.png,TMT-BX_1_1redlinestimulus7.png,,K,,,,,0,9,9,9,,,,,,,,,,25.706759700002294,None,2,0,0.5540423999991617,25.706759700002294,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
,2,TMT-BX_1_1linestimulus8.png,TMT-BX_1_1greenlinestimulus8.png,TMT-BX_1_1redlinestimulus8.png,,12,,,,,0,10,10,10,,,,,,,,,,26.34569349999947,None,2,1,2.8259846000000834,26.34569349999947,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
,1,TMT-BX_1_1linestimulus9.png,TMT-BX_1_1greenlinestimulus9.png,TMT-BX_1_1redlinestimulus9.png,,L,,,,,0,11,11,11,,,,,,,,,,29.262097499999072,None,2,0,2.111561800000345,29.262097499999072,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
,None,None,TMT-BX_1_1greenlinestimulus10.png,TMT-BX_1_1redlinestimulus10.png,,None,,,,,0,12,12,12,,,,,,,,,,31.463614700001926,None,2,0,6.831449000001157,31.463614700001926,None,,,,001,2021_Oct_27_1604,TMTAB,2021.2.3,141.76434229607554,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.31512070000099,None,,,,,,,
