NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,0,0,0,0,6.439027799991891,None,6.439027799991891,None,7.737727800034918,None,1,1,0.6413879999890924,7.737727800034918,None,,001,2021_Nov_03_1310,TMTAB,2021.2.3,141.32437897004837,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,0,1,1,1,,,,,8.459297600085847,None,2,1,0.29052639997098595,8.459297600085847,None,,001,2021_Nov_03_1310,TMTAB,2021.2.3,141.32437897004837,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,8.841933300020173,None,2,0,0.24396769993472844,8.841933300020173,None,,001,2021_Nov_03_1310,TMTAB,2021.2.3,141.32437897004837,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,9.160535900038667,None,3,1,0.22066840005572885,9.160535900038667,None,,001,2021_Nov_03_1310,TMTAB,2021.2.3,141.32437897004837,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,9.45267969998531,None,1,0,0.19522450002841651,9.45267969998531,None,,001,2021_Nov_03_1310,TMTAB,2021.2.3,141.32437897004837,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,9.730180900078267,None,2,0,0.178526800009422,9.730180900078267,None,,001,2021_Nov_03_1310,TMTAB,2021.2.3,141.32437897004837,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,9.987804600037634,None,3,0,0.038851200020872056,9.987804600037634,None,,001,2021_Nov_03_1310,TMTAB,2021.2.3,141.32437897004837,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,10.0981987999985,None,1,0,0.07324450009036809,10.0981987999985,None,,001,2021_Nov_03_1310,TMTAB,2021.2.3,141.32437897004837,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,10.25090620003175,None,2,1,0.02167150005698204,10.25090620003175,None,,001,2021_Nov_03_1310,TMTAB,2021.2.3,141.32437897004837,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,10.34882590000052,None,3,0,0.0018571000546216965,10.34882590000052,None,,001,2021_Nov_03_1310,TMTAB,2021.2.3,141.32437897004837,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,10.438814699999057,None,1,0,0.04879539995454252,10.438814699999057,None,,001,2021_Nov_03_1310,TMTAB,2021.2.3,141.32437897004837,
