NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,1,TMT-BX_1_1linestimulus1.png,TMT-BX_1_1greenlinestimulus1.png,TMT-BX_1_1redlinestimulus1.png,,H,,,,,0,3,3,3,,,,,24.341513999999734,None,1,1,0.8997667000003275,24.341513999999734,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
,3,TMT-BX_1_1linestimulus2.png,TMT-BX_1_1greenlinestimulus2.png,TMT-BX_1_1redlinestimulus2.png,,9,,,,,0,4,4,4,,,,,25.32731219999914,None,1,0,0.7784293000004254,25.32731219999914,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
,1,TMT-BX_1_1linestimulus3.png,TMT-BX_1_1greenlinestimulus3.png,TMT-BX_1_1redlinestimulus3.png,,I,,,,,0,5,5,5,,,,,26.188250700000935,None,1,1,0.34518970000135596,26.188250700000935,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
,2,TMT-BX_1_1linestimulus4.png,TMT-BX_1_1greenlinestimulus4.png,TMT-BX_1_1redlinestimulus4.png,,10,,,,,0,6,6,6,,,,,26.612158899999486,None,1,0,0.4550705999972706,26.612158899999486,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
,3,TMT-BX_1_1linestimulus5.png,TMT-BX_1_1greenlinestimulus5.png,TMT-BX_1_1redlinestimulus5.png,,J,,,,,0,7,7,7,,,,,27.15361750000011,None,1,0,0.40183649999744375,27.15361750000011,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
,2,TMT-BX_1_1linestimulus6.png,TMT-BX_1_1greenlinestimulus6.png,TMT-BX_1_1redlinestimulus6.png,,11,,,,,0,8,8,8,,,,,27.640193800001725,None,1,0,0.44378189999770257,27.640193800001725,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
,1,TMT-BX_1_1linestimulus7.png,TMT-BX_1_1greenlinestimulus7.png,TMT-BX_1_1redlinestimulus7.png,,K,,,,,0,9,9,9,,,,,28.174474100000225,None,1,1,0.35654040000008536,28.174474100000225,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
,2,TMT-BX_1_1linestimulus8.png,TMT-BX_1_1greenlinestimulus8.png,TMT-BX_1_1redlinestimulus8.png,,12,,,,,0,10,10,10,,,,,28.61898250000013,None,1,0,0.3362682000006316,28.61898250000013,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
,1,TMT-BX_1_1linestimulus9.png,TMT-BX_1_1greenlinestimulus9.png,TMT-BX_1_1redlinestimulus9.png,,L,,,,,0,11,11,11,,,,,29.05011690000174,None,1,1,0.4009377000002132,29.05011690000174,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
,None,None,TMT-BX_1_1greenlinestimulus10.png,TMT-BX_1_1redlinestimulus10.png,,None,,,,,0,12,12,12,,,,,29.535582600001362,None,2,0,9.438119599999482,29.535582600001362,None,,,,001,2021_Oct_27_1551,TMTAB,2021.2.3,144.4909223557812,
