NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.jpg,TMT-B_1_1.jpg,TMT-B_1_1.jpg,10,,,0,0,0,0,,,,,,,,,6.681223900002806,None,6.681223900002806,None,7.396399300003395,None,3,0,0.48505020000084187,7.396399300003395,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
A,2,TMT-B_1_1.jpg,TMT-B_1_1firstgreen.jpg,TMT-B_1_1firstred.jpg,10,,,0,1,1,1,,,,,,,,,,,,,7.9526264000014635,None,2,1,0.49972360000174376,7.9526264000014635,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,,0,2,2,2,,,,,,,,,,,,,8.541690500002005,None,None,0,,8.541690500002005,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
,3,TMT-BX_1_1.jpg,TMT-BX_1_1.jpg,TMT-BX_1_1.jpg,,7,,,,,,0,0,0,0,,,,,,,,,15.457800680000219,None,None,0,,15.457800680000219,None,12.406765300002007,None,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
,1,TMT-BX_1_1.jpg,TMT-BX_1_1firstgreen.jpg,TMT-BX_1_1firstred.jpg,,G,,,,,,0,1,1,1,,,,,,,,,15.521363269997892,None,None,0,,15.521363269997892,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
,2,TMT-BX_1_1linestimulus0.png,TMT-BX_1_1greenlinestimulus0.png,TMT-BX_1_1redlinestimulus0.png,,8,,,,,,0,2,2,2,,,,,,,,,15.591988369995306,None,None,0,,15.591988369995306,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
,1,TMT-BX_1_1linestimulus1.png,TMT-BX_1_1greenlinestimulus1.png,TMT-BX_1_1redlinestimulus1.png,,H,,,,,,0,3,3,3,,,,,,,,,15.676738489992204,None,None,0,,15.676738489992204,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
,3,TMT-BX_1_1linestimulus2.png,TMT-BX_1_1greenlinestimulus2.png,TMT-BX_1_1redlinestimulus2.png,,9,,,,,,0,4,4,4,,,,,,,,,15.761488609989101,None,None,0,,15.761488609989101,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
,1,TMT-BX_1_1linestimulus3.png,TMT-BX_1_1greenlinestimulus3.png,TMT-BX_1_1redlinestimulus3.png,,I,,,,,,0,5,5,5,,,,,,,,,15.85330123998574,None,None,0,,15.85330123998574,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
,2,TMT-BX_1_1linestimulus4.png,TMT-BX_1_1greenlinestimulus4.png,TMT-BX_1_1redlinestimulus4.png,,10,,,,,,0,6,6,6,,,,,,,,,15.938051359982637,None,None,0,,15.938051359982637,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
,3,TMT-BX_1_1linestimulus5.png,TMT-BX_1_1greenlinestimulus5.png,TMT-BX_1_1redlinestimulus5.png,,J,,,,,,0,7,7,7,,,,,,,,,16.029863989979276,None,None,0,,16.029863989979276,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
,2,TMT-BX_1_1linestimulus6.png,TMT-BX_1_1greenlinestimulus6.png,TMT-BX_1_1redlinestimulus6.png,,11,,,,,,0,8,8,8,,,,,,,,,16.121676619975915,None,None,0,,16.121676619975915,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
,1,TMT-BX_1_1linestimulus7.png,TMT-BX_1_1greenlinestimulus7.png,TMT-BX_1_1redlinestimulus7.png,,K,,,,,,0,9,9,9,,,,,,,,,16.213489249972554,None,None,0,,16.213489249972554,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
,2,TMT-BX_1_1linestimulus8.png,TMT-BX_1_1greenlinestimulus8.png,TMT-BX_1_1redlinestimulus8.png,,12,,,,,,0,10,10,10,,,,,,,,,16.305301879969193,None,None,0,,16.305301879969193,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
,1,TMT-BX_1_1linestimulus9.png,TMT-BX_1_1greenlinestimulus9.png,TMT-BX_1_1redlinestimulus9.png,,L,,,,,,0,11,11,11,,,,,,,,,16.39711450996583,None,None,0,,16.39711450996583,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
,None,None,TMT-BX_1_1greenlinestimulus10.png,TMT-BX_1_1redlinestimulus10.png,,None,,,,,,0,12,12,12,,,,,,,,,16.495989649962212,None,None,1,,16.495989649962212,None,,,,001,2021_Oct_27_1623,TMTAB,2021.2.3,144.6236170339447,
