NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
23,['1'],TMT-B_1_4linestimulus20.png,TMT-B_1_4greenlinestimulus20.png,TMT-B_1_4redlinestimulus20.png,None,,,,,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22701239999151,None,['1'],1,[0.01971409999532625],72.22701239999151,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
24,['2'],TMT-B_1_4linestimulus21.png,TMT-B_1_4greenlinestimulus21.png,TMT-B_1_4redlinestimulus21.png,None,,,,,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.36501929999213,None,['2'],1,[-0.018111199999111705],72.36501929999213,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
25,['3'],TMT-B_1_4linestimulus22.png,TMT-B_1_4greenlinestimulus22.png,TMT-B_1_4redlinestimulus22.png,None,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.50283859999035,None,['3'],1,[-0.1002267000003485],72.50283859999035,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
None,None,TMT-B_1_4linestimulus23.png,TMT-B_1_4greenlinestimulus23.png,TMT-B_1_4redlinestimulus23.png,None,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.64250729999912,None,['1'],0,[0.09920339999371208],72.64250729999912,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
1,['3'],TMT-B_1_5.png,TMT-B_1_5.png,TMT-B_1_5.png,10,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,72.79521929999464,None,,,,,,,,,,,,,,75.88219540000136,None,['1'],0,[1.9224964000022737],75.88219540000136,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
2,['2'],TMT-B_1_5.png,TMT-B_1_5firstgreen.png,TMT-B_1_5firstred.png,10,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,78.01480049999373,None,['2'],1,[-0.07182290000491776],78.01480049999373,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
3,['3'],TMT-B_1_5linestimulus0.png,TMT-B_1_5greenlinestimulus0.png,TMT-B_1_5redlinestimulus0.png,10,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,78.15345630000229,None,['3'],1,[-0.08715180000581313],78.15345630000229,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
4,['2'],TMT-B_1_5linestimulus1.png,TMT-B_1_5greenlinestimulus1.png,TMT-B_1_5redlinestimulus1.png,10,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,78.2923499999888,None,['1'],0,[-0.01590940001187846],78.2923499999888,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
5,['3'],TMT-B_1_5linestimulus2.png,TMT-B_1_5greenlinestimulus2.png,TMT-B_1_5redlinestimulus2.png,10,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,78.43151959999523,None,['2'],0,[-0.06817210000008345],78.43151959999523,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
6,['1'],TMT-B_1_5linestimulus3.png,TMT-B_1_5greenlinestimulus3.png,TMT-B_1_5redlinestimulus3.png,10,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,78.56926979999116,None,['3'],0,[-0.09435100000700913],78.56926979999116,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
7,['3'],TMT-B_1_5linestimulus4.png,TMT-B_1_5greenlinestimulus4.png,TMT-B_1_5redlinestimulus4.png,10,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,78.70812789999763,None,"['1', '2']",0,"[-0.049625599989667535, -0.01268329999584239]",78.70812789999763,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
8,['1'],TMT-B_1_5linestimulus5.png,TMT-B_1_5greenlinestimulus5.png,TMT-B_1_5redlinestimulus5.png,10,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,78.84626259999641,None,['3'],0,[-0.04330869999830611],78.84626259999641,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
9,['2'],TMT-B_1_5linestimulus6.png,TMT-B_1_5greenlinestimulus6.png,TMT-B_1_5redlinestimulus6.png,10,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,78.98620269999083,None,['1'],0,[0.001368400000501424],78.98620269999083,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
10,['3'],TMT-B_1_5linestimulus7.png,TMT-B_1_5greenlinestimulus7.png,TMT-B_1_5redlinestimulus7.png,10,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,79.12331619999895,None,['2'],0,[-0.09031600000162143],79.12331619999895,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
