NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,15.371800100023393,None,41.46977150000748,None,1,5.283089400007157,41.46977150000748,None,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
1,3,TMT-B_1_practice.png,TMT-B_1_practice.png,TMT-B_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,46.77612520000548,None,49.917017400002806,None,1,0,3.211387300019851,49.917017400002806,None,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
A,1,TMT-B_1_practice.png,TMT-B_1_practicefirstgreen.png,TMT-B_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,53.23288770002546,None,3,0,4.940700999984983,53.23288770002546,None,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
2,3,TMT-B_1_practicelinestimulus0.png,TMT-B_1_practicegreenlinestimulus0.png,TMT-B_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,58.33217100001639,None,3,1,32.03619360001176,58.33217100001639,None,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
B,2,TMT-B_1_practicelinestimulus1.png,TMT-B_1_practicegreenlinestimulus1.png,TMT-B_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,90.5260698000202,None,2,1,2.3099941999826115,90.5260698000202,None,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
3,1,TMT-B_1_practicelinestimulus2.png,TMT-B_1_practicegreenlinestimulus2.png,TMT-B_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,92.95139090000885,None,1,1,1.0004004999937024,92.95139090000885,None,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
C,3,TMT-B_1_practicelinestimulus3.png,TMT-B_1_practicegreenlinestimulus3.png,TMT-B_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,94.07245900001726,None,1,0,0.9525320999964606,94.07245900001726,None,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
4,2,TMT-B_1_practicelinestimulus4.png,TMT-B_1_practicegreenlinestimulus4.png,TMT-B_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,95.1445504000003,None,3,0,8.986802800005535,95.1445504000003,None,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
D,1,TMT-B_1_practicelinestimulus5.png,TMT-B_1_practicegreenlinestimulus5.png,TMT-B_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,104.25324109999929,None,2,0,0.16805180002120323,104.25324109999929,None,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
5,3,TMT-B_1_practicelinestimulus6.png,TMT-B_1_practicegreenlinestimulus6.png,TMT-B_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,104.5308561999991,None,2,0,0.42855370001052506,104.5308561999991,None,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
E,2,TMT-B_1_practicelinestimulus7.png,TMT-B_1_practicegreenlinestimulus7.png,TMT-B_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,105.06667220001691,None,1,0,0.47340680001070723,105.06667220001691,None,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
6,3,TMT-B_1_practicelinestimulus8.png,TMT-B_1_practicegreenlinestimulus8.png,TMT-B_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,105.73615290000453,None,1,0,0.5495444999833126,105.73615290000453,None,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
F,2,TMT-B_1_practicelinestimulus9.png,TMT-B_1_practicegreenlinestimulus9.png,TMT-B_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,106.41435810000985,None,1,0,0.4718992999987677,106.41435810000985,None,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
None,None,None,TMT-B_1_practicegreenlinestimulus10.png,TMT-B_1_practiceredlinestimulus10.png,1,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,107.01252840002417,None,None,1,,107.01252840002417,None,,,,,,,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
