1.7716 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['pyo'] (in that order).
5.6461 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BAB9059EB8>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001BAB9041198>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1055]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='glfw')
5.6462 	EXP 	window1: mouseVisible = True
5.6462 	EXP 	window1: recordFrameIntervals = False
5.7148 	EXP 	window1: recordFrameIntervals = True
5.7916 	EXP 	window1: recordFrameIntervals = False
6.0833 	EXP 	Created Instruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='InkedInstructBfinal_LI.jpg', interpolate=True, mask=None, maskParams=None, name='Instruct', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.8]), texRes=128.0, units='height', win=Window(...))
6.1909 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.5, pos=array([ 0.  , -0.45]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=2.0)
6.1939 	EXP 	Created Stim = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Stim', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.777, 1.   ]), texRes=128.0, units='height', win=Window(...))
6.1965 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
6.2151 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
6.2723 	EXP 	Instruct: autoDraw = True
6.2723 	EXP 	text_2: autoDraw = True
6.8794 	DATA 	Keypress: 2
6.8949 	EXP 	Imported TMTstop-B_1_1.xlsx as conditions, 26 conditions, 6 params
6.8952 	EXP 	Created sequence: sequential, trialTypes=26, nReps=1, seed=None
6.8954 	EXP 	New trial (rep=0, index=0): {'NumberLetter': 1, 'corrAns': ['2'], 'StimFile': 'TMTstop-B_1_1.png', 'Correct_StimFile': 'TMTstop-B_1_1.png', 'False_StimFile': 'TMTstop-B_1_1.png', 'DurationTrial': 10}
6.9867 	EXP 	Instruct: autoDraw = False
6.9867 	EXP 	text_2: autoDraw = False
6.9867 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
6.9867 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
6.9867 	EXP 	Stim: autoDraw = True
7.0455 	DATA 	Keypress: 2
7.7401 	DATA 	Keypress: 2
7.9212 	DATA 	Keypress: 2
8.4134 	DATA 	Keypress: 2
8.6844 	DATA 	Keypress: 2
8.6845 	DATA 	Keypress: 3
8.9345 	DATA 	Keypress: 1
8.9627 	DATA 	Keypress: 3
9.1355 	DATA 	Keypress: 2
9.2057 	DATA 	Keypress: 1
9.2757 	DATA 	Keypress: 3
9.3658 	DATA 	Keypress: 2
9.4897 	DATA 	Keypress: 1
9.5665 	DATA 	Keypress: 3
9.5805 	DATA 	Keypress: 2
9.7050 	DATA 	Keypress: 3
9.7334 	DATA 	Keypress: 1
9.7884 	DATA 	Keypress: 2
9.8719 	DATA 	Keypress: 1
9.9345 	DATA 	Keypress: 2
9.9481 	DATA 	Keypress: 3
10.0539 	DATA 	Keypress: 3
10.0940 	DATA 	Keypress: 1
10.1360 	DATA 	Keypress: 2
10.2688 	DATA 	Keypress: 3
10.2814 	DATA 	Keypress: 1
10.3648 	DATA 	Keypress: 2
10.4898 	DATA 	Keypress: 3
10.5248 	DATA 	Keypress: 1
10.5803 	DATA 	Keypress: 2
10.6778 	DATA 	Keypress: 3
10.9827 	DATA 	Keypress: esc
11.1557 	EXP 	window1: mouseVisible = True
