NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
E,['1'],TMTstop-B_1_practicelinestimulus7.png,TMTstop-B_1_practicegreenlinestimulus7.png,TMTstop-B_1_practiceredlinestimulus7.png,10,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,21.103142000036314,None,1,0.1347982999868691,21.103142000036314,None,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
6,['3'],TMTstop-B_1_practicelinestimulus8.png,TMTstop-B_1_practicegreenlinestimulus8.png,TMTstop-B_1_practiceredlinestimulus8.png,10,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,21.31987539981492,None,3,0.10468619992025197,21.31987539981492,None,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
F,['1'],TMTstop-B_1_practicelinestimulus9.png,TMTstop-B_1_practicegreenlinestimulus9.png,TMTstop-B_1_practiceredlinestimulus9.png,10,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,21.52018540003337,None,1,0.10563649982213974,21.52018540003337,None,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
None,None,TMTstop-B_1_practicelinestimulus10.png,TMTstop-B_1_practicegreenlinestimulus10.png,TMTstop-B_1_practiceredlinestimulus10.png,1,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,21.720183399971575,None,None,,21.720183399971575,None,,,,,,,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.766888399841264,None,2,0.6062523000873625,22.766888399841264,None,,,,,,,,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
1,['2'],TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,23.402341599809006,None,,,,,,,,,,,,,26.504792699823156,None,['2'],1,[1.6912519000470638],26.504792699823156,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
A,['1'],TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,10,1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.289734199875966,None,['1'],1,[1.2686507999897003],28.289734199875966,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
2,['2'],TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,10,2,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.640104699879885,None,['2'],1,[0.5208884999155998],29.640104699879885,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
B,['3'],TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,10,3,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.257166099967435,None,['3'],1,[0.644756400026381],30.257166099967435,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
3,['2'],TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,10,2,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.99090430000797,None,['2'],1,[0.5369667999912053],30.99090430000797,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
C,['3'],TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,10,3,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.624424499925226,None,['3'],1,[0.6013168001081795],31.624424499925226,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
4,['1'],TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,10,1,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.30815940001048,None,['1'],1,[1.2970535000786185],32.30815940001048,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
D,['2'],TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,10,2,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.69210129999556,None,['2'],1,[0.48669830011203885],33.69210129999556,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
5,['1'],TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,10,1,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.27569569996558,None,['1'],1,[1.0021579000167549],34.27569569996558,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
E,['2'],TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,10,2,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.37625919980928,None,['2'],1,[1.1292603998444974],35.37625919980928,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
6,['1'],TMTstop-B_1_1linestimulus8.png,TMTstop-B_1_1greenlinestimulus8.png,TMTstop-B_1_1redlinestimulus8.png,10,1,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.59341620001942,None,['1'],1,[0.7925189000088722],36.59341620001942,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
F,['2'],TMTstop-B_1_1linestimulus9.png,TMTstop-B_1_1greenlinestimulus9.png,TMTstop-B_1_1redlinestimulus9.png,10,2,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.47715139994398,None,['2'],1,[1.2441542001906782],37.47715139994398,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
7,['3'],TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus10.png,1,3,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.811232100008056,None,['3'],1,[1.3411463999655098],38.811232100008056,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
G,['1'],TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus11.png,None,1,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.24532029987313,None,['1'],1,[2.3946970000397414],40.24532029987313,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
8,['2'],TMTstop-B_1_1linestimulus12.png,TMTstop-B_1_1greenlinestimulus12.png,TMTstop-B_1_1redlinestimulus12.png,None,2,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.72963419998996,None,['2'],1,[1.6326036001555622],42.72963419998996,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
H,['3'],TMTstop-B_1_1linestimulus13.png,TMTstop-B_1_1greenlinestimulus13.png,TMTstop-B_1_1redlinestimulus13.png,None,3,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44722820003517,None,['3'],1,[3.985601899912581],44.44722820003517,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
9,['2'],TMTstop-B_1_1linestimulus14.png,TMTstop-B_1_1greenlinestimulus14.png,TMTstop-B_1_1redlinestimulus14.png,None,2,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.51565519999713,None,['2'],1,[1.2262186000589281],48.51565519999713,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
I,['1'],TMTstop-B_1_1linestimulus15.png,TMTstop-B_1_1greenlinestimulus15.png,TMTstop-B_1_1redlinestimulus15.png,None,1,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.83292349986732,None,['1'],1,[0.5301967998966575],49.83292349986732,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
10,['3'],TMTstop-B_1_1linestimulus16.png,TMTstop-B_1_1greenlinestimulus16.png,TMTstop-B_1_1redlinestimulus16.png,None,3,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.449386899825186,None,['3'],1,[0.624208000022918],50.449386899825186,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
J,['1'],TMTstop-B_1_1linestimulus17.png,TMTstop-B_1_1greenlinestimulus17.png,TMTstop-B_1_1redlinestimulus17.png,None,1,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.16690699988976,None,['1'],1,[0.5566364999394864],51.16690699988976,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
11,['2'],TMTstop-B_1_1linestimulus18.png,TMTstop-B_1_1greenlinestimulus18.png,TMTstop-B_1_1redlinestimulus18.png,None,2,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.81726859998889,None,['2'],1,[1.5516109999734908],51.81726859998889,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
K,['3'],TMTstop-B_1_1linestimulus19.png,TMTstop-B_1_1greenlinestimulus19.png,TMTstop-B_1_1redlinestimulus19.png,None,3,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.45128889987245,None,['3'],1,[1.3889769001398236],53.45128889987245,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
12,['2'],TMTstop-B_1_1linestimulus20.png,TMTstop-B_1_1greenlinestimulus20.png,TMTstop-B_1_1redlinestimulus20.png,None,2,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.93534590001218,None,['2'],1,[1.2845133000519127],54.93534590001218,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
L,['3'],TMTstop-B_1_1linestimulus21.png,TMTstop-B_1_1greenlinestimulus21.png,TMTstop-B_1_1redlinestimulus21.png,None,3,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.30265449988656,None,['3'],1,[1.0370011001359671],56.30265449988656,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
13,['2'],TMTstop-B_1_1linestimulus22.png,TMTstop-B_1_1greenlinestimulus22.png,TMTstop-B_1_1redlinestimulus22.png,None,2,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.43642029981129,None,['2'],1,[0.7824931000359356],57.43642029981129,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
None,None,TMTstop-B_1_1linestimulus23.png,TMTstop-B_1_1greenlinestimulus23.png,TMTstop-B_1_1redlinestimulus23.png,None,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.30479560000822,None,None,1,,58.30479560000822,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
1,['2'],TMTstop-B_1_2.png,TMTstop-B_1_2.png,TMTstop-B_1_2.png,10,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,59.30226819985546,None,,,,,,,,,,,,,62.37220949982293,None,['2'],1,[0.5962745000142604],62.37220949982293,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
A,['3'],TMTstop-B_1_2.png,TMTstop-B_1_2firstgreen.png,TMTstop-B_1_2firstred.png,10,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.055788199882954,None,"['2', '3']",1,"[0.3286025000270456, 0.9155194000340998]",63.055788199882954,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
2,['1'],TMTstop-B_1_2linestimulus0.png,TMTstop-B_1_2greenlinestimulus0.png,TMTstop-B_1_2redlinestimulus0.png,10,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.07284789998084,None,['1'],1,[0.3224991001188755],64.07284789998084,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
B,['2'],TMTstop-B_1_2linestimulus1.png,TMTstop-B_1_2greenlinestimulus1.png,TMTstop-B_1_2redlinestimulus1.png,10,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4896662000101,None,"['1', '1', '1', '2']",1,"[0.45374300004914403, 0.7355583000462502, 0.9913324001245201, 1.2229771001730114]",64.4896662000101,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
3,['3'],TMTstop-B_1_2linestimulus2.png,TMTstop-B_1_2greenlinestimulus2.png,TMTstop-B_1_2redlinestimulus2.png,10,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.84033969999291,None,['3'],1,[0.16218070010654628],65.84033969999291,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
C,['1'],TMTstop-B_1_2linestimulus3.png,TMTstop-B_1_2greenlinestimulus3.png,TMTstop-B_1_2redlinestimulus3.png,10,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0905118000228,None,['1'],1,[0.23209279985167086],66.0905118000228,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
4,['2'],TMTstop-B_1_2linestimulus4.png,TMTstop-B_1_2greenlinestimulus4.png,TMTstop-B_1_2redlinestimulus4.png,10,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.40726669994183,None,['2'],1,[0.006012299796566367],66.40726669994183,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
D,['3'],TMTstop-B_1_2linestimulus5.png,TMTstop-B_1_2greenlinestimulus5.png,TMTstop-B_1_2redlinestimulus5.png,10,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.50728659983724,None,['3'],1,[0.02253519999794662],66.50728659983724,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
5,['2'],TMTstop-B_1_2linestimulus6.png,TMTstop-B_1_2greenlinestimulus6.png,TMTstop-B_1_2redlinestimulus6.png,10,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.62435179995373,None,"['1', '2']",1,"[0.04747100011445582, 0.11779329995624721]",66.62435179995373,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
