NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
E,['1'],TMTstop-B_1_practicelinestimulus7.png,TMTstop-B_1_practicegreenlinestimulus7.png,TMTstop-B_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,15.787895400004345,None,1,0.5069439000071725,15.787895400004345,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
6,['3'],TMTstop-B_1_practicelinestimulus8.png,TMTstop-B_1_practicegreenlinestimulus8.png,TMTstop-B_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,16.36418990000675,None,3,0.7628496999968775,16.36418990000675,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
F,['1'],TMTstop-B_1_practicelinestimulus9.png,TMTstop-B_1_practicegreenlinestimulus9.png,TMTstop-B_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,17.20431749999989,None,1,0.6247842000011588,17.20431749999989,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
None,None,TMTstop-B_1_practicelinestimulus10.png,TMTstop-B_1_practicegreenlinestimulus10.png,TMTstop-B_1_practiceredlinestimulus10.png,1,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8993216999952,None,None,,17.8993216999952,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.938447799999267,None,2,10.260933300000033,18.938447799999267,None,,,,,,,,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
1,['2'],TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,29.21581839999999,None,,,,,,,,,,,,,32.26614809999592,None,"['1', '2']",1,"[1.2813491999986582, 1.3764595000102418]",32.26614809999592,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
A,['1'],TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.73960080000688,None,"['3', '1']",1,"[-0.005946800010860898, 0.20652429999609012]",33.73960080000688,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
2,['3'],TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.01667130000715,None,"['2', '3']",1,"[0.006584799994016066, 0.1201767999882577]",34.01667130000715,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
B,['2'],TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,10,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.23167229999672,None,"['1', '2']",1,"[0.08172459999332204, 0.16187939999508671]",34.23167229999672,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
3,['1'],TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,10,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.475135200002114,None,"['3', '1']",1,"[0.01319820000207983, 0.18732209999870975]",34.475135200002114,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
