NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
G,['2'],TMTstop-B_1_2linestimulus11.png,TMTstop-B_1_2greenlinestimulus11.png,TMTstop-B_1_2redlinestimulus11.png,None,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.64145569999528,None,"['1', '2']",1,"[0.005020299999159761, 0.06676030000380706]",43.64145569999528,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
8,['3'],TMTstop-B_1_2linestimulus12.png,TMTstop-B_1_2greenlinestimulus12.png,TMTstop-B_1_2redlinestimulus12.png,None,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.81566659999953,None,['3'],1,[0.0012489000073401257],43.81566659999953,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
H,['2'],TMTstop-B_1_2linestimulus13.png,TMTstop-B_1_2greenlinestimulus13.png,TMTstop-B_1_2redlinestimulus13.png,None,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8993410999974,None,"['1', '2']",1,"[0.01898310000251513, 0.08117160000256263]",43.8993410999974,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
9,['3'],TMTstop-B_1_2linestimulus14.png,TMTstop-B_1_2greenlinestimulus14.png,TMTstop-B_1_2redlinestimulus14.png,None,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1001557999989,None,"['1', '2', '3']",1,"[0.1020728000003146, 0.1631117000069935, 0.2660753999953158]",44.1001557999989,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
I,['1'],TMTstop-B_1_2linestimulus15.png,TMTstop-B_1_2greenlinestimulus15.png,TMTstop-B_1_2redlinestimulus15.png,None,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.447265299997525,None,['1'],1,[0.04151329999149311],44.447265299997525,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
10,['2'],TMTstop-B_1_2linestimulus16.png,TMTstop-B_1_2greenlinestimulus16.png,TMTstop-B_1_2redlinestimulus16.png,None,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.55806759999541,None,['2'],1,[-0.006147499996586703],44.55806759999541,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
J,['3'],TMTstop-B_1_2linestimulus17.png,TMTstop-B_1_2greenlinestimulus17.png,TMTstop-B_1_2redlinestimulus17.png,None,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.62739779999538,None,['3'],1,[0.035335699998540804],44.62739779999538,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
11,['2'],TMTstop-B_1_2linestimulus18.png,TMTstop-B_1_2greenlinestimulus18.png,TMTstop-B_1_2redlinestimulus18.png,None,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.73852810000244,None,"['1', '2']",1,"[0.06055070000002161, 0.1491373000026215]",44.73852810000244,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
K,['3'],TMTstop-B_1_2linestimulus19.png,TMTstop-B_1_2greenlinestimulus19.png,TMTstop-B_1_2redlinestimulus19.png,None,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.995536000002176,None,['3'],1,[0.0018400999979348853],44.995536000002176,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
12,['1'],TMTstop-B_1_2linestimulus20.png,TMTstop-B_1_2greenlinestimulus20.png,TMTstop-B_1_2redlinestimulus20.png,None,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.078638999999384,None,['1'],1,[0.05416670000704471],45.078638999999384,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
L,['2'],TMTstop-B_1_2linestimulus21.png,TMTstop-B_1_2greenlinestimulus21.png,TMTstop-B_1_2redlinestimulus21.png,None,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.210634799994295,None,['2'],1,[-0.011658899995381944],45.210634799994295,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
13,['3'],TMTstop-B_1_2linestimulus22.png,TMTstop-B_1_2greenlinestimulus22.png,TMTstop-B_1_2redlinestimulus22.png,None,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.28723319999699,None,['3'],1,[0.0294380999985151],45.28723319999699,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
None,None,TMTstop-B_1_2linestimulus23.png,TMTstop-B_1_2greenlinestimulus23.png,TMTstop-B_1_2redlinestimulus23.png,None,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.40555860000313,None,"['1', '2', '3']",0,"[0.02555669999856036, 0.09072059999743942, 0.20414329999766778]",45.40555860000313,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
1,['2'],TMTstop-B_1_3.png,TMTstop-B_1_3.png,TMTstop-B_1_3.png,10,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,46.43795419999515,None,,,,,,,,,,,,,49.51570089999586,None,"['1', '2']",1,"[0.4384903000027407, 0.4969806000008248]",49.51570089999586,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
A,['1'],TMTstop-B_1_3.png,TMTstop-B_1_3firstgreen.png,TMTstop-B_1_3firstred.png,10,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1065122,None,"['3', '1']",1,"[0.0426076000003377, 0.17635349999181926]",50.1065122,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
2,['3'],TMTstop-B_1_3linestimulus0.png,TMTstop-B_1_3greenlinestimulus0.png,TMTstop-B_1_3redlinestimulus0.png,10,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3633123000036,None,"['2', '3']",1,"[-0.004467899998417124, 0.09841510000114795]",50.3633123000036,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
B,['1'],TMTstop-B_1_3linestimulus1.png,TMTstop-B_1_3greenlinestimulus1.png,TMTstop-B_1_3redlinestimulus1.png,10,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,50.564589899993734,None,['1'],1,[0.018877599999541417],50.564589899993734,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
3,['2'],TMTstop-B_1_3linestimulus2.png,TMTstop-B_1_3greenlinestimulus2.png,TMTstop-B_1_3redlinestimulus2.png,10,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,50.66207730000315,None,['2'],1,[-0.01971219999541063],50.66207730000315,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
C,['3'],TMTstop-B_1_3linestimulus3.png,TMTstop-B_1_3greenlinestimulus3.png,TMTstop-B_1_3redlinestimulus3.png,10,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,50.738259499994456,None,['3'],1,[0.014121300002443604],50.738259499994456,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
4,['2'],TMTstop-B_1_3linestimulus4.png,TMTstop-B_1_3greenlinestimulus4.png,TMTstop-B_1_3redlinestimulus4.png,10,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8222231999971,None,"['1', '2']",1,"[0.053199199988739565, 0.1033597999921767]",50.8222231999971,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
D,['1'],TMTstop-B_1_3linestimulus5.png,TMTstop-B_1_3greenlinestimulus5.png,TMTstop-B_1_3redlinestimulus5.png,10,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,51.03686560000642,None,"['3', '1']",1,"[0.00815780000993982, 0.14229960000375286]",51.03686560000642,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
5,['3'],TMTstop-B_1_3linestimulus6.png,TMTstop-B_1_3greenlinestimulus6.png,TMTstop-B_1_3redlinestimulus6.png,10,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,51.293972100000246,None,"['2', '3']",1,"[-0.057901799998944625, 0.058777500002179295]",51.293972100000246,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
E,['1'],TMTstop-B_1_3linestimulus7.png,TMTstop-B_1_3greenlinestimulus7.png,TMTstop-B_1_3redlinestimulus7.png,10,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,51.46073639999668,None,['1'],1,[0.00518269999884069],51.46073639999668,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
6,['3'],TMTstop-B_1_3linestimulus8.png,TMTstop-B_1_3greenlinestimulus8.png,TMTstop-B_1_3redlinestimulus8.png,10,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,51.55069390000426,None,"['2', '3']",1,"[-0.029886000003898516, 0.09140959999058396]",51.55069390000426,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
F,['1'],TMTstop-B_1_3linestimulus9.png,TMTstop-B_1_3greenlinestimulus9.png,TMTstop-B_1_3redlinestimulus9.png,10,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,51.752183999997214,None,['1'],1,[0.006977800003369339],51.752183999997214,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
7,['3'],TMTstop-B_1_3linestimulus10.png,TMTstop-B_1_3greenlinestimulus10.png,TMTstop-B_1_3redlinestimulus10.png,1,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,51.84252029999334,None,"['2', '3']",1,"[-0.033168099995236844, 0.08574680000310764]",51.84252029999334,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
G,['1'],TMTstop-B_1_3linestimulus11.png,TMTstop-B_1_3greenlinestimulus11.png,TMTstop-B_1_3redlinestimulus11.png,None,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,52.03710489999503,None,['1'],1,[0.011332399997627363],52.03710489999503,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
8,['2'],TMTstop-B_1_3linestimulus12.png,TMTstop-B_1_3greenlinestimulus12.png,TMTstop-B_1_3redlinestimulus12.png,None,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,52.12038279999979,None,['2'],1,[-0.009478400010266341],52.12038279999979,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
H,['1'],TMTstop-B_1_3linestimulus13.png,TMTstop-B_1_3greenlinestimulus13.png,TMTstop-B_1_3redlinestimulus13.png,None,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19660369999474,None,"['3', '1']",1,"[0.025420399993890896, 0.14249040000140667]",52.19660369999474,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
9,['3'],TMTstop-B_1_3linestimulus14.png,TMTstop-B_1_3greenlinestimulus14.png,TMTstop-B_1_3redlinestimulus14.png,None,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,52.42567979999876,None,"['2', '3']",1,"[-0.018744999993941747, 0.08864380000159144]",52.42567979999876,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
I,['1'],TMTstop-B_1_3linestimulus15.png,TMTstop-B_1_3greenlinestimulus15.png,TMTstop-B_1_3redlinestimulus15.png,None,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,52.62737659999402,None,['1'],1,[-0.0027380999963497743],52.62737659999402,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
10,['2'],TMTstop-B_1_3linestimulus16.png,TMTstop-B_1_3greenlinestimulus16.png,TMTstop-B_1_3redlinestimulus16.png,None,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,52.69671020000533,None,['2'],1,[0.008626700000604615],52.69671020000533,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
J,['3'],TMTstop-B_1_3linestimulus17.png,TMTstop-B_1_3greenlinestimulus17.png,TMTstop-B_1_3redlinestimulus17.png,None,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78011979999428,None,['3'],1,[0.03669310000259429],52.78011979999428,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
11,['2'],TMTstop-B_1_3linestimulus18.png,TMTstop-B_1_3greenlinestimulus18.png,TMTstop-B_1_3redlinestimulus18.png,None,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,52.89827449999575,None,"['1', '2']",1,"[0.01676130000851117, 0.09585189999779686]",52.89827449999575,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
K,['3'],TMTstop-B_1_3linestimulus19.png,TMTstop-B_1_3greenlinestimulus19.png,TMTstop-B_1_3redlinestimulus19.png,None,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,53.08588270000473,None,['3'],1,[0.02699090000533033],53.08588270000473,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
12,['1'],TMTstop-B_1_3linestimulus20.png,TMTstop-B_1_3greenlinestimulus20.png,TMTstop-B_1_3redlinestimulus20.png,None,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,53.18286590000207,None,['1'],1,[0.031632999991416],53.18286590000207,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
L,['3'],TMTstop-B_1_3linestimulus21.png,TMTstop-B_1_3greenlinestimulus21.png,TMTstop-B_1_3redlinestimulus21.png,None,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,53.29457250000269,None,"['2', '3']",1,"[-0.004438400006620213, 0.11903000000165775]",53.29457250000269,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
13,['2'],TMTstop-B_1_3linestimulus22.png,TMTstop-B_1_3greenlinestimulus22.png,TMTstop-B_1_3redlinestimulus22.png,None,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,53.49538140000368,None,"['1', '2']",1,"[0.033423500004573725, 0.1061700000136625]",53.49538140000368,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
None,None,TMTstop-B_1_3linestimulus23.png,TMTstop-B_1_3greenlinestimulus23.png,TMTstop-B_1_3redlinestimulus23.png,None,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6895688999939,None,['3'],0,[0.04615080000075977],53.6895688999939,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
1,['1'],TMTstop-B_1_4.png,TMTstop-B_1_4.png,TMTstop-B_1_4.png,10,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,54.743182599995635,None,,,,,,,,,,,,,57.7863090000028,None,['1'],1,[0.4140608000016073],57.7863090000028,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
A,['3'],TMTstop-B_1_4.png,TMTstop-B_1_4firstgreen.png,TMTstop-B_1_4firstred.png,10,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,58.27313299999514,None,"['2', '3']",1,"[0.008870599995134398, 0.1091143999947235]",58.27313299999514,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
2,['1'],TMTstop-B_1_4linestimulus0.png,TMTstop-B_1_4greenlinestimulus0.png,TMTstop-B_1_4redlinestimulus0.png,10,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,58.481295699995826,None,['1'],1,[0.04796570001053624],58.481295699995826,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
B,['2'],TMTstop-B_1_4linestimulus1.png,TMTstop-B_1_4greenlinestimulus1.png,TMTstop-B_1_4redlinestimulus1.png,10,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,58.599468800006434,None,['2'],1,[-0.010980999999446794],58.599468800006434,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
3,['3'],TMTstop-B_1_4linestimulus2.png,TMTstop-B_1_4greenlinestimulus2.png,TMTstop-B_1_4redlinestimulus2.png,10,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,58.668848999994225,None,['3'],1,[0.016468000001623295],58.668848999994225,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
C,['1'],TMTstop-B_1_4linestimulus3.png,TMTstop-B_1_4greenlinestimulus3.png,TMTstop-B_1_4redlinestimulus3.png,10,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,58.7659399999975,None,['1'],1,[0.04827050000312738],58.7659399999975,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
4,['3'],TMTstop-B_1_4linestimulus4.png,TMTstop-B_1_4greenlinestimulus4.png,TMTstop-B_1_4redlinestimulus4.png,10,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,58.891161299994565,None,"['2', '3']",1,"[-0.020824199993512593, 0.05851880001137033]",58.891161299994565,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
D,['1'],TMTstop-B_1_4linestimulus5.png,TMTstop-B_1_4greenlinestimulus5.png,TMTstop-B_1_4redlinestimulus5.png,10,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,59.04394509999838,None,['1'],1,[0.054095700004836544],59.04394509999838,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
5,['2'],TMTstop-B_1_4linestimulus6.png,TMTstop-B_1_4greenlinestimulus6.png,TMTstop-B_1_4redlinestimulus6.png,10,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,59.168621399992844,None,['2'],1,[-0.012572599996929057],59.168621399992844,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
E,['1'],TMTstop-B_1_4linestimulus7.png,TMTstop-B_1_4greenlinestimulus7.png,TMTstop-B_1_4redlinestimulus7.png,10,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,59.23824419999437,None,"['3', '1']",1,"[0.02235320000909269, 0.14600930000597145]",59.23824419999437,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
6,['2'],TMTstop-B_1_4linestimulus8.png,TMTstop-B_1_4greenlinestimulus8.png,TMTstop-B_1_4redlinestimulus8.png,10,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,59.46081059999415,None,['2'],1,[-0.012196699986816384],59.46081059999415,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
F,['1'],TMTstop-B_1_4linestimulus9.png,TMTstop-B_1_4greenlinestimulus9.png,TMTstop-B_1_4redlinestimulus9.png,10,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,59.53684529999737,None,"['3', '1']",1,"[0.008563800001866184, 0.1321345000033034]",59.53684529999737,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
7,['3'],TMTstop-B_1_4linestimulus10.png,TMTstop-B_1_4greenlinestimulus10.png,TMTstop-B_1_4redlinestimulus10.png,1,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,59.75199780000548,None,"['2', '3']",1,"[-0.0190815000096336, 0.08277529999031685]",59.75199780000548,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
G,['2'],TMTstop-B_1_4linestimulus11.png,TMTstop-B_1_4greenlinestimulus11.png,TMTstop-B_1_4redlinestimulus11.png,None,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,59.90479030000279,None,"['1', '2']",1,"[0.05842739999934565, 0.11813389998860657]",59.90479030000279,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
8,['3'],TMTstop-B_1_4linestimulus12.png,TMTstop-B_1_4greenlinestimulus12.png,TMTstop-B_1_4redlinestimulus12.png,None,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,60.1276266000059,None,['3'],1,[0.006721900004777126],60.1276266000059,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
H,['1'],TMTstop-B_1_4linestimulus13.png,TMTstop-B_1_4greenlinestimulus13.png,TMTstop-B_1_4redlinestimulus13.png,None,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,60.217682300004526,None,['1'],1,[0.03908789998968132],60.217682300004526,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
9,['3'],TMTstop-B_1_4linestimulus14.png,TMTstop-B_1_4greenlinestimulus14.png,TMTstop-B_1_4redlinestimulus14.png,None,,,,,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,60.34261989999504,None,"['2', '3']",1,"[-0.013298999998369254, 0.0980357000080403]",60.34261989999504,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
I,['1'],TMTstop-B_1_4linestimulus15.png,TMTstop-B_1_4greenlinestimulus15.png,TMTstop-B_1_4redlinestimulus15.png,None,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,60.54394570000295,None,['1'],1,[0.007433699996909127],60.54394570000295,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
10,['3'],TMTstop-B_1_4linestimulus16.png,TMTstop-B_1_4greenlinestimulus16.png,TMTstop-B_1_4redlinestimulus16.png,None,,,,,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,60.627151399996364,None,"['2', '3']",1,"[-0.011094999994384125, 0.12235489999875426]",60.627151399996364,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
J,['2'],TMTstop-B_1_4linestimulus17.png,TMTstop-B_1_4greenlinestimulus17.png,TMTstop-B_1_4redlinestimulus17.png,None,,,,,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,60.83560890000081,None,"['1', '2']",1,"[0.022364200005540624, 0.10431310000421945]",60.83560890000081,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
11,['1'],TMTstop-B_1_4linestimulus18.png,TMTstop-B_1_4greenlinestimulus18.png,TMTstop-B_1_4redlinestimulus18.png,None,,,,,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,61.02969340000709,None,"['3', '1']",1,"[0.04923820000840351, 0.15434700000332668]",61.02969340000709,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
K,['2'],TMTstop-B_1_4linestimulus19.png,TMTstop-B_1_4greenlinestimulus19.png,TMTstop-B_1_4redlinestimulus19.png,None,,,,,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,61.27996909999638,None,['2'],1,[-0.04320949999964796],61.27996909999638,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
12,['3'],TMTstop-B_1_4linestimulus20.png,TMTstop-B_1_4greenlinestimulus20.png,TMTstop-B_1_4redlinestimulus20.png,None,,,,,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,61.34909289999632,None,['3'],1,[0.030476300002192147],61.34909289999632,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
L,['1'],TMTstop-B_1_4linestimulus21.png,TMTstop-B_1_4greenlinestimulus21.png,TMTstop-B_1_4redlinestimulus21.png,None,,,,,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,61.46764040000562,None,['1'],1,[0.04881259999820031],61.46764040000562,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
13,['3'],TMTstop-B_1_4linestimulus22.png,TMTstop-B_1_4greenlinestimulus22.png,TMTstop-B_1_4redlinestimulus22.png,None,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,61.5992882999999,None,"['2', '3']",1,"[-0.027704399995855056, 0.11513669999840204]",61.5992882999999,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
None,None,TMTstop-B_1_4linestimulus23.png,TMTstop-B_1_4greenlinestimulus23.png,TMTstop-B_1_4redlinestimulus23.png,None,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,61.8077384000062,None,None,1,,61.8077384000062,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.805251900004805,None,,,,,,,
