NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
D,['3'],TMTstop-B_1_2linestimulus5.png,TMTstop-B_1_2greenlinestimulus5.png,TMTstop-B_1_2redlinestimulus5.png,10,,,,,0,7,7,7,,,,,124.6472970666752,None,None,0,,124.6472970666752,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
5,['2'],TMTstop-B_1_2linestimulus6.png,TMTstop-B_1_2greenlinestimulus6.png,TMTstop-B_1_2redlinestimulus6.png,10,,,,,0,8,8,8,,,,,124.68063040000852,None,None,0,,124.68063040000852,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
E,['1'],TMTstop-B_1_2linestimulus7.png,TMTstop-B_1_2greenlinestimulus7.png,TMTstop-B_1_2redlinestimulus7.png,10,,,,,0,9,9,9,,,,,124.74729706667519,None,None,0,,124.74729706667519,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
6,['3'],TMTstop-B_1_2linestimulus8.png,TMTstop-B_1_2greenlinestimulus8.png,TMTstop-B_1_2redlinestimulus8.png,10,,,,,0,10,10,10,,,,,124.79729706667518,None,None,0,,124.79729706667518,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
F,['1'],TMTstop-B_1_2linestimulus9.png,TMTstop-B_1_2greenlinestimulus9.png,TMTstop-B_1_2redlinestimulus9.png,10,,,,,0,11,11,11,,,,,124.83063040000852,None,None,0,,124.83063040000852,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
7,['3'],TMTstop-B_1_2linestimulus10.png,TMTstop-B_1_2greenlinestimulus10.png,TMTstop-B_1_2redlinestimulus10.png,1,,,,,0,12,12,12,,,,,124.88063040000853,None,None,0,,124.88063040000853,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
G,['2'],TMTstop-B_1_2linestimulus11.png,TMTstop-B_1_2greenlinestimulus11.png,TMTstop-B_1_2redlinestimulus11.png,None,,,,,0,13,13,13,,,,,124.94729706667519,None,None,0,,124.94729706667519,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
8,['3'],TMTstop-B_1_2linestimulus12.png,TMTstop-B_1_2greenlinestimulus12.png,TMTstop-B_1_2redlinestimulus12.png,None,,,,,0,14,14,14,,,,,124.99729706667519,None,None,0,,124.99729706667519,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
H,['2'],TMTstop-B_1_2linestimulus13.png,TMTstop-B_1_2greenlinestimulus13.png,TMTstop-B_1_2redlinestimulus13.png,None,,,,,0,15,15,15,,,,,125.04729706667518,None,None,0,,125.04729706667518,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
9,['3'],TMTstop-B_1_2linestimulus14.png,TMTstop-B_1_2greenlinestimulus14.png,TMTstop-B_1_2redlinestimulus14.png,None,,,,,0,16,16,16,,,,,125.09729706667518,None,None,0,,125.09729706667518,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
I,['1'],TMTstop-B_1_2linestimulus15.png,TMTstop-B_1_2greenlinestimulus15.png,TMTstop-B_1_2redlinestimulus15.png,None,,,,,0,17,17,17,,,,,125.1472970666752,None,None,0,,125.1472970666752,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
10,['2'],TMTstop-B_1_2linestimulus16.png,TMTstop-B_1_2greenlinestimulus16.png,TMTstop-B_1_2redlinestimulus16.png,None,,,,,0,18,18,18,,,,,125.19729706667519,None,None,0,,125.19729706667519,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
J,['3'],TMTstop-B_1_2linestimulus17.png,TMTstop-B_1_2greenlinestimulus17.png,TMTstop-B_1_2redlinestimulus17.png,None,,,,,0,19,19,19,,,,,125.26396373334185,None,None,0,,125.26396373334185,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
11,['2'],TMTstop-B_1_2linestimulus18.png,TMTstop-B_1_2greenlinestimulus18.png,TMTstop-B_1_2redlinestimulus18.png,None,,,,,0,20,20,20,,,,,125.31396373334185,None,None,0,,125.31396373334185,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
K,['3'],TMTstop-B_1_2linestimulus19.png,TMTstop-B_1_2greenlinestimulus19.png,TMTstop-B_1_2redlinestimulus19.png,None,,,,,0,21,21,21,,,,,125.36396373334185,None,None,0,,125.36396373334185,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
12,['1'],TMTstop-B_1_2linestimulus20.png,TMTstop-B_1_2greenlinestimulus20.png,TMTstop-B_1_2redlinestimulus20.png,None,,,,,0,22,22,22,,,,,125.41396373334186,None,None,0,,125.41396373334186,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
L,['2'],TMTstop-B_1_2linestimulus21.png,TMTstop-B_1_2greenlinestimulus21.png,TMTstop-B_1_2redlinestimulus21.png,None,,,,,0,23,23,23,,,,,125.48063040000852,None,None,0,,125.48063040000852,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
13,['3'],TMTstop-B_1_2linestimulus22.png,TMTstop-B_1_2greenlinestimulus22.png,TMTstop-B_1_2redlinestimulus22.png,None,,,,,0,24,24,24,,,,,125.53063040000852,None,None,0,,125.53063040000852,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
None,None,TMTstop-B_1_2linestimulus23.png,TMTstop-B_1_2greenlinestimulus23.png,TMTstop-B_1_2redlinestimulus23.png,None,,,,,0,25,25,25,,,,,125.58063040000852,None,None,1,,125.58063040000852,None,,,,,,001,2021_Nov_05_1607,TMTAB,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,125.60373730002902,None,,,,,,,
