NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,0,0,0,0,,,,,7.731094599934295,None,7.731094599934295,None,10.737409299938008,None,['2'],1,[3.027931700111367],10.737409299938008,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
A,['1'],TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,10,0,1,1,1,,,,,,,,,13.841283099958673,None,['1'],1,[0.8925724000437185],13.841283099958673,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
2,['3'],TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,14.820624299929477,None,['3'],1,[1.2027566999895498],14.820624299929477,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
B,['2'],TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,16.119223800022155,None,['2'],1,[1.0232009999454021],16.119223800022155,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
3,['1'],TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,17.223707600031048,None,['1'],1,[0.8150420999154449],17.223707600031048,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
C,['2'],TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,18.119009700021707,None,['2'],1,[0.7764382999157533],18.119009700021707,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
4,['1'],TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,18.973306700005196,None,['1'],1,[0.8854680999647826],18.973306700005196,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
D,['2'],TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,19.945561700034887,None,"['1', '2']",1,"[1.8123236999381334, 4.446082299924456]",19.945561700034887,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
5,['3'],TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,24.480252400040627,None,['3'],1,[1.1929160999134183],24.480252400040627,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
E,['1'],TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,25.758360999985598,None,['1'],1,[1.3534391999710351],25.758360999985598,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
6,['3'],TMTstop-B_1_1linestimulus8.png,TMTstop-B_1_1greenlinestimulus8.png,TMTstop-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,,,,,27.22472860000562,None,['3'],1,[3.117387400008738],27.22472860000562,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
F,['2'],TMTstop-B_1_1linestimulus9.png,TMTstop-B_1_1greenlinestimulus9.png,TMTstop-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,,,,,30.438569899997674,None,['2'],1,[0.8032855000346899],30.438569899997674,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
7,['1'],TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus10.png,1,0,12,12,12,,,,,,,,,31.32074889994692,None,['1'],1,[0.9997370999772102],31.32074889994692,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
G,['3'],TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus11.png,None,0,13,13,13,,,,,,,,,32.397036600043066,None,['3'],1,[1.5801417999900877],32.397036600043066,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
8,['1'],TMTstop-B_1_1linestimulus12.png,TMTstop-B_1_1greenlinestimulus12.png,TMTstop-B_1_1redlinestimulus12.png,None,0,14,14,14,,,,,,,,,34.057125599938445,None,['1'],1,[1.5959940999746323],34.057125599938445,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
H,['2'],TMTstop-B_1_1linestimulus13.png,TMTstop-B_1_1greenlinestimulus13.png,TMTstop-B_1_1redlinestimulus13.png,None,0,15,15,15,,,,,,,,,35.73705130000599,None,['2'],1,[1.6195602000225335],35.73705130000599,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
9,['3'],TMTstop-B_1_1linestimulus14.png,TMTstop-B_1_1greenlinestimulus14.png,TMTstop-B_1_1redlinestimulus14.png,None,0,16,16,16,,,,,,,,,37.445903299958445,None,['3'],1,[1.7187808000016958],37.445903299958445,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
I,['2'],TMTstop-B_1_1linestimulus15.png,TMTstop-B_1_1greenlinestimulus15.png,TMTstop-B_1_1redlinestimulus15.png,None,0,17,17,17,,,,,,,,,39.25057689996902,None,['2'],1,[1.5767853000434116],39.25057689996902,None,,,,,,001,2021_Nov_04_1659,TMTAB,2021.2.3,143.62842751933934,
