NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,0,0,0,0,17.93236179999076,None,17.93236179999076,None,18.697475900058635,None,['1'],0,[0.8326367000117898],18.697475900058635,None,,001,2021_Nov_03_1149,TMTAB,2021.2.3,144.76808150337192,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,0,1,1,1,,,,,19.62674950005021,None,['1'],0,[2.3107755000237375],19.62674950005021,None,,001,2021_Nov_03_1149,TMTAB,2021.2.3,144.76808150337192,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,22.01538029999938,None,['1'],0,[0.29189990006852895],22.01538029999938,None,,001,2021_Nov_03_1149,TMTAB,2021.2.3,144.76808150337192,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,22.390184100018814,None,['1'],0,[0.21673700003884733],22.390184100018814,None,,001,2021_Nov_03_1149,TMTAB,2021.2.3,144.76808150337192,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,22.688780699972995,None,['1'],0,[0.3415133999660611],22.688780699972995,None,,001,2021_Nov_03_1149,TMTAB,2021.2.3,144.76808150337192,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,23.105791500071064,None,['1'],0,[0.21559289994183928],23.105791500071064,None,,001,2021_Nov_03_1149,TMTAB,2021.2.3,144.76808150337192,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,23.397714400081895,None,['2'],0,[0.10658009990584105],23.397714400081895,None,,001,2021_Nov_03_1149,TMTAB,2021.2.3,144.76808150337192,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,23.578167699975893,None,['3'],0,[0.08023879991378635],23.578167699975893,None,,001,2021_Nov_03_1149,TMTAB,2021.2.3,144.76808150337192,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,23.737371399998665,None,['1'],0,[0.08261180005501956],23.737371399998665,None,,001,2021_Nov_03_1149,TMTAB,2021.2.3,144.76808150337192,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,23.897090999991633,None,['2'],0,[0.05006650008726865],23.897090999991633,None,,001,2021_Nov_03_1149,TMTAB,2021.2.3,144.76808150337192,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,24.029057700070553,None,['3'],0,[0.02194100001361221],24.029057700070553,None,,001,2021_Nov_03_1149,TMTAB,2021.2.3,144.76808150337192,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,24.133581700036302,None,['1'],0,[0.11572260002139956],24.133581700036302,None,,001,2021_Nov_03_1149,TMTAB,2021.2.3,144.76808150337192,
None,None,None,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,0,12,12,12,,,,,24.334601700073108,None,['3'],0,[0.15624099993146956],24.334601700073108,None,,001,2021_Nov_03_1149,TMTAB,2021.2.3,144.76808150337192,
