51.7965 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
51.8490 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
51.9025 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
51.9612 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.0248 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.0771 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.1331 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.1895 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.2475 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.3070 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.3641 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.4275 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.4894 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.5430 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.6009 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.6609 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.7235 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.7810 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.8416 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.8985 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
52.9513 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.0079 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.0656 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.1187 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.1743 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.2352 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.2926 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.3568 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.4194 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.4721 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.5279 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.5857 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.6397 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.6966 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.7546 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.8062 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.8740 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
53.9410 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.0008 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.0576 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.1206 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.1827 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.2527 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.3082 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.3692 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.4266 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.4831 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.5468 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.6153 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.6762 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.7367 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.7994 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.8570 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.9263 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.9765 	DATA 	Keypress: 2
54.9807 	EXP 	Stim: image = 'TMTstop-B_1_1.png'
54.9868 	EXP 	New trial (rep=0, index=1): {'NumberLetter': 'A', 'corrAns': ['1'], 'StimFile': 'TMTstop-B_1_1.png', 'Correct_StimFile': 'TMTstop-B_1_1firstgreen.png', 'False_StimFile': 'TMTstop-B_1_1firstred.png', 'DurationTrial': 10}
55.0858 	EXP 	Stim: autoDraw = False
55.0858 	EXP 	Stim: image = 'TMTstop-B_1_1firstgreen.png'
55.0858 	EXP 	Stim: image = 'TMTstop-B_1_1firstgreen.png'
55.0858 	EXP 	Stim: autoDraw = True
55.1173 	DATA 	Keypress: 2
79.0270 	EXP 	New trial (rep=0, index=2): {'NumberLetter': 2, 'corrAns': ['3'], 'StimFile': 'TMTstop-B_1_1linestimulus0.png', 'Correct_StimFile': 'TMTstop-B_1_1greenlinestimulus0.png', 'False_StimFile': 'TMTstop-B_1_1redlinestimulus0.png', 'DurationTrial': 10}
79.1290 	DATA 	Keypress: 1
79.1348 	EXP 	Stim: autoDraw = False
79.1348 	EXP 	Stim: image = 'TMTstop-B_1_1greenlinestimulus0.png'
79.1348 	EXP 	Stim: image = 'TMTstop-B_1_1greenlinestimulus0.png'
79.1348 	EXP 	Stim: autoDraw = True
79.1892 	DATA 	Keypress: 1
82.1516 	DATA 	Keypress: 3
82.1628 	EXP 	New trial (rep=0, index=3): {'NumberLetter': 'B', 'corrAns': ['2'], 'StimFile': 'TMTstop-B_1_1linestimulus1.png', 'Correct_StimFile': 'TMTstop-B_1_1greenlinestimulus1.png', 'False_StimFile': 'TMTstop-B_1_1redlinestimulus1.png', 'DurationTrial': 10}
82.2567 	EXP 	Stim: autoDraw = False
82.2567 	EXP 	Stim: image = 'TMTstop-B_1_1greenlinestimulus1.png'
82.2567 	EXP 	Stim: image = 'TMTstop-B_1_1greenlinestimulus1.png'
82.2567 	EXP 	Stim: autoDraw = True
82.3566 	DATA 	Keypress: 3
90.6482 	EXP 	New trial (rep=0, index=4): {'NumberLetter': 3, 'corrAns': ['1'], 'StimFile': 'TMTstop-B_1_1linestimulus2.png', 'Correct_StimFile': 'TMTstop-B_1_1greenlinestimulus2.png', 'False_StimFile': 'TMTstop-B_1_1redlinestimulus2.png', 'DurationTrial': 10}
90.7339 	DATA 	Keypress: 2
90.7382 	EXP 	Stim: autoDraw = False
90.7382 	EXP 	Stim: image = 'TMTstop-B_1_1greenlinestimulus2.png'
90.7382 	EXP 	Stim: image = 'TMTstop-B_1_1greenlinestimulus2.png'
90.7382 	EXP 	Stim: autoDraw = True
90.8170 	DATA 	Keypress: 2
97.1878 	DATA 	Keypress: 2
97.2432 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
97.2941 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
97.3584 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
97.4064 	DATA 	Keypress: 2
97.4095 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
97.4590 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
97.5208 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
97.5770 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
97.6431 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
97.7008 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
97.7576 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
97.8127 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
97.8758 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
97.9465 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.0074 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.0641 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.1221 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.1811 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.2520 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.3161 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.3761 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.4336 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.4924 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.5510 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.6082 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.6752 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.7356 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.7945 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.8478 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.9055 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
98.9640 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.0152 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.0703 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.1315 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.1941 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.2752 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.3474 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.4045 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.4579 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.5152 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.5773 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.6433 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.6974 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.7499 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.7991 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.8478 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.9026 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
99.9572 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.0031 	DATA 	Keypress: 3
100.0084 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.0640 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.1175 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.1757 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.2257 	DATA 	Keypress: 3
100.2303 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.2847 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.3406 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.4018 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.4586 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.5275 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.5827 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.6369 	DATA 	Keypress: 2
100.6396 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.6894 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.7451 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.8012 	DATA 	Keypress: 2
100.8058 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.8556 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
100.9121 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
