NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
17,['2'],TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,None,0,16,16,16,,,,,16.332772500114515,None,"['3', '2']",1,"[0.07983209996018559, 0.11673599993810058]",16.332772500114515,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
18,['1'],TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,None,0,17,17,17,,,,,16.527437500073574,None,['1'],1,[0.03310180001426488],16.527437500073574,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
19,['3'],TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,None,0,18,18,18,,,,,16.638554600067437,None,['3'],1,[0.06791189999785274],16.638554600067437,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
20,['1'],TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,None,0,19,19,19,,,,,16.777214200003073,None,"['2', '1']",1,"[-0.053873500088229775, 0.09588409995194525]",16.777214200003073,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
21,['3'],TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,None,0,20,20,20,,,,,16.972327600000426,None,['3'],1,[0.06998010003007948],16.972327600000426,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
22,['1'],TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,None,0,21,21,21,,,,,17.11047190008685,None,"['2', '1']",1,"[-0.06051350000780076, 0.04884990002028644]",17.11047190008685,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
23,['3'],TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,None,0,22,22,22,,,,,17.263672500033863,None,['3'],1,[0.3772824000334367],17.263672500033863,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
24,['1'],TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,None,0,23,23,23,,,,,17.721955400076695,None,"['2', '2', '1']",1,"[-0.057724100071936846, 0.463531699962914, 0.7551268999231979]",17.721955400076695,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
25,['3'],TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,None,0,24,24,24,,,,,18.58284360007383,None,"['2', '3']",1,"[0.547024599974975, 0.9294886999996379]",18.58284360007383,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,None,0,25,25,25,,,,,19.618488600011915,None,None,1,,19.618488600011915,None,,,,001,2021_Nov_03_1824,TMTAB,2021.2.3,144.73183355999512,
,,,,,,,,,,,,,,,,,,,,,20.61471510003321,None,,,,,,,
