NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,11.417455399991013,None,28.087560299987672,None,2,0.7117429000209086,28.087560299987672,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_18_1153,TMTAB,2021.2.3,None,
1,['2'],TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,28.820308599999407,None,31.88891280000098,None,2,2.769051400013268,31.88891280000098,None,,,,,,,,,,,,,,,001,2021_Nov_18_1153,TMTAB,2021.2.3,None,
2,['3'],TMTstop-Control_1_practice.png,TMTstop-Control_1_practicefirstgreen.png,TMTstop-Control_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,34.79152719999547,None,3,0.28962070000125095,34.79152719999547,None,,,,,,,,,,,,,,,001,2021_Nov_18_1153,TMTAB,2021.2.3,None,
3,['2'],TMTstop-Control_1_practicelinestimulus0.png,TMTstop-Control_1_practicegreenlinestimulus0.png,TMTstop-Control_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,35.1727675999864,None,2,0.2583202999958303,35.1727675999864,None,,,,,,,,,,,,,,,001,2021_Nov_18_1153,TMTAB,2021.2.3,None,
4,['1'],TMTstop-Control_1_practicelinestimulus1.png,TMTstop-Control_1_practicegreenlinestimulus1.png,TMTstop-Control_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,35.5338189000031,None,1,0.34495779999997467,35.5338189000031,None,,,,,,,,,,,,,,,001,2021_Nov_18_1153,TMTAB,2021.2.3,None,
5,['2'],TMTstop-Control_1_practicelinestimulus2.png,TMTstop-Control_1_practicegreenlinestimulus2.png,TMTstop-Control_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,35.98522420000518,None,2,0.2257296000025235,35.98522420000518,None,,,,,,,,,,,,,,,001,2021_Nov_18_1153,TMTAB,2021.2.3,None,
6,['1'],TMTstop-Control_1_practicelinestimulus3.png,TMTstop-Control_1_practicegreenlinestimulus3.png,TMTstop-Control_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,36.310900899989065,None,1,0.6431883000186644,36.310900899989065,None,,,,,,,,,,,,,,,001,2021_Nov_18_1153,TMTAB,2021.2.3,None,
7,['2'],TMTstop-Control_1_practicelinestimulus4.png,TMTstop-Control_1_practicegreenlinestimulus4.png,TMTstop-Control_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,37.04760890000034,None,2,0.28610420000040904,37.04760890000034,None,,,,,,,,,,,,,,,001,2021_Nov_18_1153,TMTAB,2021.2.3,None,
8,['1'],TMTstop-Control_1_practicelinestimulus5.png,TMTstop-Control_1_practicegreenlinestimulus5.png,TMTstop-Control_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,37.43784810000216,None,1,0.2694039999914821,37.43784810000216,None,,,,,,,,,,,,,,,001,2021_Nov_18_1153,TMTAB,2021.2.3,None,
9,['3'],TMTstop-Control_1_practicelinestimulus6.png,TMTstop-Control_1_practicegreenlinestimulus6.png,TMTstop-Control_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,37.8438997999765,None,3,0.22232550001353957,37.8438997999765,None,,,,,,,,,,,,,,,001,2021_Nov_18_1153,TMTAB,2021.2.3,None,
10,['1'],TMTstop-Control_1_practicelinestimulus7.png,TMTstop-Control_1_practicegreenlinestimulus7.png,TMTstop-Control_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,38.19582449999871,None,1,0.16203020000830293,38.19582449999871,None,,,,,,,,,,,,,,,001,2021_Nov_18_1153,TMTAB,2021.2.3,None,
11,['3'],TMTstop-Control_1_practicelinestimulus8.png,TMTstop-Control_1_practicegreenlinestimulus8.png,TMTstop-Control_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,38.46580009997706,None,3,0.42224879999412224,38.46580009997706,None,,,,,,,,,,,,,,,001,2021_Nov_18_1153,TMTAB,2021.2.3,None,
