NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,0,0,0,0,6.718318800000816,None,6.718318800000816,None,7.42608570000084,None,1,0,0.4972003999992012,7.42608570000084,None,,001,2021_Oct_27_1320,TMTAB,2021.2.3,143.32417491860144,
A,3,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,0,1,1,1,,,,,7.986996300000101,None,2,0,0.24661869999999908,7.986996300000101,None,,001,2021_Oct_27_1320,TMTAB,2021.2.3,143.32417491860144,
2,2,TMT-B_linestimulus0.png,TMT-B_greenlinestimulus0.png,TMT-B_redlinestimulus0.png,0,2,2,2,,,,,8.313286000000517,None,3,0,0.20619299999998475,8.313286000000517,None,,001,2021_Oct_27_1320,TMTAB,2021.2.3,143.32417491860144,
B,3,TMT-B_linestimulus1.png,TMT-B_greenlinestimulus1.png,TMT-B_redlinestimulus1.png,0,3,3,3,,,,,8.605371500000729,None,2,0,0.15834559999984776,8.605371500000729,None,,001,2021_Oct_27_1320,TMTAB,2021.2.3,143.32417491860144,
3,1,TMT-B_linestimulus2.png,TMT-B_greenlinestimulus2.png,TMT-B_redlinestimulus2.png,0,4,4,4,,,,,8.847647500000676,None,3,0,0.08134329999938927,8.847647500000676,None,,001,2021_Oct_27_1320,TMTAB,2021.2.3,143.32417491860144,
C,2,TMT-B_linestimulus3.png,TMT-B_greenlinestimulus3.png,TMT-B_redlinestimulus3.png,0,5,5,5,,,,,9.007987800000592,None,2,1,0.10269260000040958,9.007987800000592,None,,001,2021_Oct_27_1320,TMTAB,2021.2.3,143.32417491860144,
4,1,TMT-B_linestimulus4.png,TMT-B_greenlinestimulus4.png,TMT-B_redlinestimulus4.png,0,6,6,6,,,,,9.19540010000037,None,3,0,0.030630000000201107,9.19540010000037,None,,001,2021_Oct_27_1320,TMTAB,2021.2.3,143.32417491860144,
D,2,TMT-B_linestimulus5.png,TMT-B_greenlinestimulus5.png,TMT-B_redlinestimulus5.png,0,7,7,7,,,,,9.320300700000189,None,2,1,0.09209280000050057,9.320300700000189,None,,001,2021_Oct_27_1320,TMTAB,2021.2.3,143.32417491860144,
5,3,TMT-B_linestimulus6.png,TMT-B_greenlinestimulus6.png,TMT-B_redlinestimulus6.png,0,8,8,8,,,,,9.49497430000065,None,3,1,0.4732306999994762,9.49497430000065,None,,001,2021_Oct_27_1320,TMTAB,2021.2.3,143.32417491860144,
E,1,TMT-B_linestimulus7.png,TMT-B_greenlinestimulus7.png,TMT-B_redlinestimulus7.png,0,9,9,9,,,,,10.063634100000854,None,3,0,0.2067482000002201,10.063634100000854,None,,001,2021_Oct_27_1320,TMTAB,2021.2.3,143.32417491860144,
6,2,TMT-B_linestimulus8.png,TMT-B_greenlinestimulus8.png,TMT-B_redlinestimulus8.png,0,10,10,10,,,,,10.34817860000021,None,3,0,0.3074900000001435,10.34817860000021,None,,001,2021_Oct_27_1320,TMTAB,2021.2.3,143.32417491860144,
F,3,TMT-B_linestimulus9.png,TMT-B_greenlinestimulus9.png,TMT-B_redlinestimulus9.png,0,11,11,11,,,,,10.750943400000324,None,3,1,1.0325199999997494,10.750943400000324,None,,001,2021_Oct_27_1320,TMTAB,2021.2.3,143.32417491860144,
None,None,None,TMT-B_greenlinestimulus10.png,TMT-B_redlinestimulus10.png,0,12,12,12,,,,,11.86888590000035,None,3,0,3.971570900000188,11.86888590000035,None,,001,2021_Oct_27_1320,TMTAB,2021.2.3,143.32417491860144,
