NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.jpg,TMT-B_1_1.jpg,TMT-B_1_1.jpg,10,,0,0,0,0,,,,,7.429139400002896,None,7.429139400002896,None,8.046971499999927,None,3,0,0.7994030999980168,8.046971499999927,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
A,2,TMT-B_1_1.jpg,TMT-B_1_1firstgreen.jpg,TMT-B_1_1firstred.jpg,10,,0,1,1,1,,,,,,,,,8.929022899999836,None,2,1,0.328232100000605,8.929022899999836,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,0,2,2,2,,,,,,,,,9.33146740000302,None,3,0,0.2444515000024694,9.33146740000302,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,0,3,3,3,,,,,,,,,9.650515200002701,None,2,0,0.1326446000020951,9.650515200002701,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,,0,4,4,4,,,,,,,,,9.87261540000327,None,3,0,0.09848820000115666,9.87261540000327,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,,0,5,5,5,,,,,,,,,10.053156500001933,None,2,0,0.2359431000004406,10.053156500001933,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,,0,6,6,6,,,,,,,,,10.358740200001193,None,3,0,0.13102660000004107,10.358740200001193,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,,0,7,7,7,,,,,,,,,10.580933500001265,None,2,0,0.08038510000187671,10.580933500001265,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,,0,8,8,8,,,,,,,,,10.741910700002336,None,3,0,0.07544029999917257,10.741910700002336,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,,0,9,9,9,,,,,,,,,10.907484100000147,None,2,0,0.10206109999853652,10.907484100000147,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
