NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.619147200137377,None,2,0.7969050998799503,28.619147200137377,None,,,,,,,,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
1,['2'],TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,10,,,,,,,,,0,0,0,0,,,,,,,,,,,,,29.43833230016753,None,,,,,,,,,,,,,32.46874160016887,None,"['3', '2']",1,"[-2.8306416999548674, 1.593523500021547]",32.46874160016887,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
2,['1'],TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,34.16989340004511,None,"['3', '1']",1,"[0.09889909997582436, 0.2628665999509394]",34.16989340004511,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
3,['2'],TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,34.519511600025,None,['2'],1,[-0.012839499861001968],34.519511600025,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
4,['3'],TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,10,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,34.60049990005791,None,['3'],1,[0.015587299829348922],34.60049990005791,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
5,['2'],TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,10,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,34.697896800003946,None,"['1', '2']",1,"[0.07069909991696477, 0.13109089992940426]",34.697896800003946,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
6,['1'],TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,34.940839700168,None,"['3', '1']",1,"[-0.013183500152081251, 0.12353609991259873]",34.940839700168,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
7,['3'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,35.14232820016332,None,"['2', '3']",1,"[-0.009978099958971143, 0.10567910014651716]",35.14232820016332,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
8,['2'],TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,35.34448570013046,None,"['1', '2']",1,"[0.04642580007202923, 0.11335829994641244]",35.34448570013046,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
9,['3'],TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,10,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,35.551899700192735,None,['3'],1,[0.018266099970787764],35.551899700192735,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
