NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
18,['1'],TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,None,0,17,17,17,,,,,,,,,12.889005000004545,None,"['3', '1']",1,"[0.06124900000577327, 0.23949209999409504]",12.889005000004545,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
19,['3'],TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,None,0,18,18,18,,,,,,,,,13.236269300003187,None,"['2', '3']",1,"[-0.0260466999898199, 0.08301940000092145]",13.236269300003187,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
20,['1'],TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,None,0,19,19,19,,,,,,,,,13.388730899998336,None,['1'],1,[0.11697479999565985],13.388730899998336,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
21,['3'],TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,None,0,20,20,20,,,,,,,,,13.576342799991835,None,"['2', '3']",1,"[-0.036389800006872974, 0.12755799999285955]",13.576342799991835,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
22,['1'],TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,None,0,21,21,21,,,,,,,,,13.812424000003375,None,['1'],1,[0.06499720001011156],13.812424000003375,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
23,['3'],TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,None,0,22,22,22,,,,,,,,,13.958430300001055,None,"['2', '3']",1,"[-0.05553469998994842, 0.09913420000521]",13.958430300001055,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
24,['1'],TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,None,0,23,23,23,,,,,,,,,14.152857099994435,None,['1'],1,[0.05208999999740627],14.152857099994435,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
25,['3'],TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,None,0,24,24,24,,,,,,,,,14.277898400003323,None,['3'],1,[0.44992649999039713],14.277898400003323,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,None,0,25,25,25,,,,,,,,,14.80572079999547,None,None,1,,14.80572079999547,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
A,['3'],TMTstop-control_1_a.png,TMTstop-control_1_a.png,TMTstop-control_1_a.png,10,,,,,0,0,0,0,,,,,18.860892099997727,None,"['2', '1', '3']",1,"[1.123349600005895, 1.1320592000120087, 1.3511699000082444]",18.860892099997727,None,15.803243599992129,None,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
B,['1'],TMTstop-control_1_a.png,TMTstop-control_1_afirstgreen.png,TMTstop-control_1_afirstred.png,10,,,,,0,1,1,1,,,,,20.285067499993602,None,['1'],1,[0.32588630000827834],20.285067499993602,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
C,['3'],TMTstop-control_1_alinestimulus0.png,TMTstop-control_1_agreenlinestimulus0.png,TMTstop-control_1_aredlinestimulus0.png,10,,,,,0,2,2,2,,,,,20.68816770000558,None,"['2', '3']",1,"[0.03863380000984762, 0.13829480001004413]",20.68816770000558,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
D,['2'],TMTstop-control_1_alinestimulus1.png,TMTstop-control_1_agreenlinestimulus1.png,TMTstop-control_1_aredlinestimulus1.png,10,,,,,0,3,3,3,,,,,20.931219999998575,None,"['1', '2']",1,"[0.07873609999660403, 0.150410499991267]",20.931219999998575,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
E,['1'],TMTstop-control_1_alinestimulus2.png,TMTstop-control_1_agreenlinestimulus2.png,TMTstop-control_1_aredlinestimulus2.png,10,,,,,0,4,4,4,,,,,21.166293000002042,None,"['3', '1']",1,"[0.029930599994258955, 0.19240839999110904]",21.166293000002042,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
F,['3'],TMTstop-control_1_alinestimulus3.png,TMTstop-control_1_agreenlinestimulus3.png,TMTstop-control_1_aredlinestimulus3.png,10,,,,,0,5,5,5,,,,,21.437428599994746,None,"['2', '3']",1,"[-0.02343839999230113, 0.12288780001108535]",21.437428599994746,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
G,['2'],TMTstop-control_1_alinestimulus4.png,TMTstop-control_1_agreenlinestimulus4.png,TMTstop-control_1_aredlinestimulus4.png,10,,,,,0,6,6,6,,,,,21.66651009999623,None,"['1', '2']",1,"[0.06241139999474399, 0.09521689999382943]",21.66651009999623,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
H,['3'],TMTstop-control_1_alinestimulus5.png,TMTstop-control_1_agreenlinestimulus5.png,TMTstop-control_1_aredlinestimulus5.png,10,,,,,0,7,7,7,,,,,21.840150299991365,None,['3'],1,[0.07291709999844898],21.840150299991365,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
I,['1'],TMTstop-control_1_alinestimulus6.png,TMTstop-control_1_agreenlinestimulus6.png,TMTstop-control_1_aredlinestimulus6.png,10,,,,,0,8,8,8,,,,,21.99289530000533,None,['1'],1,[0.08892619999824092],21.99289530000533,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
J,['2'],TMTstop-control_1_alinestimulus7.png,TMTstop-control_1_agreenlinestimulus7.png,TMTstop-control_1_aredlinestimulus7.png,10,,,,,0,9,9,9,,,,,22.15949649999675,None,['2'],1,[-0.029192999994847924],22.15949649999675,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
K,['3'],TMTstop-control_1_alinestimulus8.png,TMTstop-control_1_agreenlinestimulus8.png,TMTstop-control_1_aredlinestimulus8.png,10,,,,,0,10,10,10,,,,,22.235670199996093,None,['3'],1,[0.05122900000424124],22.235670199996093,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
