NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
17,['2'],TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,None,0,16,16,16,,,,,,,,,9.862739100004546,None,['2'],1,[-0.011798999970778823],9.862739100004546,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
18,['1'],TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,None,0,17,17,17,,,,,,,,,9.932500199996866,None,"['3', '1']",1,"[0.01140700001269579, 0.1370721000712365]",9.932500199996866,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
19,['3'],TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,None,0,18,18,18,,,,,,,,,10.14043740008492,None,"['2', '3']",1,"[0.03944580000825226, 0.10081709991209209]",10.14043740008492,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
20,['1'],TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,None,0,19,19,19,,,,,,,,,10.34358039998915,None,['1'],1,[0.025193999987095594],10.34358039998915,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
21,['3'],TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,None,0,20,20,20,,,,,,,,,10.439283100073226,None,"['2', '3']",1,"[0.015905799926258624, 0.12002469995059073]",10.439283100073226,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
22,['1'],TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,None,0,21,21,21,,,,,,,,,10.668522300082259,None,['1'],1,[0.048911399906501174],10.668522300082259,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
23,['3'],TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,None,0,22,22,22,,,,,,,,,10.80067120003514,None,"['2', '3']",1,"[-0.04799250001087785, 0.05613619997166097]",10.80067120003514,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
24,['1'],TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,None,0,23,23,23,,,,,,,,,10.96209450007882,None,['1'],1,[0.8566760999383405],10.96209450007882,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
25,['3'],TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,None,0,24,24,24,,,,,,,,,11.8901130000595,None,['3'],1,[0.6255207000067458],11.8901130000595,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,None,0,25,25,25,,,,,,,,,12.585085800033994,None,None,1,,12.585085800033994,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
A,['3'],TMTstop-control_1_a.png,TMTstop-control_1_a.png,TMTstop-control_1_a.png,10,,,,,0,0,0,0,,,,,16.653726699994877,None,['3'],1,[2.19024420005735],16.653726699994877,None,13.59596700000111,None,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
B,['1'],TMTstop-control_1_a.png,TMTstop-control_1_afirstgreen.png,TMTstop-control_1_afirstred.png,10,,,,,0,1,1,1,,,,,18.924556500045583,None,['1'],1,[1.5204238999867812],18.924556500045583,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
C,['3'],TMTstop-control_1_alinestimulus0.png,TMTstop-control_1_agreenlinestimulus0.png,TMTstop-control_1_aredlinestimulus0.png,10,,,,,0,2,2,2,,,,,20.52235580002889,None,['3'],1,[0.6659895000047982],20.52235580002889,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
D,['2'],TMTstop-control_1_alinestimulus1.png,TMTstop-control_1_agreenlinestimulus1.png,TMTstop-control_1_aredlinestimulus1.png,10,,,,,0,3,3,3,,,,,21.258188100066036,None,"['1', '2']",1,"[0.6662377000320703, 1.04339110001456]",21.258188100066036,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
E,['1'],TMTstop-control_1_alinestimulus2.png,TMTstop-control_1_agreenlinestimulus2.png,TMTstop-control_1_aredlinestimulus2.png,10,,,,,0,4,4,4,,,,,22.417402300052345,None,"['2', '1']",1,"[0.19037239998579025, 0.32377090002410114]",22.417402300052345,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
F,['3'],TMTstop-control_1_alinestimulus3.png,TMTstop-control_1_agreenlinestimulus3.png,TMTstop-control_1_aredlinestimulus3.png,10,,,,,0,5,5,5,,,,,22.841477300040424,None,"['2', '3']",1,"[0.11720300000160933, 0.1694320000242442]",22.841477300040424,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
