1.6565 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['pyo'] (in that order).
8.8566 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

20.6030 	DATA 	Keypress: 3
20.7260 	DATA 	Keypress: 3
20.7264 	DATA 	Keypress: 1
20.7865 	DATA 	Keypress: 2
20.8866 	DATA 	Keypress: 1
21.0023 	DATA 	Keypress: 2
21.0028 	DATA 	Keypress: 3
21.1405 	DATA 	Keypress: 3
21.1409 	DATA 	Keypress: 1
21.1535 	DATA 	Keypress: 2
21.2636 	DATA 	Keypress: 1
21.3034 	DATA 	Keypress: 3
21.3204 	DATA 	Keypress: 2
21.4375 	DATA 	Keypress: 3
21.5397 	DATA 	Keypress: 1
21.5403 	DATA 	Keypress: 2
21.6035 	DATA 	Keypress: 1
21.6783 	DATA 	Keypress: 3
21.7030 	DATA 	Keypress: 2
21.8012 	DATA 	Keypress: 3
21.8371 	DATA 	Keypress: 1
21.9398 	DATA 	Keypress: 2
21.9535 	DATA 	Keypress: 1
22.0779 	DATA 	Keypress: 3
22.0782 	DATA 	Keypress: 2
22.2162 	DATA 	Keypress: 3
22.2165 	DATA 	Keypress: 1
22.3388 	DATA 	Keypress: 2
22.3392 	DATA 	Keypress: 1
22.3871 	DATA 	Keypress: 2
22.4622 	DATA 	Keypress: 3
22.6004 	DATA 	Keypress: 3
22.6007 	DATA 	Keypress: 1
22.6216 	DATA 	Keypress: 2
22.7391 	DATA 	Keypress: 1
22.7540 	DATA 	Keypress: 2
22.7876 	DATA 	Keypress: 3
23.0007 	DATA 	Keypress: 1
23.0010 	DATA 	Keypress: 2
23.0210 	DATA 	Keypress: 3
23.1886 	DATA 	Keypress: 3
27.2081 	DATA 	Keypress: esc
27.4081 	DATA 	Keypress: esc
27.4377 	EXP 	window1: mouseVisible = True
