NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,3,TMT-A_1_1.png,TMT-A_1_1.png,TMT-A_1_1.png,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,16.75363729998935,None,,,,,,,,,,,,,,19.811980899990886,None,['1'],0,[0.541324000005261],19.811980899990886,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
2,1,TMT-A_1_1.png,TMT-A_1_1firstgreen.png,TMT-A_1_1firstred.png,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.422622300000512,None,['2'],0,[0.041277700001955964],20.422622300000512,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
3,2,TMT-A_1_1linestimulus0.png,TMT-A_1_1greenlinestimulus0.png,TMT-A_1_1redlinestimulus0.png,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.53521849999379,None,['3'],0,[-0.0036475000088103116],20.53521849999379,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
4,3,TMT-A_1_1linestimulus1.png,TMT-A_1_1greenlinestimulus1.png,TMT-A_1_1redlinestimulus1.png,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.617012100003194,None,['1'],0,[0.06704109998827334],20.617012100003194,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
5,2,TMT-A_1_1linestimulus2.png,TMT-A_1_1greenlinestimulus2.png,TMT-A_1_1redlinestimulus2.png,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.76308340000105,None,['2'],0,[-0.017717999988235533],20.76308340000105,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
6,1,TMT-A_1_1linestimulus3.png,TMT-A_1_1greenlinestimulus3.png,TMT-A_1_1redlinestimulus3.png,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83262410000316,None,['3'],0,[0.005026400001952425],20.83262410000316,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
7,3,TMT-A_1_1linestimulus4.png,TMT-A_1_1greenlinestimulus4.png,TMT-A_1_1redlinestimulus4.png,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.91575639999064,None,['1'],0,[0.05182520000380464],20.91575639999064,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
8,1,TMT-A_1_1linestimulus5.png,TMT-A_1_1greenlinestimulus5.png,TMT-A_1_1redlinestimulus5.png,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.040810699996655,None,['2'],0,[-0.021681400001398288],21.040810699996655,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
9,3,TMT-A_1_1linestimulus6.png,TMT-A_1_1greenlinestimulus6.png,TMT-A_1_1redlinestimulus6.png,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.11040320000029,None,['3'],0,[0.007397900000796653],21.11040320000029,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
10,1,TMT-A_1_1linestimulus7.png,TMT-A_1_1greenlinestimulus7.png,TMT-A_1_1redlinestimulus7.png,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.19352919999801,None,['1'],0,[0.051733800006331876],21.19352919999801,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
