NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,3,TMT-A.jpg,TMT-A.jpg,TMT-A.jpg,0,0,0,0,,,,,8.92527920000066,None,8.92527920000066,None,10.893580799998745,None,3,1,1.4837527999989106,10.893580799998745,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
2,1,TMT-A.jpg,TMT-A.jpg,TMT-A.jpg,0,1,1,1,,,,,,,,,12.443804200000159,None,1,1,1.433362900002976,12.443804200000159,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
3,3,TMT-A_linestimulus0.png,TMT-A_greenlinestimulus0.png,TMT-A_redlinestimulus0.png,0,2,2,2,,,,,,,,,13.961254300000292,None,3,1,1.9760416999997688,13.961254300000292,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
4,1,TMT-A_linestimulus1.png,TMT-A_greenlinestimulus1.png,TMT-A_redlinestimulus1.png,0,3,3,3,,,,,,,,,16.028803499997593,None,1,1,2.577634900000703,16.028803499997593,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
5,2,TMT-A_linestimulus2.png,TMT-A_greenlinestimulus2.png,TMT-A_redlinestimulus2.png,0,4,4,4,,,,,,,,,18.69676889999755,None,2,1,4.354009999999107,18.69676889999755,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
6,3,TMT-A_linestimulus3.png,TMT-A_greenlinestimulus3.png,TMT-A_redlinestimulus3.png,0,5,5,5,,,,,,,,,23.148742199999106,None,2,0,1.3067267000005813,23.148742199999106,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
7,2,TMT-A_linestimulus4.png,TMT-A_greenlinestimulus4.png,TMT-A_redlinestimulus4.png,0,6,6,6,,,,,,,,,24.549413599997933,None,2,1,1.7031266999983927,24.549413599997933,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
8,1,TMT-A_linestimulus5.png,TMT-A_greenlinestimulus5.png,TMT-A_redlinestimulus5.png,0,7,7,7,,,,,,,,,26.350332199999684,None,2,0,1.0076016999992135,26.350332199999684,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
9,3,TMT-A_linestimulus6.png,TMT-A_greenlinestimulus6.png,TMT-A_redlinestimulus6.png,0,8,8,8,,,,,,,,,27.450821200000064,None,2,0,0.6689097999988007,27.450821200000064,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
10,2,TMT-A_linestimulus7.png,TMT-A_greenlinestimulus7.png,TMT-A_redlinestimulus7.png,0,9,9,9,,,,,,,,,28.217703899998014,None,2,1,0.6572403000027407,28.217703899998014,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
11,1,TMT-A_linestimulus8.png,TMT-A_greenlinestimulus8.png,TMT-A_redlinestimulus8.png,0,10,10,10,,,,,,,,,28.968074000000342,None,2,0,0.5502302999993844,28.968074000000342,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
12,2,TMT-A_linestimulus9.png,TMT-A_greenlinestimulus9.png,TMT-A_redlinestimulus9.png,0,11,11,11,,,,,,,,,29.60174659999757,None,2,1,0.619249100000161,29.60174659999757,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
1,2,TMT-A_1_2.jpg,TMT-A_1_2.jpg,TMT-A_1_2.jpg,,,,,0,0,0,0,,,,,30.3019017000006,None,1,0,3.218824700001278,30.3019017000006,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
2,3,TMT-A_1_2.jpg,TMT-A_1_2.jpg,TMT-A_1_2.jpg,,,,,0,1,1,1,,,,,33.58699010000055,None,2,0,1.7181775999997626,33.58699010000055,None,,001,2021_Oct_21_2318,TMTAB,2021.2.3,59.94848027544666,
