NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,0,5,5,5,,,,,,,,,,,,,40.52427529999841,None,['3'],1,[0.016247300001850817],40.52427529999841,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,0,6,6,6,,,,,,,,,,,,,40.62109659999987,None,"['1', '2']",1,"[0.047089100000448525, 0.17557700000179466]",40.62109659999987,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,0,7,7,7,,,,,,,,,,,,,40.87120539999887,None,"['3', '1']",1,"[0.014734599993971642, 0.14950089999911143]",40.87120539999887,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,0,8,8,8,,,,,,,,,,,,,41.12831179999921,None,['2'],1,[0.01586930000485154],41.12831179999921,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,,,,,0,9,9,9,,,,,,,,,,,,,41.22557950000191,None,"['3', '1']",1,"[0.027123100000608247, 0.22876280000491533]",41.22557950000191,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,,,,,0,10,10,10,,,,,,,,,,,,,41.52401690000261,None,['2'],1,[0.026518899998336565],41.52401690000261,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,0,11,11,11,,,,,,,,,,,,,41.62136090000422,None,['3'],1,[0.06386750000092434],41.62136090000422,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,0,12,12,12,,,,,,,,,,,,,41.760174100003496,None,"['1', '2']",1,"[0.06540469999890774, 0.1743032000013045]",41.760174100003496,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,,,,,0,13,13,13,,,,,,,,,,,,,42.037909200000286,None,['3'],1,[0.020464200002606958],42.037909200000286,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,,,,,0,14,14,14,,,,,,,,,,,,,42.13513529999909,None,['1'],1,[0.0660550000029616],42.13513529999909,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
