NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,6.422999000002164,None,6.805037300000549,None,2,0.1083519000094384,6.805037300000549,None,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
1,1,TMT-A_1_practice.png,TMT-A_1_practice.png,TMT-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,6.938501700002234,None,10.02923450000526,None,1,1,0.36081430000194814,10.02923450000526,None,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
2,2,TMT-A_1_practice.png,TMT-A_1_practicefirstgreen.png,TMT-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,10.474543800009997,None,2,1,0.022055299996281974,10.474543800009997,None,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
3,3,TMT-A_1_practicelinestimulus0.png,TMT-A_1_practicegreenlinestimulus0.png,TMT-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,10.585721300012665,None,1,0,0.11661310000636149,10.585721300012665,None,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
4,1,TMT-A_1_practicelinestimulus1.png,TMT-A_1_practicegreenlinestimulus1.png,TMT-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,10.79406420000305,None,3,0,0.0578864999988582,10.79406420000305,None,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
5,2,TMT-A_1_practicelinestimulus2.png,TMT-A_1_practicegreenlinestimulus2.png,TMT-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,10.938603800008423,None,1,0,0.038010400006896816,10.938603800008423,None,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
6,3,TMT-A_1_practicelinestimulus3.png,TMT-A_1_practicegreenlinestimulus3.png,TMT-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,11.04950030001055,None,3,1,0.08381850000296254,11.04950030001055,None,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
7,1,TMT-A_1_practicelinestimulus4.png,TMT-A_1_practicegreenlinestimulus4.png,TMT-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,11.20259650000662,None,1,1,0.04073110000172164,11.20259650000662,None,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
8,3,TMT-A_1_practicelinestimulus5.png,TMT-A_1_practicegreenlinestimulus5.png,TMT-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,11.31345980000333,None,3,1,0.08770299999741837,11.31345980000333,None,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
9,2,TMT-A_1_practicelinestimulus6.png,TMT-A_1_practicegreenlinestimulus6.png,TMT-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,11.480095300008543,None,1,0,0.04621620000398252,11.480095300008543,None,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
