NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,5.937902999998187,None,5.937902999998187,None,6.429010300002119,None,9.479635800002143,None,1,1.5656070999975782,9.479635800002143,None,,,,,,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,11.160269399995741,None,2,0.026980000002367888,11.160269399995741,None,,,,,,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,11.257879400000093,None,3,0.06573760000173934,11.257879400000093,None,,,,,,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,11.39671709999675,None,1,0.10113229999842588,11.39671709999675,None,,,,,,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,11.57034510000085,None,2,0.02365070000087144,11.57034510000085,None,,,,,,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,11.667359300001408,None,3,0.0417031999968458,11.667359300001408,None,,,,,,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,11.778513299999759,None,1,1.2103497999996762,11.778513299999759,None,,,,,,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,13.07032629999594,None,3,0.9613687000019127,13.07032629999594,None,,,,,,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,14.132797400001436,None,2,0.8157821999993757,14.132797400001436,None,,,,,,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,15.035515399998985,None,3,0.2479008000009344,15.035515399998985,None,,,,,,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,15.361942499999714,None,1,0.8517018999991706,15.361942499999714,None,,,,,,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,16.285384499999054,None,2,0.8397937999980059,16.285384499999054,None,,,,,,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,17.19525089999661,None,None,,17.19525089999661,None,,,,,,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,18.194485130001702,None,None,18.194485130001702,None,,001,2021_Nov_15_1440,TMTAB,2021.2.3,143.86791773789983,
,,,,,,,,,,,,,,,,,,,,,,18.199844299997494,None,,,,,,,,,,,,,,,,,,
