NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,2,TMT-A_1_practicelinestimulus7.png,TMT-A_1_practicegreenlinestimulus7.png,TMT-A_1_practiceredlinestimulus7.png,10,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.837831899989396,None,3,0,0.08791889995336533,14.837831899989396,None,,,,,,,,,,,,,,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
11,3,TMT-A_1_practicelinestimulus8.png,TMT-A_1_practicegreenlinestimulus8.png,TMT-A_1_practiceredlinestimulus8.png,10,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.021264600101858,None,1,0,0.11941839987412095,15.021264600101858,None,,,,,,,,,,,,,,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
12,1,TMT-A_1_practicelinestimulus9.png,TMT-A_1_practicegreenlinestimulus9.png,TMT-A_1_practiceredlinestimulus9.png,10,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.238031900022179,None,3,0,0.08648440008983016,15.238031900022179,None,,,,,,,,,,,,,,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
None,None,TMT-A_1_practicelinestimulus10.png,TMT-A_1_practicegreenlinestimulus10.png,TMT-A_1_practiceredlinestimulus10.png,None,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.421415700111538,None,1,0,0.09898929996415973,15.421415700111538,None,,,,,,,,,,,,,,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.584837700007483,None,3,0.08450510003603995,15.584837700007483,None,,,,,,,,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
1,['1'],TMT-A_1_1.png,TMT-A_1_1.png,TMT-A_1_1.png,10,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.686147700063884,None,,,,,,,,,,,,,,18.822828500065953,None,['1'],1,[4.918799499981105],18.822828500065953,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
2,['3'],TMT-A_1_1.png,TMT-A_1_1firstgreen.png,TMT-A_1_1firstred.png,10,3,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.82507860008627,None,['3'],1,[2.1647932999767363],23.82507860008627,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
3,['2'],TMT-A_1_1linestimulus0.png,TMT-A_1_1greenlinestimulus0.png,TMT-A_1_1redlinestimulus0.png,10,2,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.07666760007851,None,['2'],1,[0.7904433999210596],26.07666760007851,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
4,['3'],TMT-A_1_1linestimulus1.png,TMT-A_1_1greenlinestimulus1.png,TMT-A_1_1redlinestimulus1.png,10,3,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.96000190009363,None,['3'],1,[1.0598850001115352],26.96000190009363,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
5,['2'],TMT-A_1_1linestimulus2.png,TMT-A_1_1greenlinestimulus2.png,TMT-A_1_1redlinestimulus2.png,10,2,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.110570600023493,None,['2'],1,[0.7250933002214879],28.110570600023493,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
