NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,9.405856999976095,None,14.587609699985478,None,2,55.31396170001244,14.587609699985478,None,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_25_1210,TMTAB,2021.2.3,144.86119395043107,
1,2,TMT-A_1_practice.png,TMT-A_1_practice.png,TMT-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,69.91955130000133,None,73.06442680000328,None,2,1,2.8847092000069097,73.06442680000328,None,,,,,,,,,,,,,,,001,2021_Nov_25_1210,TMTAB,2021.2.3,144.86119395043107,
2,3,TMT-A_1_practice.png,TMT-A_1_practicefirstgreen.png,TMT-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,76.0437099999981,None,3,1,0.9759840999613516,76.0437099999981,None,,,,,,,,,,,,,,,001,2021_Nov_25_1210,TMTAB,2021.2.3,144.86119395043107,
3,1,TMT-A_1_practicelinestimulus0.png,TMT-A_1_practicegreenlinestimulus0.png,TMT-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,77.11407609999878,None,1,1,4.413443199999165,77.11407609999878,None,,,,,,,,,,,,,,,001,2021_Nov_25_1210,TMTAB,2021.2.3,144.86119395043107,
4,3,TMT-A_1_practicelinestimulus1.png,TMT-A_1_practicegreenlinestimulus1.png,TMT-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,81.63361009996152,None,1,0,6.109859700023662,81.63361009996152,None,,,,,,,,,,,,,,,001,2021_Nov_25_1210,TMTAB,2021.2.3,144.86119395043107,
5,1,TMT-A_1_practicelinestimulus2.png,TMT-A_1_practicegreenlinestimulus2.png,TMT-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,87.84318809997058,None,1,1,4.85795869998401,87.84318809997058,None,,,,,,,,,,,,,,,001,2021_Nov_25_1210,TMTAB,2021.2.3,144.86119395043107,
6,2,TMT-A_1_practicelinestimulus3.png,TMT-A_1_practicegreenlinestimulus3.png,TMT-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,92.80207649996737,None,2,1,1.4331030999892391,92.80207649996737,None,,,,,,,,,,,,,,,001,2021_Nov_25_1210,TMTAB,2021.2.3,144.86119395043107,
7,3,TMT-A_1_practicelinestimulus4.png,TMT-A_1_practicegreenlinestimulus4.png,TMT-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,94.32369799999287,None,3,1,0.46316939999815077,94.32369799999287,None,,,,,,,,,,,,,,,001,2021_Nov_25_1210,TMTAB,2021.2.3,144.86119395043107,
8,2,TMT-A_1_practicelinestimulus5.png,TMT-A_1_practicegreenlinestimulus5.png,TMT-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,94.89926689997083,None,2,1,0.36580059997504577,94.89926689997083,None,,,,,,,,,,,,,,,001,2021_Nov_25_1210,TMTAB,2021.2.3,144.86119395043107,
9,3,TMT-A_1_practicelinestimulus6.png,TMT-A_1_practicegreenlinestimulus6.png,TMT-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,95.36986149998847,None,3,1,0.597813899978064,95.36986149998847,None,,,,,,,,,,,,,,,001,2021_Nov_25_1210,TMTAB,2021.2.3,144.86119395043107,
