NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,6.013047200001893,None,6.5617535000055796,None,2,0.4547251000039978,6.5617535000055796,None,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_17_1642,TMTAB,2021.2.3,146.67380478073142,
1,1,TMT-A_1_practice.png,TMT-A_1_practice.png,TMT-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,7.041934399996535,None,10.132744799993816,None,1,1,0.7732757000048878,10.132744799993816,None,,,,,,,,,,,,,,,001,2021_Nov_17_1642,TMTAB,2021.2.3,146.67380478073142,
2,2,TMT-A_1_practice.png,TMT-A_1_practicefirstgreen.png,TMT-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,10.986590400003479,None,2,1,0.16398169999592938,10.986590400003479,None,,,,,,,,,,,,,,,001,2021_Nov_17_1642,TMTAB,2021.2.3,146.67380478073142,
3,3,TMT-A_1_practicelinestimulus0.png,TMT-A_1_practicegreenlinestimulus0.png,TMT-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,11.222904399997788,None,3,1,0.05699189999722876,11.222904399997788,None,,,,,,,,,,,,,,,001,2021_Nov_17_1642,TMTAB,2021.2.3,146.67380478073142,
4,1,TMT-A_1_practicelinestimulus1.png,TMT-A_1_practicegreenlinestimulus1.png,TMT-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,11.36868489999324,None,1,1,0.05696049999096431,11.36868489999324,None,,,,,,,,,,,,,,,001,2021_Nov_17_1642,TMTAB,2021.2.3,146.67380478073142,
5,2,TMT-A_1_practicelinestimulus2.png,TMT-A_1_practicegreenlinestimulus2.png,TMT-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,11.50757529999828,None,3,0,0.10681620000104886,11.50757529999828,None,,,,,,,,,,,,,,,001,2021_Nov_17_1642,TMTAB,2021.2.3,146.67380478073142,
6,3,TMT-A_1_practicelinestimulus3.png,TMT-A_1_practicegreenlinestimulus3.png,TMT-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,11.695133500004886,None,1,0,0.352242799999658,11.695133500004886,None,,,,,,,,,,,,,,,001,2021_Nov_17_1642,TMTAB,2021.2.3,146.67380478073142,
7,1,TMT-A_1_practicelinestimulus4.png,TMT-A_1_practicegreenlinestimulus4.png,TMT-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,12.125978500000201,None,2,0,0.022145199996884912,12.125978500000201,None,,,,,,,,,,,,,,,001,2021_Nov_17_1642,TMTAB,2021.2.3,146.67380478073142,
8,3,TMT-A_1_practicelinestimulus5.png,TMT-A_1_practicegreenlinestimulus5.png,TMT-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,12.222749199994723,None,3,1,0.018683199989027344,12.222749199994723,None,,,,,,,,,,,,,,,001,2021_Nov_17_1642,TMTAB,2021.2.3,146.67380478073142,
9,2,TMT-A_1_practicelinestimulus6.png,TMT-A_1_practicegreenlinestimulus6.png,TMT-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,12.320176299996092,None,1,0,0.05113750000600703,12.320176299996092,None,,,,,,,,,,,,,,,001,2021_Nov_17_1642,TMTAB,2021.2.3,146.67380478073142,
