NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,8.339264999842271,None,12.613983699819073,None,1,2.5043669999577105,12.613983699819073,None,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
1,2,TMT-A_1_practice.png,TMT-A_1_practice.png,TMT-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,15.147496699821204,None,18.28450179984793,None,2,1,2.03276910004206,18.28450179984793,None,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
2,3,TMT-A_1_practice.png,TMT-A_1_practicefirstgreen.png,TMT-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,20.419390599941835,None,3,1,1.8705891000572592,20.419390599941835,None,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
3,1,TMT-A_1_practicelinestimulus0.png,TMT-A_1_practicegreenlinestimulus0.png,TMT-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,22.38633199990727,None,1,1,1.5411039998289198,22.38633199990727,None,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
4,3,TMT-A_1_practicelinestimulus1.png,TMT-A_1_practicegreenlinestimulus1.png,TMT-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,24.020293399924412,None,3,1,1.388275799807161,24.020293399924412,None,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
5,1,TMT-A_1_practicelinestimulus2.png,TMT-A_1_practicegreenlinestimulus2.png,TMT-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,25.504446299979463,None,2,0,3.4987459001131356,25.504446299979463,None,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
6,2,TMT-A_1_practicelinestimulus3.png,TMT-A_1_practicegreenlinestimulus3.png,TMT-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,29.11056449986063,None,3,0,0.34620979987084866,29.11056449986063,None,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
7,3,TMT-A_1_practicelinestimulus4.png,TMT-A_1_practicegreenlinestimulus4.png,TMT-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,29.5539668998681,None,1,0,0.2717265000101179,29.5539668998681,None,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
8,2,TMT-A_1_practicelinestimulus5.png,TMT-A_1_practicegreenlinestimulus5.png,TMT-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,29.920964299933985,None,2,1,0.4299415999557823,29.920964299933985,None,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
9,3,TMT-A_1_practicelinestimulus6.png,TMT-A_1_practicegreenlinestimulus6.png,TMT-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,30.437706699827686,None,3,1,0.11138510005548596,30.437706699827686,None,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
