NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
21,['3'],3,TMTstop-A_1_plinestimulus18.png,TMTstop-A_1_pgreenlinestimulus18.png,TMTstop-A_1_predlinestimulus18.png,None,1.0,63.27656555175781,63.27656555175781,0.0,,1.0,1.0,0.0,3,2.8611591000008048,63.27656555175781,63.27656555175781,0.0,,20.0
22,['1'],1,TMTstop-A_1_plinestimulus19.png,TMTstop-A_1_pgreenlinestimulus19.png,TMTstop-A_1_predlinestimulus19.png,None,1.0,66.2165298461914,66.2165298461914,0.0,,1.0,1.0,0.0,1,0.3998621999999159,66.2165298461914,66.2165298461914,0.0,,21.0
23,['2'],2,TMTstop-A_1_plinestimulus20.png,TMTstop-A_1_pgreenlinestimulus20.png,TMTstop-A_1_predlinestimulus20.png,None,1.0,66.70023345947266,66.70023345947266,0.0,,1.0,1.0,0.0,2,0.509621999997762,66.70023345947266,66.70023345947266,0.0,,22.0
24,['3'],3,TMTstop-A_1_plinestimulus21.png,TMTstop-A_1_pgreenlinestimulus21.png,TMTstop-A_1_predlinestimulus21.png,None,1.0,67.29278564453125,67.29278564453125,0.0,,1.0,1.0,0.0,3,0.5282232999961707,67.29278564453125,67.29278564453125,0.0,,23.0
25,['2'],2,TMTstop-A_1_plinestimulus22.png,TMTstop-A_1_pgreenlinestimulus22.png,TMTstop-A_1_predlinestimulus22.png,None,1.0,67.91437530517578,67.91437530517578,0.0,,1.0,1.0,0.0,2,0.33246840000356315,67.91437530517578,67.91437530517578,0.0,,24.0
None,None,None,TMTstop-A_1_plinestimulus23.png,TMTstop-A_1_pgreenlinestimulus23.png,TMTstop-A_1_predlinestimulus23.png,None,1.0,68.34251403808594,68.34251403808594,0.0,,1.0,1.0,0.0,,'--',68.34251403808594,68.34251403808594,0.0,,25.0

extraInfo
participant,
session,001
date,2022_May_23_1401
expName,TMT_practice
psychopyVersion,2021.2.3
frameRate,144.2154463398364
