NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,Version,Block,TrialNumber_session,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
12,['1'],TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,10,,,,,0,11,11,11,,,,,1,1,19.73247970000375,None,['1'],1,[0.06611149999662302],19.73247970000375,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
13,['3'],TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,1,,,,,0,12,12,12,,,,,2,0,19.87925240000186,None,"['2', '3']",1,"[0.0006675000040559098, 0.1088337999972282]",19.87925240000186,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
14,['1'],TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,None,,,,,0,13,13,13,,,,,1,1,20.093315000005532,None,['1'],1,[0.029761300000245683],20.093315000005532,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
15,['3'],TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,None,,,,,0,14,14,14,,,,,2,0,20.2116023000126,None,"['2', '3']",1,"[-0.05748860001040157, 0.08956870000110939]",20.2116023000126,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
16,['1'],TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,None,,,,,0,15,15,15,,,,,1,1,20.412813300004927,None,['1'],1,[0.029287900004419498],20.412813300004927,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
17,['2'],TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,None,,,,,0,16,16,16,,,,,1,1,20.510213800007477,None,['2'],1,[0.039371499995468184],20.510213800007477,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
18,['1'],TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,None,,,,,0,17,17,17,,,,,2,0,20.621219400010887,None,"['3', '1']",1,"[0.029380100007983856, 0.19416400000045542]",20.621219400010887,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
19,['3'],TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,None,,,,,0,18,18,18,,,,,2,0,20.899670300001162,None,"['2', '3']",1,"[-0.0015094999980647117, 0.09748820000095293]",20.899670300001162,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
20,['1'],TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,None,,,,,0,19,19,19,,,,,1,1,21.093767500002286,None,['1'],1,[0.04622429999290034],21.093767500002286,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
21,['3'],TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,None,,,,,0,20,20,20,,,,,2,0,21.218536200001836,None,"['2', '3']",1,"[-0.010575099993729964, 0.1322100999968825]",21.218536200001836,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
22,['1'],TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,None,,,,,0,21,21,21,,,,,1,1,21.46286520001013,None,['1'],1,[0.0801489000004949],21.46286520001013,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
23,['3'],TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,None,,,,,0,22,22,22,,,,,4,0,21.61441820001346,None,"['2', '2', '1', '3']",1,"[0.034674900001846254, 0.6492074999987381, 0.6868580000009388, 0.8400508999911835]",21.61441820001346,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
24,['1'],TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,None,,,,,0,23,23,23,,,,,1,1,22.558709000004455,None,['1'],1,[0.04846610000822693],22.558709000004455,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
25,['3'],TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,None,,,,,0,24,24,24,,,,,2,0,22.68407180000213,None,"['2', '3']",1,"[-0.003155200000037439, 0.09585460000380408]",22.68407180000213,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,None,,,,,0,25,25,25,,,,,7,0,22.878227600012906,None,"['1', '2', '3', '1', '2', '3', '1']",0,"[0.054829699991387315, 0.12165889999596402, 0.22724349999043625, 0.3471827999892412, 0.4349902999965707, 0.5550956999941263, 0.7225760000001173]",22.878227600012906,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,,2,TMT_A,1,1,,,,,0,0,0,0,2,0,29.91215070000908,None,"['1', '2']",1,"[0.6936191999993753, 1.0200667000026442]",29.91215070000908,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,,1,TMT_A,1,2,,,,,0,1,1,1,1,1,31.003111800004262,None,['1'],1,[0.2379549000033876],31.003111800004262,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
