NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],2,TMTstop-control_1_p.png,TMTstop-control_1_p.png,TMTstop-control_1_p.png,10,0,0,0,0,,,,,,,,,1,1,20.97945100000652,None,['2'],1,[-1.0114198999945074],20.97945100000652,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
2,['1'],1,TMTstop-control_1_p.png,TMTstop-control_1_pfirstgreen.png,TMTstop-control_1_pfirstred.png,10,0,1,1,1,,,,,,,,,3,0,21.060696300002746,None,"['3', '2', '1']",1,"[0.4244922000070801, 0.5605783000064548, 0.5917191000044113]",21.060696300002746,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
3,['3'],3,TMTstop-control_1_plinestimulus0.png,TMTstop-control_1_pgreenlinestimulus0.png,TMTstop-control_1_predlinestimulus0.png,10,0,2,2,2,,,,,,,,,1,1,21.762145100001362,None,['3'],1,[0.07791169999109115],21.762145100001362,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
4,['1'],1,TMTstop-control_1_plinestimulus1.png,TMTstop-control_1_pgreenlinestimulus1.png,TMTstop-control_1_predlinestimulus1.png,10,0,3,3,3,,,,,,,,,2,0,21.93431870000495,None,"['2', '1']",1,"[-0.035231200003181584, 0.052596299996366724]",21.93431870000495,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
5,['3'],3,TMTstop-control_1_plinestimulus2.png,TMTstop-control_1_pgreenlinestimulus2.png,TMTstop-control_1_predlinestimulus2.png,10,0,4,4,4,,,,,,,,,1,1,22.113635800007614,None,['3'],1,[0.021188400001847185],22.113635800007614,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
6,['1'],1,TMTstop-control_1_plinestimulus3.png,TMTstop-control_1_pgreenlinestimulus3.png,TMTstop-control_1_predlinestimulus3.png,10,0,5,5,5,,,,,,,,,2,0,22.22792630000913,None,"['2', '1']",1,"[-0.05413449999468867, 0.051045000000158325]",22.22792630000913,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
7,['3'],3,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus4.png,TMTstop-control_1_predlinestimulus4.png,10,0,6,6,6,,,,,,,,,1,1,22.368417500008945,None,['3'],1,[0.06249470000329893],22.368417500008945,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
8,['1'],1,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus5.png,TMTstop-control_1_predlinestimulus5.png,10,0,7,7,7,,,,,,,,,2,0,22.528386000005412,None,"['2', '1']",1,"[-0.06797150000056718, 0.043622199998935685]",22.528386000005412,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
9,['2'],2,TMTstop-control_1_plinestimulus6.png,TMTstop-control_1_pgreenlinestimulus6.png,TMTstop-control_1_predlinestimulus6.png,10,0,8,8,8,,,,,,,,,2,0,22.66701319999993,None,"['3', '2']",1,"[0.047006100008729845, 0.07720280000648927]",22.66701319999993,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
10,['3'],3,TMTstop-control_1_plinestimulus7.png,TMTstop-control_1_pgreenlinestimulus7.png,TMTstop-control_1_predlinestimulus7.png,10,0,9,9,9,,,,,,,,,2,0,22.857936700005666,None,"['1', '3']",1,"[0.005349700004444458, 0.15912609999941196]",22.857936700005666,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
11,['2'],2,TMTstop-control_1_plinestimulus8.png,TMTstop-control_1_pgreenlinestimulus8.png,TMTstop-control_1_predlinestimulus8.png,10,0,10,10,10,,,,,,,,,1,1,23.123127500002738,None,['2'],1,[-0.06896390000474639],23.123127500002738,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
12,['3'],3,TMTstop-control_1_plinestimulus9.png,TMTstop-control_1_pgreenlinestimulus9.png,TMTstop-control_1_predlinestimulus9.png,10,0,11,11,11,,,,,,,,,2,0,23.209256200003438,None,"['1', '3']",1,"[-0.055056199998944066, 0.09419879999768455]",23.209256200003438,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
13,['1'],1,TMTstop-control_1_plinestimulus10.png,TMTstop-control_1_pgreenlinestimulus10.png,TMTstop-control_1_predlinestimulus10.png,1,0,12,12,12,,,,,,,,,2,0,23.413419900010922,None,"['2', '1']",1,"[-0.07873259999905713, 0.050312099992879666]",23.413419900010922,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
14,['2'],2,TMTstop-control_1_plinestimulus11.png,TMTstop-control_1_pgreenlinestimulus11.png,TMTstop-control_1_predlinestimulus11.png,None,0,13,13,13,,,,,,,,,2,0,23.56112780001422,None,"['3', '2']",1,"[0.05687059999036137, 0.08741799999552313]",23.56112780001422,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
15,['3'],3,TMTstop-control_1_plinestimulus12.png,TMTstop-control_1_pgreenlinestimulus12.png,TMTstop-control_1_predlinestimulus12.png,None,0,14,14,14,,,,,,,,,2,0,23.75829490000615,None,"['1', '3']",1,"[0.0038834000006318092, 0.16844419999688398]",23.75829490000615,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
16,['1'],1,TMTstop-control_1_plinestimulus13.png,TMTstop-control_1_pgreenlinestimulus13.png,TMTstop-control_1_predlinestimulus13.png,None,0,15,15,15,,,,,,,,,2,0,24.018851200002246,None,"['2', '1']",1,"[-0.06768269999884069, 0.04975360000389628]",24.018851200002246,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
17,['3'],3,TMTstop-control_1_plinestimulus14.png,TMTstop-control_1_pgreenlinestimulus14.png,TMTstop-control_1_predlinestimulus14.png,None,0,16,16,16,,,,,,,,,1,1,24.16507130001264,None,['3'],1,[0.06049349998647813],24.16507130001264,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
18,['1'],1,TMTstop-control_1_plinestimulus15.png,TMTstop-control_1_pgreenlinestimulus15.png,TMTstop-control_1_predlinestimulus15.png,None,0,17,17,17,,,,,,,,,2,0,24.32565510000859,None,"['2', '1']",1,"[-0.07071309999446385, 0.050408800001605414]",24.32565510000859,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
19,['3'],3,TMTstop-control_1_plinestimulus16.png,TMTstop-control_1_pgreenlinestimulus16.png,TMTstop-control_1_predlinestimulus16.png,None,0,18,18,18,,,,,,,,,1,1,24.46614910000062,None,['3'],1,[0.07062519999453798],24.46614910000062,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
20,['2'],2,TMTstop-control_1_plinestimulus17.png,TMTstop-control_1_pgreenlinestimulus17.png,TMTstop-control_1_predlinestimulus17.png,None,0,19,19,19,,,,,,,,,1,1,24.63181850001274,None,['2'],1,[-0.06664010000531562],24.63181850001274,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
21,['1'],1,TMTstop-control_1_plinestimulus18.png,TMTstop-control_1_pgreenlinestimulus18.png,TMTstop-control_1_predlinestimulus18.png,None,0,20,20,20,,,,,,,,,1,1,24.71696200000588,None,['1'],1,[-0.02267829999618698],24.71696200000588,None,,001,2022_Nov_18_0110,TMT_practice,2021.2.3,119.88366487803789,
