NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,1,20.946973099955358,None,"['1', '2']",1,"[0.32244539994280785, 0.3592452999437228]",20.946973099955358,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,2,1,21.41431579994969,None,"['3', '1']",1,"[0.012682099943049252, 0.1539727000053972]",21.41431579994969,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,1,1,21.664446900016628,None,['2'],1,[-0.033080499968491495],21.664446900016628,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,1,1,21.748051000060514,None,['3'],1,[-0.034374200040474534],21.748051000060514,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,2,1,21.831235700054094,None,"['1', '2']",1,"[0.021193600026890635, 0.08828110003378242]",21.831235700054094,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,1,1,22.047940899967216,None,['3'],1,[-0.03987740003503859],22.047940899967216,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,4,1,22.13153410004452,None,"['1', '3', '1', '2']",1,"[-0.013492000056430697, 0.15278370003215969, 0.36522150004748255, 0.4766541999997571]",22.13153410004452,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,2,1,22.715257499949075,None,"['3', '1']",1,"[-0.003627500031143427, 0.14484690001700073]",22.715257499949075,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,1,1,22.948558500036597,None,['2'],1,[-0.03962239995598793],22.948558500036597,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,2,1,23.031688599963672,None,"['3', '1']",1,"[-0.002205600030720234, 0.11076939990743995]",23.031688599963672,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,1,1,23.26531549997162,None,['2'],1,[-0.04272250004578382],23.26531549997162,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,1,1,23.348532199976034,None,['3'],1,[-0.045029600034467876],23.348532199976034,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,2,1,23.431856699986383,None,"['1', '2']",1,"[-0.01912750001065433, 0.059712299960665405]",23.431856699986383,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,1,1,23.615538700018078,None,['3'],1,[-0.047568999929353595],23.615538700018078,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
