Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-B_1_1.xlsx,0:26,G,['2'],2,TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus11.png,1,14,,,,,,,,,0,0,0,0,0,13,13,13,1,1,17.08303670003079,None,['2'],1,[0.05021629994735122],17.08303670003079,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_1.xlsx,0:26,8,['1'],1,TMTstop-B_1_1linestimulus12.png,TMTstop-B_1_1greenlinestimulus12.png,TMTstop-B_1_1redlinestimulus12.png,1,15,,,,,,,,,0,0,0,0,0,14,14,14,2,0,17.222064400091767,None,"['3', '1']",1,"[-0.0594868001062423, 0.12808699999004602]",17.222064400091767,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_1.xlsx,0:26,H,['2'],2,TMTstop-B_1_1linestimulus13.png,TMTstop-B_1_1greenlinestimulus13.png,TMTstop-B_1_1redlinestimulus13.png,1,16,,,,,,,,,0,0,0,0,0,15,15,15,1,1,17.42279570014216,None,['2'],1,[0.04705440020188689],17.42279570014216,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_1.xlsx,0:26,9,['3'],3,TMTstop-B_1_1linestimulus14.png,TMTstop-B_1_1greenlinestimulus14.png,TMTstop-B_1_1redlinestimulus14.png,1,17,,,,,,,,,0,0,0,0,0,16,16,16,1,1,17.55475110001862,None,['3'],1,[0.005604299949482083],17.55475110001862,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_1.xlsx,0:26,I,['1'],1,TMTstop-B_1_1linestimulus15.png,TMTstop-B_1_1greenlinestimulus15.png,TMTstop-B_1_1redlinestimulus15.png,1,18,,,,,,,,,0,0,0,0,0,17,17,17,1,1,17.64534840011038,None,['1'],1,[0.09837249992415309],17.64534840011038,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_1.xlsx,0:26,10,['2'],2,TMTstop-B_1_1linestimulus16.png,TMTstop-B_1_1greenlinestimulus16.png,TMTstop-B_1_1redlinestimulus16.png,1,19,,,,,,,,,0,0,0,0,0,18,18,18,1,1,17.83260970003903,None,['2'],1,[-0.019415999995544553],17.83260970003903,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_1.xlsx,0:26,J,['1'],1,TMTstop-B_1_1linestimulus17.png,TMTstop-B_1_1greenlinestimulus17.png,TMTstop-B_1_1redlinestimulus17.png,1,20,,,,,,,,,0,0,0,0,0,19,19,19,2,0,17.91594160022214,None,"['3', '1']",1,"[-0.0033245999366045, 0.21734829992055893]",17.91594160022214,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_1.xlsx,0:26,11,['2'],2,TMTstop-B_1_1linestimulus18.png,TMTstop-B_1_1greenlinestimulus18.png,TMTstop-B_1_1redlinestimulus18.png,1,21,,,,,,,,,0,0,0,0,0,20,20,20,2,0,18.242364400066435,None,"['1', '2']",1,"[0.5327256999444216, 0.6114878000225872]",18.242364400066435,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_1.xlsx,0:26,K,['3'],3,TMTstop-B_1_1linestimulus19.png,TMTstop-B_1_1greenlinestimulus19.png,TMTstop-B_1_1redlinestimulus19.png,1,22,,,,,,,,,0,0,0,0,0,21,21,21,1,1,18.95069080009125,None,['3'],1,[-0.012797300005331635],18.95069080009125,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_1.xlsx,0:26,12,['1'],1,TMTstop-B_1_1linestimulus20.png,TMTstop-B_1_1greenlinestimulus20.png,TMTstop-B_1_1redlinestimulus20.png,1,23,,,,,,,,,0,0,0,0,0,22,22,22,1,1,19.04195270012133,None,['1'],1,[0.07289390009827912],19.04195270012133,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
