NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Keypress_count,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,14.729981599957682,None,3,0.00557519996073097,14.729981599957682,None,,,,,,,,,,,,,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,14.830596699961461,None,1,0.052548700012266636,14.830596699961461,None,,,,,,,,,,,,,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,14.980368199991062,None,2,0.30138359998818487,14.980368199991062,None,,,,,,,,,,,,,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,15.363723099930212,None,1,0.4884115000022575,15.363723099930212,None,,,,,,,,,,,,,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,0.5543002999620512,16.444530799984932,None,,,,,,,,,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13,20.148516800021753,None,"['1', '2', '3', '1', '2']",1,"[0.4767872999655083, 0.6445963999722153, 0.6821477999910712, 0.9452088000252843, 1.0565318999579176]",20.148516800021753,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,18,21.31640329991933,None,"['3', '1']",1,"[0.2761789000360295, 0.48041930003091693]",21.31640329991933,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,19,21.883306699921377,None,['2'],1,[-0.0060807999689131975],21.883306699921377,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,20,21.96665610000491,None,['3'],1,[0.020796400029212236],21.96665610000491,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,22,22.08349739992991,None,"['1', '2']",1,"[0.08688999991863966, 0.1453785999910906]",22.08349739992991,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,23,22.317478599958122,None,['3'],1,[0.026653300039470196],22.317478599958122,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,27,22.4337807999691,None,"['1', '2']",1,"[0.051073300070129335, 0.15476030006539077]",22.4337807999691,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,31,22.71715789998416,None,"['3', '1']",1,"[-0.04429799993522465, 0.13559730001725256]",22.71715789998416,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,32,22.95066349999979,None,['2'],1,[-0.019821199937723577],22.95066349999979,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,36,23.033984999987297,None,"['3', '1']",1,"[0.0015215000603348017, 0.15352210006676614]",23.033984999987297,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
