NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,1,20.675130399991758,None,"['1', '2']",1,"[0.4862897000275552, 0.5701542000751942]",20.675130399991758,None,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,2,1,21.359300400014035,None,"['3', '1']",1,"[0.020494300057180226, 0.1593898000428453]",21.359300400014035,None,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,1,1,21.626096999971196,None,['2'],1,[-0.02614020009059459],21.626096999971196,None,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,1,1,21.709585399948992,None,['3'],1,[0.0074257999658584595],21.709585399948992,None,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,2,1,21.809583900030702,None,"['1', '2']",1,"[0.021965599968098104, 16.659718499984592]",21.809583900030702,None,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,1,1,38.58400259993505,None,['3'],1,[2.562397599918768],38.58400259993505,None,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,2,1,41.23538239998743,None,"['1', '2']",1,"[2.7444401000393555, 12.59975900000427]",41.23538239998743,None,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,2,1,53.92442910000682,None,"['3', '1']",1,"[0.8907846000511199, 6.240547199966386]",53.92442910000682,None,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,2,1,60.260756799951196,None,"['3', '2']",1,"[2.71625210007187, 3.5968326000729576]",60.260756799951196,None,,001,2022_Jan_24_1520,TMTAstop-A,2021.2.3,59.89637925582791,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,
