NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.jpg,TMT-B_1_1.jpg,TMT-B_1_1.jpg,10,,,0,0,0,0,,,,,,,,,7.495902700000443,None,7.495902700000443,None,8.336235299997497,None,2,0,0.8728934000027948,8.336235299997497,None,,,,001,2021_Oct_27_1558,TMTAB,2021.2.3,145.01875092430043,
A,2,TMT-B_1_1.jpg,TMT-B_1_1firstgreen.jpg,TMT-B_1_1firstred.jpg,10,,,0,1,1,1,,,,,,,,,,,,,9.294101899999077,None,3,0,0.32362970000031055,9.294101899999077,None,,,,001,2021_Oct_27_1558,TMTAB,2021.2.3,145.01875092430043,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,,0,2,2,2,,,,,,,,,,,,,9.703376999998,None,1,1,0.2466515000014624,9.703376999998,None,,,,001,2021_Oct_27_1558,TMTAB,2021.2.3,145.01875092430043,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,,0,3,3,3,,,,,,,,,,,,,10.050706499998341,None,2,0,0.03190600000016275,10.050706499998341,None,,,,001,2021_Oct_27_1558,TMTAB,2021.2.3,145.01875092430043,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,,,0,4,4,4,,,,,,,,,,,,,10.175574299999425,None,3,0,0.05989640000188956,10.175574299999425,None,,,,001,2021_Oct_27_1558,TMTAB,2021.2.3,145.01875092430043,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,,,0,5,5,5,,,,,,,,,,,,,10.322105799998099,None,1,1,0.0592185999994399,10.322105799998099,None,,,,001,2021_Oct_27_1558,TMTAB,2021.2.3,145.01875092430043,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,,,0,6,6,6,,,,,,,,,,,,,10.460520299999189,None,1,0,0.6106263000001491,10.460520299999189,None,,,,001,2021_Oct_27_1558,TMTAB,2021.2.3,145.01875092430043,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,,,0,7,7,7,,,,,,,,,,,,,11.147853999998915,None,2,0,0.2605015999979514,11.147853999998915,None,,,,001,2021_Oct_27_1558,TMTAB,2021.2.3,145.01875092430043,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,,,0,8,8,8,,,,,,,,,,,,,11.488543899999058,None,2,1,0.4345630000025267,11.488543899999058,None,,,,001,2021_Oct_27_1558,TMTAB,2021.2.3,145.01875092430043,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,,,0,9,9,9,,,,,,,,,,,,,12.009102500000154,None,2,0,0.33362940000006347,12.009102500000154,None,,,,001,2021_Oct_27_1558,TMTAB,2021.2.3,145.01875092430043,
