NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Stim.started,key_resp_2.started,Attempts,First_attempt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],2,TMTstop-control_1_p.png,TMTstop-control_1_p.png,TMTstop-control_1_p.png,10,0,0,0,0,,,,,,,,,27.56944329999999,27.56944329999999,1,1,['2'],1,[1.5926819999999111],,001,2023-02-27_15h11.00.236,TMT_practice,2022.2.5,60.195744522053126,
2,['1'],1,TMTstop-control_1_p.png,TMTstop-control_1_pfirstgreen.png,TMTstop-control_1_pfirstred.png,10,0,1,1,1,,,,,,,,,29.280811200000016,29.280811200000016,1,1,['1'],1,[0.43222299999996494],,001,2023-02-27_15h11.00.236,TMT_practice,2022.2.5,60.195744522053126,
3,['3'],3,TMTstop-control_1_plinestimulus0.png,TMTstop-control_1_pgreenlinestimulus0.png,TMTstop-control_1_predlinestimulus0.png,10,0,2,2,2,,,,,,,,,29.787089700000024,29.787089700000024,1,1,['3'],1,[0.6574301999999648],,001,2023-02-27_15h11.00.236,TMT_practice,2022.2.5,60.195744522053126,
4,['1'],1,TMTstop-control_1_plinestimulus1.png,TMTstop-control_1_pgreenlinestimulus1.png,TMTstop-control_1_predlinestimulus1.png,10,0,3,3,3,,,,,,,,,30.517573699999957,30.517573699999957,1,1,['1'],1,[0.4481470999999715],,001,2023-02-27_15h11.00.236,TMT_practice,2022.2.5,60.195744522053126,
5,['3'],3,TMTstop-control_1_plinestimulus2.png,TMTstop-control_1_pgreenlinestimulus2.png,TMTstop-control_1_predlinestimulus2.png,10,0,4,4,4,,,,,,,,,31.04733729999998,31.04733729999998,2,0,"['2', '3']",1,"[0.5183220999999207, 0.7455114999999637]",,001,2023-02-27_15h11.00.236,TMT_practice,2022.2.5,60.195744522053126,
6,['1'],1,TMTstop-control_1_plinestimulus3.png,TMTstop-control_1_pgreenlinestimulus3.png,TMTstop-control_1_predlinestimulus3.png,10,0,5,5,5,,,,,,,,,31.903724499999953,31.903724499999953,1,1,['1'],1,[0.44709109999990915],,001,2023-02-27_15h11.00.236,TMT_practice,2022.2.5,60.195744522053126,
7,['3'],3,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus4.png,TMTstop-control_1_predlinestimulus4.png,10,0,6,6,6,,,,,,,,,32.45307420000006,32.45307420000006,1,1,['3'],1,[0.1994505000000686],,001,2023-02-27_15h11.00.236,TMT_practice,2022.2.5,60.195744522053126,
8,['1'],1,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus5.png,TMTstop-control_1_predlinestimulus5.png,10,0,7,7,7,,,,,,,,,32.74827370000003,32.74827370000003,1,1,['1'],1,[0.38330509999997275],,001,2023-02-27_15h11.00.236,TMT_practice,2022.2.5,60.195744522053126,
9,['2'],2,TMTstop-control_1_plinestimulus6.png,TMTstop-control_1_pgreenlinestimulus6.png,TMTstop-control_1_predlinestimulus6.png,10,0,8,8,8,,,,,,,,,33.20125380000002,33.20125380000002,1,1,['2'],1,[0.254587699999945],,001,2023-02-27_15h11.00.236,TMT_practice,2022.2.5,60.195744522053126,
10,['3'],3,TMTstop-control_1_plinestimulus7.png,TMTstop-control_1_pgreenlinestimulus7.png,TMTstop-control_1_predlinestimulus7.png,10,0,9,9,9,,,,,,,,,33.55403709999996,33.55403709999996,1,1,['3'],1,[0.25456409999998186],,001,2023-02-27_15h11.00.236,TMT_practice,2022.2.5,60.195744522053126,
