NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,1,1,1.0,19.70428466796875,19.70428466796875,0.0,,1.0,1.0,0.0,2,0.6346861999481916,19.70428466796875,19.70428466796875,0.0,,0.0
2,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,1,2,1.0,20.419939041137695,20.419939041137695,0.0,,1.0,1.0,0.0,1,0.3744379000272602,20.419939041137695,20.419939041137695,0.0,,1.0
3,['2'],2,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,1,3,1.0,20.875104904174805,20.875104904174805,0.0,,1.0,1.0,0.0,2,0.04672260000370443,20.875104904174805,20.875104904174805,0.0,,2.0
4,['3'],3,TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,1,4,1.0,21.0032901763916,21.0032901763916,0.0,,1.0,1.0,0.0,3,0.12485420005396008,21.0032901763916,21.0032901763916,0.0,,3.0
5,['2'],2,TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,1,5,1.0,21.19793128967285,21.19793128967285,0.0,,1.0,1.0,0.0,1,2,0.3673966999631375,0.6362552000209689,21.19793128967285,21.19793128967285,0.0,,4.0
6,['3'],3,TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,1,6,1.0,21.946779251098633,21.946779251098633,0.0,,1.0,1.0,0.0,3,0.122702999971807,21.946779251098633,21.946779251098633,0.0,,5.0
7,['2'],2,TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,1,7,1.0,22.156843185424805,22.156843185424805,0.0,,1.0,1.0,0.0,1,2,0.2790312999859452,0.48903760011307895,22.156843185424805,22.156843185424805,0.0,,6.0
8,['1'],1,TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,1,8,1.0,22.732341766357422,22.732341766357422,0.0,,1.0,1.0,0.0,3,1,0.20846709981560707,0.5701264999806881,22.732341766357422,22.732341766357422,0.0,,7.0
9,['2'],2,TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,1,9,1.0,23.396007537841797,23.396007537841797,0.0,,1.0,1.0,0.0,2,0.07491939980536699,23.396007537841797,23.396007537841797,0.0,,8.0
10,['1'],1,TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,1,10,1.0,23.54534339904785,23.54534339904785,0.0,,1.0,1.0,0.0,3,1,0.173860999988392,0.46606609993614256,23.54534339904785,23.54534339904785,0.0,,9.0
11,['2'],2,TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,1,11,1.0,24.10771942138672,24.10771942138672,0.0,,1.0,1.0,0.0,2,0.001456099795177579,24.10771942138672,24.10771942138672,0.0,,10.0
12,['3'],3,TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,1,12,1.0,24.183631896972656,24.183631896972656,0.0,,1.0,1.0,0.0,3,0.12259940011426806,24.183631896972656,24.183631896972656,0.0,,11.0
13,['2'],2,TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,13,1.0,24.38725471496582,24.38725471496582,0.0,,1.0,1.0,0.0,1,2,0.38066050014458597,0.4851013000588864,24.38725471496582,24.38725471496582,0.0,,12.0
14,['3'],3,TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,1,14,1.0,24.975160598754883,24.975160598754883,0.0,,1.0,1.0,0.0,3,0.08063300000503659,24.975160598754883,24.975160598754883,0.0,,13.0
15,['1'],1,TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,1,15,1.0,25.13496208190918,25.13496208190918,0.0,,1.0,1.0,0.0,1,0.19825790007598698,25.13496208190918,25.13496208190918,0.0,,14.0
16,['3'],3,TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,1,16,1.0,25.42129135131836,25.42129135131836,0.0,,1.0,1.0,0.0,2,3,0.003235700074583292,0.17701630014926195,25.42129135131836,25.42129135131836,0.0,,15.0
17,['2'],2,TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,1,17,1.0,25.676851272583008,25.676851272583008,0.0,,1.0,1.0,0.0,1,2,0.1523127001710236,0.23722460004501045,25.676851272583008,25.676851272583008,0.0,,16.0
18,['3'],3,TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,1,18,1.0,25.993162155151367,25.993162155151367,0.0,,1.0,1.0,0.0,3,0.09158089989796281,25.993162155151367,25.993162155151367,0.0,,17.0
19,['1'],1,TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,1,19,1.0,26.17007827758789,26.17007827758789,0.0,,1.0,1.0,0.0,1,0.2059131998103112,26.17007827758789,26.17007827758789,0.0,,18.0
20,['3'],3,TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,1,20,1.0,26.46129608154297,26.46129608154297,0.0,,1.0,1.0,0.0,2,3,-0.006687400164082646,0.1306425000075251,26.46129608154297,26.46129608154297,0.0,,19.0
21,['1'],1,TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,1,21,1.0,26.66981315612793,26.66981315612793,0.0,,1.0,1.0,0.0,1,0.11983570014126599,26.66981315612793,26.66981315612793,0.0,,20.0
22,['3'],3,TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,1,22,1.0,26.87862205505371,26.87862205505371,0.0,,1.0,1.0,0.0,2,3,-0.0293699000030756,0.09278730000369251,26.87862205505371,26.87862205505371,0.0,,21.0
23,['1'],1,TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,1,23,1.0,27.080345153808594,27.080345153808594,0.0,,1.0,1.0,0.0,1,0.034850799944251776,27.080345153808594,27.080345153808594,0.0,,22.0
24,['2'],2,TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,1,24,1.0,27.190448760986328,27.190448760986328,0.0,,1.0,1.0,0.0,2,-0.01734509994275868,27.190448760986328,27.190448760986328,0.0,,23.0
25,['3'],3,TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,1,25,1.0,27.266956329345703,27.266956329345703,0.0,,1.0,1.0,0.0,3,0.036978699965402484,27.266956329345703,27.266956329345703,0.0,,24.0
None,None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,1,None,1.0,27.38565444946289,27.38565444946289,0.0,,1.0,1.0,0.0,,'--',27.38565444946289,27.38565444946289,0.0,,25.0

extraInfo
participant,
session,001
date,2022_Feb_02_1451
expName,TMTAstop-A
psychopyVersion,2021.2.3
frameRate,149.62086084758246
﻿NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,n,Stim.started_raw,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.started_raw,key_resp_2.stopped_raw,order
1,['3'],3,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,2,26,1.0,31.491358950152062,,0.0,0.0,0.0,,31.491358950152062,,0.0
2,['2'],2,TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,2,27,0.0,'--','--',,,,'--','--','--',
3,['3'],3,TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,2,28,0.0,'--','--',,,,'--','--','--',
4,['1'],1,TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,2,29,0.0,'--','--',,,,'--','--','--',
5,['2'],2,TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,2,30,0.0,'--','--',,,,'--','--','--',
6,['3'],3,TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,2,31,0.0,'--','--',,,,'--','--','--',
7,['2'],2,TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,2,32,0.0,'--','--',,,,'--','--','--',
8,['1'],1,TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,2,33,0.0,'--','--',,,,'--','--','--',
9,['2'],2,TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,2,34,0.0,'--','--',,,,'--','--','--',
10,['3'],3,TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,2,35,0.0,'--','--',,,,'--','--','--',
11,['1'],1,TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,2,36,0.0,'--','--',,,,'--','--','--',
12,['2'],2,TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,2,37,0.0,'--','--',,,,'--','--','--',
13,['3'],3,TMTstop-A_1_2linestimulus10.png,TMTstop-A_1_2greenlinestimulus10.png,TMTstop-A_1_2redlinestimulus10.png,2,38,0.0,'--','--',,,,'--','--','--',
14,['1'],1,TMTstop-A_1_2linestimulus11.png,TMTstop-A_1_2greenlinestimulus11.png,TMTstop-A_1_2redlinestimulus11.png,2,39,0.0,'--','--',,,,'--','--','--',
15,['3'],3,TMTstop-A_1_2linestimulus12.png,TMTstop-A_1_2greenlinestimulus12.png,TMTstop-A_1_2redlinestimulus12.png,2,40,0.0,'--','--',,,,'--','--','--',
16,['1'],1,TMTstop-A_1_2linestimulus13.png,TMTstop-A_1_2greenlinestimulus13.png,TMTstop-A_1_2redlinestimulus13.png,2,41,0.0,'--','--',,,,'--','--','--',
17,['2'],2,TMTstop-A_1_2linestimulus14.png,TMTstop-A_1_2greenlinestimulus14.png,TMTstop-A_1_2redlinestimulus14.png,2,42,0.0,'--','--',,,,'--','--','--',
18,['1'],1,TMTstop-A_1_2linestimulus15.png,TMTstop-A_1_2greenlinestimulus15.png,TMTstop-A_1_2redlinestimulus15.png,2,43,0.0,'--','--',,,,'--','--','--',
19,['3'],3,TMTstop-A_1_2linestimulus16.png,TMTstop-A_1_2greenlinestimulus16.png,TMTstop-A_1_2redlinestimulus16.png,2,44,0.0,'--','--',,,,'--','--','--',
20,['1'],1,TMTstop-A_1_2linestimulus17.png,TMTstop-A_1_2greenlinestimulus17.png,TMTstop-A_1_2redlinestimulus17.png,2,45,0.0,'--','--',,,,'--','--','--',
21,['2'],2,TMTstop-A_1_2linestimulus18.png,TMTstop-A_1_2greenlinestimulus18.png,TMTstop-A_1_2redlinestimulus18.png,2,46,0.0,'--','--',,,,'--','--','--',
22,['1'],1,TMTstop-A_1_2linestimulus19.png,TMTstop-A_1_2greenlinestimulus19.png,TMTstop-A_1_2redlinestimulus19.png,2,47,0.0,'--','--',,,,'--','--','--',
23,['2'],2,TMTstop-A_1_2linestimulus20.png,TMTstop-A_1_2greenlinestimulus20.png,TMTstop-A_1_2redlinestimulus20.png,2,48,0.0,'--','--',,,,'--','--','--',
24,['1'],1,TMTstop-A_1_2linestimulus21.png,TMTstop-A_1_2greenlinestimulus21.png,TMTstop-A_1_2redlinestimulus21.png,2,49,0.0,'--','--',,,,'--','--','--',
