Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,1,13,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,2,0,20.564977400004864,None,"['2', '3']",1,"[-0.03718370012938976, 0.07826179987750947]",20.564977400004864,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,14,['1'],1,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,1,14,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,1,1,20.71777470014058,None,['1'],1,[0.07391709997318685],20.71777470014058,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,1,15,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,2,0,20.87027500011027,None,"['2', '3']",1,"[-0.021642599953338504, 0.08377310005016625]",20.87027500011027,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,16,['1'],1,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,1,16,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,1,1,21.030361000215635,None,['1'],1,[0.09869570005685091],21.030361000215635,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,17,['2'],2,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,1,17,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,1,1,21.203750100219622,None,['2'],1,[-0.04551959992386401],21.203750100219622,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,18,['1'],1,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,1,18,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,2,0,21.28043600008823,None,"['3', '1']",1,"[0.014591700164601207, 0.16477860021404922]",21.28043600008823,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,19,['3'],3,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,1,19,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,2,0,21.54630869999528,None,"['2', '3']",1,"[-0.04580789990723133, 0.060440200148150325]",21.54630869999528,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,20,['1'],1,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,1,20,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,1,1,21.698551900219172,None,['1'],1,[0.040847300086170435],21.698551900219172,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,21,['3'],3,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,1,21,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,2,0,21.816410700092092,None,"['2', '3']",1,"[-0.013705900171771646, 0.09824059996753931]",21.816410700092092,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
TMTstop-Control_1_1.xlsx,0:26,22,['1'],1,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,1,22,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,1,1,22.016239600023255,None,['1'],1,[0.2422159998677671],22.016239600023255,None,,001,2022_Feb_02_1703,TMTAstop-A,2021.2.3,145.11702956511184,
