NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,Block_file,Condition_rows,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Correct,Version,Block,TrialNumber_session,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
17,['2'],TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,None,0,16,16,16,,,,,,,,,,,,,,,1,1,13.46886710000399,None,['2'],1,[-0.025315100006991997],13.46886710000399,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
18,['1'],TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,None,0,17,17,17,,,,,,,,,,,,,,,2,0,13.53754660001141,None,"['3', '1']",1,"[0.04756730000372045, 0.18927610000537243]",13.53754660001141,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
19,['3'],TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,None,0,18,18,18,,,,,,,,,,,,,,,2,0,13.829012100002728,None,"['2', '3']",1,"[-0.03671570000005886, 0.09501590000581928]",13.829012100002728,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
20,['1'],TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,None,0,19,19,19,,,,,,,,,,,,,,,1,1,14.023597000006703,None,['1'],1,[0.0600929000065662],14.023597000006703,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
21,['3'],TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,None,0,20,20,20,,,,,,,,,,,,,,,2,0,14.155485900002532,None,"['2', '3']",1,"[-0.01420479999796953, 0.11767520000285003]",14.155485900002532,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
22,['1'],TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,None,0,21,21,21,,,,,,,,,,,,,,,1,1,14.349930500000482,None,['1'],1,[0.07409889998962171],14.349930500000482,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
23,['3'],TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,None,0,22,22,22,,,,,,,,,,,,,,,2,0,14.502780700000585,None,"['2', '3']",1,"[-0.03413569999975152, 0.09917050000512972]",14.502780700000585,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
24,['1'],TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,None,0,23,23,23,,,,,,,,,,,,,,,1,1,14.697085800013156,None,['1'],1,[0.06052930001169443],14.697085800013156,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
25,['3'],TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,None,0,24,24,24,,,,,,,,,,,,,,,2,0,14.836032400009572,None,"['2', '3']",1,"[-0.03607729999930598, 0.10558940000191797]",14.836032400009572,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,None,0,25,25,25,,,,,,,,,,,,,,,0,0,15.03050350000558,None,None,1,,15.03050350000558,None,,001,2022_Mar_30_1034,TMT_fmri,2021.2.3,144.75236489455,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
