NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
21,['1'],1,TMTstop-control_1_plinestimulus18.png,TMTstop-control_1_pgreenlinestimulus18.png,TMTstop-control_1_predlinestimulus18.png,None,1.0,40.38923263549805,40.38923263549805,0.0,,1.0,1.0,0.0,1,0.21790459996555,40.38923263549805,40.38923263549805,0.0,,20.0
22,['3'],3,TMTstop-control_1_plinestimulus19.png,TMTstop-control_1_pgreenlinestimulus19.png,TMTstop-control_1_predlinestimulus19.png,None,1.0,40.72334289550781,40.72334289550781,0.0,,1.0,1.0,0.0,3,0.2591715000453405,40.72334289550781,40.72334289550781,0.0,,21.0
23,['2'],2,TMTstop-control_1_plinestimulus20.png,TMTstop-control_1_pgreenlinestimulus20.png,TMTstop-control_1_predlinestimulus20.png,None,1.0,41.0827751159668,41.0827751159668,0.0,,1.0,1.0,0.0,2,0.24952429998666048,41.0827751159668,41.0827751159668,0.0,,22.0
24,['1'],1,TMTstop-control_1_plinestimulus21.png,TMTstop-control_1_pgreenlinestimulus21.png,TMTstop-control_1_predlinestimulus21.png,None,1.0,41.43478012084961,41.43478012084961,0.0,,1.0,1.0,0.0,1,0.19200699997600168,41.43478012084961,41.43478012084961,0.0,,23.0
25,['3'],3,TMTstop-control_1_plinestimulus22.png,TMTstop-control_1_pgreenlinestimulus22.png,TMTstop-control_1_predlinestimulus22.png,None,1.0,41.7299919128418,41.7299919128418,0.0,,1.0,1.0,0.0,3,0.5879458999843337,41.7299919128418,41.7299919128418,0.0,,24.0
None,None,None,TMTstop-control_1_plinestimulus23.png,TMTstop-control_1_pgreenlinestimulus23.png,TMTstop-control_1_predlinestimulus23.png,None,1.0,42.42522048950195,42.42522048950195,0.0,,1.0,1.0,0.0,,'--',42.42522048950195,42.42522048950195,0.0,,25.0

extraInfo
participant,
session,001
date,2022_Nov_21_1345
expName,TMT_practice
psychopyVersion,2021.2.3
frameRate,144.01979405684952
