NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
18,['1'],1,TMTstop-control_1_plinestimulus15.png,TMTstop-control_1_pgreenlinestimulus15.png,TMTstop-control_1_predlinestimulus15.png,None,0,17,17,17,,,,,,,,,1,1,69.30388510000193,None,['1'],1,[0.017139500007033348],69.30388510000193,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
19,['3'],3,TMTstop-control_1_plinestimulus16.png,TMTstop-control_1_pgreenlinestimulus16.png,TMTstop-control_1_predlinestimulus16.png,None,0,18,18,18,,,,,,,,,2,0,69.41468580000219,None,"['2', '3']",1,"[0.038550500001292676, 0.12648120000085328]",69.41468580000219,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
20,['2'],2,TMTstop-control_1_plinestimulus17.png,TMTstop-control_1_pgreenlinestimulus17.png,TMTstop-control_1_predlinestimulus17.png,None,0,19,19,19,,,,,,,,,2,0,69.64955239999108,None,"['1', '2']",1,"[0.04438920000393409, 0.0986001999990549]",69.64955239999108,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
21,['1'],1,TMTstop-control_1_plinestimulus18.png,TMTstop-control_1_pgreenlinestimulus18.png,TMTstop-control_1_predlinestimulus18.png,None,0,20,20,20,,,,,,,,,2,0,69.85762850000174,None,"['3', '1']",1,"[0.00034749999758787453, 0.13295800000196323]",69.85762850000174,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
22,['3'],3,TMTstop-control_1_plinestimulus19.png,TMTstop-control_1_pgreenlinestimulus19.png,TMTstop-control_1_predlinestimulus19.png,None,0,21,21,21,,,,,,,,,2,0,70.09407829999691,None,"['2', '3']",1,"[-0.008466900006169453, 0.0751414999976987]",70.09407829999691,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
23,['2'],2,TMTstop-control_1_plinestimulus20.png,TMTstop-control_1_pgreenlinestimulus20.png,TMTstop-control_1_predlinestimulus20.png,None,0,22,22,22,,,,,,,,,2,0,70.25411100000201,None,"['1', '2']",1,"[0.053389599997899495, 0.14468920000945218]",70.25411100000201,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
24,['1'],1,TMTstop-control_1_plinestimulus21.png,TMTstop-control_1_pgreenlinestimulus21.png,TMTstop-control_1_predlinestimulus21.png,None,0,23,23,23,,,,,,,,,2,0,70.5107577000017,None,"['3', '1']",1,"[-0.03353650000644848, 0.10475529999530409]",70.5107577000017,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
25,['3'],3,TMTstop-control_1_plinestimulus22.png,TMTstop-control_1_pgreenlinestimulus22.png,TMTstop-control_1_predlinestimulus22.png,None,0,24,24,24,,,,,,,,,2,0,70.71199899999192,None,"['2', '3']",1,"[0.02181570000539068, 0.08573350000369828]",70.71199899999192,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
None,None,None,TMTstop-control_1_plinestimulus23.png,TMTstop-control_1_pgreenlinestimulus23.png,TMTstop-control_1_predlinestimulus23.png,None,0,25,25,25,,,,,,,,,3,0,70.89344030000211,None,"['1', '2', '3']",0,"[0.02777359999890905, 0.11063250000006519, 0.2075014000001829]",70.89344030000211,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
1,['3'],3,TMTstop-A_1_p.png,TMTstop-A_1_p.png,TMTstop-A_1_p.png,10,,,,,0,0,0,0,,,,,3,0,75.7947021,None,"['1', '2', '3']",1,"[0.4694971999997506, 0.60918899999524, 0.6313060999964364]",75.7947021,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
