NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,7.96772410000267,None,18.06529949999822,None,1,3.955466900006286,18.06529949999822,None,,,,,,,,,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,22.038190400009626,None,25.080093800002942,None,1,0.8457274999964284,25.080093800002942,None,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,26.00359780000872,None,2,0.19625219999579713,26.00359780000872,None,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,26.281698500009952,None,3,0.2806248999986565,26.281698500009952,None,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,26.642584900007932,None,1,0.7215909999940777,26.642584900007932,None,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,27.455747900006827,None,2,0.16370160000224132,27.455747900006827,None,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,27.691417699999874,None,3,0.1277613999991445,27.691417699999874,None,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,27.892837799998233,None,1,0.3713512999966042,27.892837799998233,None,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,28.337202599999728,None,3,0.37636929999280255,28.337202599999728,None,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,28.795294200011995,None,2,0.9145114999992074,28.795294200011995,None,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,29.809407799999462,None,3,0.04585370000859257,29.809407799999462,None,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,29.934206300007645,None,1,0.42055870000331197,29.934206300007645,None,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,30.427384800001164,None,2,0.3912992999976268,30.427384800001164,None,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,30.892755000008037,None,None,,30.892755000008037,None,,001,2021_Nov_17_1232,TMTAB,2021.2.3,144.81923662223485,
