NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,1,1,1.0,19.486255645751953,19.486255645751953,0.0,,1.0,1.0,0.0,2,0.40455880016088486,19.486255645751953,19.486255645751953,0.0,,0.0
2,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,1,2,1.0,19.96478843688965,19.96478843688965,0.0,,1.0,1.0,0.0,1,-0.0550844999961555,19.96478843688965,19.96478843688965,0.0,,1.0
3,['2'],2,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,1,3,1.0,20.04806900024414,20.04806900024414,0.0,,1.0,1.0,0.0,3,1,2,-0.0014783998485654593,0.15130869997665286,0.2463237999472767,20.04806900024414,20.04806900024414,0.0,,2.0
4,['3'],3,TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,1,4,1.0,20.403106689453125,20.403106689453125,0.0,,1.0,1.0,0.0,3,-0.054081999929621816,20.403106689453125,20.403106689453125,0.0,,3.0
5,['2'],2,TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,1,5,1.0,20.478878021240234,20.478878021240234,0.0,,1.0,1.0,0.0,1,2,0.017819699831306934,0.07197759998962283,20.478878021240234,20.478878021240234,0.0,,4.0
6,['3'],3,TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,1,6,1.0,20.65911293029785,20.65911293029785,0.0,,1.0,1.0,0.0,3,-0.008029900025576353,20.65911293029785,20.65911293029785,0.0,,5.0
7,['2'],2,TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,1,7,1.0,20.73539161682129,20.73539161682129,0.0,,1.0,1.0,0.0,1,2,0.04518790007568896,0.11297330004163086,20.73539161682129,20.73539161682129,0.0,,6.0
8,['1'],1,TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,1,8,1.0,20.943769454956055,20.943769454956055,0.0,,1.0,1.0,0.0,3,1,0.009558900026604533,0.14955920004285872,20.943769454956055,20.943769454956055,0.0,,7.0
9,['2'],2,TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,1,9,1.0,21.200986862182617,21.200986862182617,0.0,,1.0,1.0,0.0,2,-0.03855860000476241,21.200986862182617,21.200986862182617,0.0,,8.0
10,['1'],1,TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,1,10,1.0,21.278236389160156,21.278236389160156,0.0,,1.0,1.0,0.0,3,1,-0.03450159984640777,0.10125160007737577,21.278236389160156,21.278236389160156,0.0,,9.0
11,['2'],2,TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,1,11,1.0,21.479835510253906,21.479835510253906,0.0,,1.0,1.0,0.0,2,-0.025230000028386712,21.479835510253906,21.479835510253906,0.0,,10.0
12,['3'],3,TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,1,12,1.0,21.555936813354492,21.555936813354492,0.0,,1.0,1.0,0.0,3,-0.02877400000579655,21.555936813354492,21.555936813354492,0.0,,11.0
13,['2'],2,TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,13,1.0,21.63165855407715,21.63165855407715,0.0,,1.0,1.0,0.0,1,2,0.02867919998243451,0.08372189989313483,21.63165855407715,21.63165855407715,0.0,,12.0
