NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,NumB_1_2erLetter,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.jpg,TMT-B_1_1.jpg,TMT-B_1_1.jpg,10,,0,0,0,0,,,,,,,,,,6.827655199998844,None,6.827655199998844,None,7.625059299996792,None,2,0,0.7129146000006585,7.625059299996792,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
A,2,TMT-B_1_1.jpg,TMT-B_1_1firstgreen.jpg,TMT-B_1_1firstred.jpg,10,,0,1,1,1,,,,,,,,,,,,,,8.424100599997473,None,2,1,0.576487400001497,8.424100599997473,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,0,2,2,2,,,,,,,,,,,,,,9.075587199997244,None,3,0,0.30468050000126823,9.075587199997244,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,0,3,3,3,,,,,,,,,,,,,,9.471279999997932,None,2,0,0.22789339999872027,9.471279999997932,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,,0,4,4,4,,,,,,,,,,,,,,9.783868699996674,None,3,0,0.224174300001323,9.783868699996674,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,,0,5,5,5,,,,,,,,,,,,,,10.097079499999381,None,2,0,0.2959585999997216,10.097079499999381,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,,0,6,6,6,,,,,,,,,,,,,,10.472170299999561,None,1,0,0.39518390000012005,10.472170299999561,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,,0,7,7,7,,,,,,,,,,,,,,10.950138899999729,None,2,0,0.3007949999991979,10.950138899999729,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,,0,8,8,8,,,,,,,,,,,,,,11.325658999998268,None,2,1,0.4507123000003048,11.325658999998268,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,,0,9,9,9,,,,,,,,,,,,,,11.860517199998867,None,2,0,0.31162870000116527,11.860517199998867,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,,0,10,10,10,,,,,,,,,,,,,,12.249176499997702,None,2,1,0.30413469999984954,12.249176499997702,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,,0,11,11,11,,,,,,,,,,,,,,12.630951499999355,None,2,0,0.6655290000016976,12.630951499999355,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
None,None,None,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,,0,12,12,12,,,,,,,,,,,,,,13.374280699998053,None,None,1,,13.374280699998053,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
,3,TMT-BX_1_1.jpg,TMT-BX_1_1.jpg,TMT-BX_1_1.jpg,,7,,,,,0,0,0,0,,,,,,,,,,17.436582199999975,None,2,0,0.5016548999992665,17.436582199999975,None,14.38528899999801,None,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
,1,TMT-BX_1_1.jpg,TMT-BX_1_1firstgreen.jpg,TMT-BX_1_1firstred.jpg,,G,,,,,0,1,1,1,,,,,,,,,,18.02662059999784,None,2,0,0.4848683999989589,18.02662059999784,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
,2,TMT-BX_1_1linestimulus0.png,TMT-BX_1_1greenlinestimulus0.png,TMT-BX_1_1redlinestimulus0.png,,8,,,,,0,2,2,2,,,,,,,,,,18.58948309999687,None,2,1,0.26492829999915557,18.58948309999687,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
,1,TMT-BX_1_1linestimulus1.png,TMT-BX_1_1greenlinestimulus1.png,TMT-BX_1_1redlinestimulus1.png,,H,,,,,0,3,3,3,,,,,,,,,,18.95033279999916,None,2,0,0.16806020000149147,18.95033279999916,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
,3,TMT-BX_1_1linestimulus2.png,TMT-BX_1_1greenlinestimulus2.png,TMT-BX_1_1redlinestimulus2.png,,9,,,,,0,4,4,4,,,,,,,,,,19.22086809999746,None,2,0,0.15067940000153612,19.22086809999746,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
,1,TMT-BX_1_1linestimulus3.png,TMT-BX_1_1greenlinestimulus3.png,TMT-BX_1_1redlinestimulus3.png,,I,,,,,0,5,5,5,,,,,,,,,,19.458021699996607,None,2,0,0.303925000000163,19.458021699996607,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
,2,TMT-BX_1_1linestimulus4.png,TMT-BX_1_1greenlinestimulus4.png,TMT-BX_1_1redlinestimulus4.png,,10,,,,,0,6,6,6,,,,,,,,,,19.84621469999911,None,2,1,0.29784809999910067,19.84621469999911,None,,,,001,2021_Oct_27_1602,TMTAB,2021.2.3,143.8971078117064,
