NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.586789500084706,None,"['1', '2']",1,"[-0.011335899936966598, 0.03884279995691031]",23.586789500084706,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.721836599987,None,['3'],1,[0.015049100038595498],23.721836599987,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.820419499999844,None,['1'],1,[0.05745800002478063],23.820419499999844,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.970925700035878,None,"['2', '3']",1,"[-0.019737599999643862, 0.09129050001502037]",23.970925700035878,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.15516409999691,None,"['1', '2']",1,"[0.039429199998266995, 0.12340859998948872]",24.15516409999691,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.38715080008842,None,['3'],1,[-0.047424099990166724],24.38715080008842,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.470638300059363,None,['1'],1,[0.0460883000632748],24.470638300059363,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.60398230003193,None,"['2', '3']",1,"[0.10540239990223199, 0.11149529996328056]",24.60398230003193,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.80417140002828,None,['1'],1,[0.03382919996511191],24.80417140002828,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.937541700084694,None,"['2', '3']",1,"[-0.013228200026787817, 0.11778490000870079]",24.937541700084694,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.170979700051248,None,['1'],1,[0.04527160001453012],25.170979700051248,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.304375000065193,None,['2'],1,[0.017486199969425797],25.304375000065193,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.404605700052343,None,"['2', '3']",1,"[0.3427535999799147, 0.7694615999935195]",25.404605700052343,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.288092800066806,None,None,1,,26.288092800066806,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,10,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,27.36839429999236,None,,,,,,,,,,,,,30.373410900007002,None,"['1', '2', '3']",1,"[0.5074772000079975, 0.6378833999624476, 0.7010407999623567]",30.373410900007002,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
2,['2'],TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,10,2,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,31.17389460001141,None,"['1', '2']",1,"[0.056420199922285974, 0.125302099972032]",31.17389460001141,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
3,['3'],TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,10,3,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,31.423810700071044,None,"['1', '2', '3']",1,"[0.10418510006275028, 0.20510240003932267, 0.27585209999233484]",31.423810700071044,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
4,['1'],TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,10,1,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,31.824059500009753,None,['1'],1,[0.0019811999518424273],31.824059500009753,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
5,['2'],TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,10,2,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,31.924037000047974,None,['2'],1,[-0.014884499949403107],31.924037000047974,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
6,['3'],TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,10,3,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00733220006805,None,['3'],1,[-0.01744129997678101],32.00733220006805,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
7,['2'],TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,10,2,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,32.090740500018,None,"['1', '2']",1,"[0.011210899916477501, 0.10317639994900674]",32.090740500018,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
8,['1'],TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,10,1,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,32.324246900039725,None,"['3', '1']",1,"[-0.05897469993215054, 0.06496790004894137]",32.324246900039725,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
9,['2'],TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,10,2,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,32.49171660002321,None,['2'],1,[-0.0403156999964267],32.49171660002321,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
10,['3'],TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,10,3,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,32.57584659999702,None,['3'],1,[-0.013454200001433492],32.57584659999702,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
11,['1'],TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,10,1,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,32.657862700056285,None,['1'],1,[0.027982700034044683],32.657862700056285,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
12,['2'],TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,10,2,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,32.77472049999051,None,['2'],1,[-0.02006700006313622],32.77472049999051,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
13,['3'],TMTstop-A_1_2linestimulus10.png,TMTstop-A_1_2greenlinestimulus10.png,TMTstop-A_1_2redlinestimulus10.png,1,3,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,32.85802080004942,None,['3'],1,[-0.00229199999012053],32.85802080004942,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
14,['1'],TMTstop-A_1_2linestimulus11.png,TMTstop-A_1_2greenlinestimulus11.png,TMTstop-A_1_2redlinestimulus11.png,None,1,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,32.94124310009647,None,['1'],1,[0.028952599968761206],32.94124310009647,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
15,['3'],TMTstop-A_1_2linestimulus12.png,TMTstop-A_1_2greenlinestimulus12.png,TMTstop-A_1_2redlinestimulus12.png,None,3,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,33.05799230001867,None,"['2', '3']",1,"[-0.02691040001809597, 0.07794779993128031]",33.05799230001867,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
16,['1'],TMTstop-A_1_2linestimulus13.png,TMTstop-A_1_2greenlinestimulus13.png,TMTstop-A_1_2redlinestimulus13.png,None,1,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2415645000292,None,['1'],1,[0.034584500011987984],33.2415645000292,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
17,['2'],TMTstop-A_1_2linestimulus14.png,TMTstop-A_1_2greenlinestimulus14.png,TMTstop-A_1_2redlinestimulus14.png,None,2,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,33.35817240003962,None,['2'],1,[-0.00938589998986572],33.35817240003962,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
18,['1'],TMTstop-A_1_2linestimulus15.png,TMTstop-A_1_2greenlinestimulus15.png,TMTstop-A_1_2redlinestimulus15.png,None,1,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,33.44151740008965,None,"['3', '1']",1,"[0.04941890004556626, 0.16716910002287477]",33.44151740008965,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
19,['3'],TMTstop-A_1_2linestimulus16.png,TMTstop-A_1_2greenlinestimulus16.png,TMTstop-A_1_2redlinestimulus16.png,None,3,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,33.72505390003789,None,"['2', '3']",1,"[-0.04589279997162521, 0.07868370006326586]",33.72505390003789,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
20,['1'],TMTstop-A_1_2linestimulus17.png,TMTstop-A_1_2greenlinestimulus17.png,TMTstop-A_1_2redlinestimulus17.png,None,1,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,33.908416200079955,None,['1'],1,[-0.0037559999618679285],33.908416200079955,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
21,['2'],TMTstop-A_1_2linestimulus18.png,TMTstop-A_1_2greenlinestimulus18.png,TMTstop-A_1_2redlinestimulus18.png,None,2,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,33.991784600075334,None,['2'],1,[0.006084599997848272],33.991784600075334,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
22,['1'],TMTstop-A_1_2linestimulus19.png,TMTstop-A_1_2greenlinestimulus19.png,TMTstop-A_1_2redlinestimulus19.png,None,1,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,34.09176020009909,None,"['3', '1']",1,"[0.03780789999291301, 0.15272759995423257]",34.09176020009909,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
23,['2'],TMTstop-A_1_2linestimulus20.png,TMTstop-A_1_2greenlinestimulus20.png,TMTstop-A_1_2redlinestimulus20.png,None,2,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,34.37522749998607,None,['2'],1,[-0.056386300013400614],34.37522749998607,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
24,['1'],TMTstop-A_1_2linestimulus21.png,TMTstop-A_1_2greenlinestimulus21.png,TMTstop-A_1_2redlinestimulus21.png,None,1,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,34.45857890008483,None,"['3', '1']",1,"[-0.020637599984183908, 0.0891327999997884]",34.45857890008483,None,,001,2022_Jan_24_1107,TMTAstop-A,2021.2.3,60.248331556165866,
