Block_file,Condition_rows,NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_1.xlsx,0:26,10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,2,1,21.41477999999188,None,"['3', '1']",1,"[-0.014492499874904752, 0.12968400004319847]",21.41477999999188,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,1,1,21.657362199854106,None,['2'],1,[-0.04672540002502501],21.657362199854106,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,1,1,21.73370960005559,None,['3'],1,[-0.03274799999780953],21.73370960005559,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,4,1,21.8100210998673,None,"['1', '3', '1', '2']",1,"[0.019058299949392676, 0.19531950005330145, 0.4121149000711739, 0.48933340003713965]",21.8100210998673,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,1,1,22.437949300045148,None,['3'],1,[-0.03940899996086955],22.437949300045148,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,1,1,22.519580099964514,None,['1'],1,[0.28299979981966317],22.519580099964514,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,2,1,22.89498750003986,None,"['2', '3']",1,"[0.039273499976843596, 0.12194869993254542]",22.89498750003986,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,2,1,23.101848100079224,None,"['1', '2']",1,"[0.14675269997678697, 0.2443643999285996]",23.101848100079224,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,1,1,23.456590899964795,None,['3'],1,[-0.005023699952289462],23.456590899964795,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,1,1,23.53265229985118,None,['1'],1,[0.24831060017459095],23.53265229985118,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,2,1,23.866934099933133,None,"['2', '3']",1,"[0.03530280012637377, 0.1317172001581639]",23.866934099933133,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,1,1,24.10880919988267,None,['1'],1,[0.09546880004927516],24.10880919988267,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,2,1,24.28392000007443,None,"['2', '3']",1,"[-0.011834700126200914, 0.07470060000196099]",24.28392000007443,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_1.xlsx,0:26,23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,1,1,24.442955599864945,None,['1'],1,[0.08746149996295571],24.442955599864945,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
