NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,6.154650000000402,None,6.154650000000402,None,6.791020900000149,None,9.892893000000186,None,1,0.530111099998976,9.892893000000186,None,,001,2021_Nov_16_1841,TMTAB,2021.2.3,59.91259949977342,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,10.494926100000157,None,2,0.042818500000066706,10.494926100000157,None,,001,2021_Nov_16_1841,TMTAB,2021.2.3,59.91259949977342,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,10.627477399999407,None,3,0.2744805999991513,10.627477399999407,None,,001,2021_Nov_16_1841,TMTAB,2021.2.3,59.91259949977342,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,10.977322400000048,None,1,0.0715331999999762,10.977322400000048,None,,001,2021_Nov_16_1841,TMTAB,2021.2.3,59.91259949977342,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,11.128280700000687,None,2,0.02245979999861447,11.128280700000687,None,,001,2021_Nov_16_1841,TMTAB,2021.2.3,59.91259949977342,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,11.227284900000086,None,3,0.2928216000000248,11.227284900000086,None,,001,2021_Nov_16_1841,TMTAB,2021.2.3,59.91259949977342,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,11.627707499999815,None,1,0.017107200001191813,11.627707499999815,None,,001,2021_Nov_16_1841,TMTAB,2021.2.3,59.91259949977342,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,11.71124719999898,None,3,0.11428239999986545,11.71124719999898,None,,001,2021_Nov_16_1841,TMTAB,2021.2.3,59.91259949977342,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,11.89448690000063,None,2,0.2070944999995845,11.89448690000063,None,,001,2021_Nov_16_1841,TMTAB,2021.2.3,59.91259949977342,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,12.177630000000136,None,3,0.7360169000003225,12.177630000000136,None,,001,2021_Nov_16_1841,TMTAB,2021.2.3,59.91259949977342,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,13.011686100000588,None,1,0.23073050000130024,13.011686100000588,None,,001,2021_Nov_16_1841,TMTAB,2021.2.3,59.91259949977342,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,13.32848229999945,None,2,0.5836261000004015,13.32848229999945,None,,001,2021_Nov_16_1841,TMTAB,2021.2.3,59.91259949977342,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,13.97917729999972,None,None,,13.97917729999972,None,,001,2021_Nov_16_1841,TMTAB,2021.2.3,59.91259949977342,
