NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Stim.started,key_resp_2.started,Attempts,First_attempt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
18,['1'],1,TMTstop-control_1_plinestimulus15.png,TMTstop-control_1_pgreenlinestimulus15.png,TMTstop-control_1_predlinestimulus15.png,None,0,17,17,17,,,,,,,,,25.32887800000026,25.32887800000026,1,1,['1'],1,[0.3358267000003252],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
19,['3'],3,TMTstop-control_1_plinestimulus16.png,TMTstop-control_1_pgreenlinestimulus16.png,TMTstop-control_1_predlinestimulus16.png,None,0,18,18,18,,,,,,,,,25.746579800004838,25.746579800004838,1,1,['3'],1,[0.4090357999957632],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
20,['2'],2,TMTstop-control_1_plinestimulus17.png,TMTstop-control_1_pgreenlinestimulus17.png,TMTstop-control_1_predlinestimulus17.png,None,0,19,19,19,,,,,,,,,26.230702000000747,26.230702000000747,1,1,['2'],1,[0.6419869999954244],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
21,['1'],1,TMTstop-control_1_plinestimulus18.png,TMTstop-control_1_pgreenlinestimulus18.png,TMTstop-control_1_predlinestimulus18.png,None,0,20,20,20,,,,,,,,,26.95522100001108,26.95522100001108,1,1,['1'],1,[0.25313019999885],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
22,['3'],3,TMTstop-control_1_plinestimulus19.png,TMTstop-control_1_pgreenlinestimulus19.png,TMTstop-control_1_predlinestimulus19.png,None,0,21,21,21,,,,,,,,,27.285832300010952,27.285832300010952,1,1,['3'],1,[0.3532910000067204],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
23,['2'],2,TMTstop-control_1_plinestimulus20.png,TMTstop-control_1_pgreenlinestimulus20.png,TMTstop-control_1_predlinestimulus20.png,None,0,22,22,22,,,,,,,,,27.716066499997396,27.716066499997396,1,1,['2'],1,[0.46057480000308715],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
24,['1'],1,TMTstop-control_1_plinestimulus21.png,TMTstop-control_1_pgreenlinestimulus21.png,TMTstop-control_1_predlinestimulus21.png,None,0,23,23,23,,,,,,,,,28.275586800009478,28.275586800009478,1,1,['1'],1,[0.34828510000079405],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
25,['3'],3,TMTstop-control_1_plinestimulus22.png,TMTstop-control_1_pgreenlinestimulus22.png,TMTstop-control_1_predlinestimulus22.png,None,0,24,24,24,,,,,,,,,28.70500250000623,28.70500250000623,1,1,['3'],1,[0.488611899985699],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
None,None,None,TMTstop-control_1_plinestimulus23.png,TMTstop-control_1_pgreenlinestimulus23.png,TMTstop-control_1_predlinestimulus23.png,None,0,25,25,25,,,,,,,,,29.25944540000637,29.25944540000637,0,0,None,1,,,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
1,['3'],3,TMTstop-A_1_p.png,TMTstop-A_1_p.png,TMTstop-A_1_p.png,10,,,,,0,0,0,0,,,,,40.37799950000772,40.37799950000772,1,1,['3'],1,[0.9962148999911733],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
2,['1'],1,TMTstop-A_1_p.png,TMTstop-A_1_pfirstgreen.png,TMTstop-A_1_pfirstred.png,10,,,,,0,1,1,1,,,,,41.44215280000935,41.44215280000935,1,1,['1'],1,[0.6133098999998765],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
3,['2'],2,TMTstop-A_1_plinestimulus0.png,TMTstop-A_1_pgreenlinestimulus0.png,TMTstop-A_1_predlinestimulus0.png,10,,,,,0,2,2,2,,,,,42.13096020001103,42.13096020001103,1,1,['2'],1,[3.2694702000007965],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
4,['1'],1,TMTstop-A_1_plinestimulus1.png,TMTstop-A_1_pgreenlinestimulus1.png,TMTstop-A_1_predlinestimulus1.png,10,,,,,0,3,3,3,,,,,45.478257399998256,45.478257399998256,1,1,['1'],1,[0.30531989999872167],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
5,['2'],2,TMTstop-A_1_plinestimulus2.png,TMTstop-A_1_pgreenlinestimulus2.png,TMTstop-A_1_predlinestimulus2.png,10,,,,,0,4,4,4,,,,,45.86158100000466,45.86158100000466,2,0,"['3', '2']",1,"[1.8905636999988928, 2.3744630999863148]",,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
6,['1'],1,TMTstop-A_1_plinestimulus3.png,TMTstop-A_1_pgreenlinestimulus3.png,TMTstop-A_1_predlinestimulus3.png,10,,,,,0,5,5,5,,,,,48.3500148000021,48.3500148000021,1,1,['1'],1,[0.43390329999965616],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
7,['2'],2,TMTstop-A_1_plinestimulus4.png,TMTstop-A_1_pgreenlinestimulus4.png,TMTstop-A_1_predlinestimulus4.png,10,,,,,0,6,6,6,,,,,48.869873200004804,48.869873200004804,2,0,"['3', '2']",1,"[0.3474922000023071, 0.7609819000062998]",,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
8,['1'],1,TMTstop-A_1_plinestimulus5.png,TMTstop-A_1_pgreenlinestimulus5.png,TMTstop-A_1_predlinestimulus5.png,10,,,,,0,7,7,7,,,,,49.73775210000167,49.73775210000167,1,1,['1'],1,[0.23182999998971354],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
9,['2'],2,TMTstop-A_1_plinestimulus6.png,TMTstop-A_1_pgreenlinestimulus6.png,TMTstop-A_1_predlinestimulus6.png,10,,,,,0,8,8,8,,,,,50.05833349999739,50.05833349999739,2,0,"['3', '2']",1,"[0.2545611999958055, 0.5220740999939153]",,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
10,['1'],1,TMTstop-A_1_plinestimulus7.png,TMTstop-A_1_pgreenlinestimulus7.png,TMTstop-A_1_predlinestimulus7.png,10,,,,,0,9,9,9,,,,,50.65612189999956,50.65612189999956,1,1,['1'],1,[-0.03337650001049042],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
11,['2'],2,TMTstop-A_1_plinestimulus8.png,TMTstop-A_1_pgreenlinestimulus8.png,TMTstop-A_1_predlinestimulus8.png,10,,,,,0,10,10,10,,,,,50.73569970000244,50.73569970000244,1,1,['2'],1,[0.19526790000963956],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
